Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Ma-Sitio Novo;0;0;0;0;0;0;0;0;0;3;0;0;4;5;0;0;0;0;1;0;13
Ma-Sucupira do Norte;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
Ma-Sucupira do Riachao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ma-Tasso Fragoso;9;2;4;5;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;32
Ma-Timbiras;2;1;1;9;9;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;30
Ma-Timon;374;241;283;332;349;265;743;691;490;532;556;317;251;57;13;29;9;42;49;47;5670
Ma-Trizidela do Vale;47;32;32;55;32;32;37;51;55;9;16;23;37;4;0;0;26;75;0;0;563
Ma-Tufilandia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ma-Tuntum;1;0;0;33;1;5;0;0;1;1;2;0;2;0;0;0;0;0;0;0;46
Ma-Turiacu;3;4;0;9;4;14;0;0;0;0;0;1;6;0;0;0;0;0;0;0;41
Ma-Turilandia;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ma-Tutoia;3;6;5;6;5;3;53;28;37;30;4;0;3;0;0;0;0;0;0;0;183
Ma-Urbano Santos;0;1;0;19;7;125;0;3;0;0;0;12;0;1;10;9;5;6;1;0;199
Ma-Vargem Grande;4;3;7;101;123;28;176;6;15;0;4;4;4;0;1;0;0;0;65;0;541
Ma-Viana;10;10;7;53;153;213;188;34;67;123;54;124;78;14;3;20;15;0;0;0;1166
Ma-Vila Nova dos Martirios;0;0;1;4;7;668;1228;10;2;7;11;5;0;0;0;0;0;0;0;5;1948
Ma-Vitoria do Mearim;17;12;0;40;162;494;838;6;4;2;2;0;6;8;106;104;0;0;0;3;1804
Ma-Vitorino Freire;0;1;5;1;0;0;1;0;0;3;4;3;93;53;0;15;0;0;0;2;181
Ma-Ze Doca;6;3;5;8;7;3;2;5;7;11;14;1;1;0;46;0;0;2;28;10;159
Ma-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Acaua;5;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
Pi-Agricolandia;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;9
Pi-Agua Branca;38;18;30;26;14;39;52;52;9;17;19;18;0;0;0;0;0;0;0;0;332
Pi-Alagoinha do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Alegrete do Piaui;1;0;0;0;2;0;0;0;0;4;4;0;3;0;0;0;0;0;0;0;14
Pi-Alto Longa;7;11;2;3;10;13;3;2;0;0;0;0;0;0;0;0;0;0;0;0;51
Pi-Altos;147;132;205;183;357;401;307;345;641;373;238;139;44;74;53;30;47;33;0;0;3749
Pi-Alvorada do Gurgueia;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
Pi-Amarante;81;150;2;117;10;15;41;71;110;6;1;1;1;1;1;0;1;0;10;0;619
Pi-Angical do Piaui;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Pi-Anisio de Abreu;9;5;13;11;5;0;3;2;0;0;7;0;5;0;0;0;0;0;101;0;161
Pi-Antonio Almeida;1;0;0;0;0;2;0;0;4;0;0;0;10;0;0;4;5;3;0;0;29
Pi-Aroazes;0;0;0;1;0;8;16;18;12;2;0;0;0;0;0;0;0;0;0;0;57
Pi-Aroeiras do Itaim;0;0;0;0;0;0;0;0;0;12;61;0;0;0;0;0;0;0;0;0;73
Pi-Arraial;0;0;0;0;0;13;7;11;13;3;11;0;0;0;1;4;0;0;0;0;63
Pi-Assuncao do Piaui;1;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;24
Pi-Avelino Lopes;0;11;8;4;2;7;10;2;4;0;0;0;28;0;0;3;0;0;0;0;79
Pi-Baixa Grande do Ribeiro;23;34;38;20;53;16;468;16;9;58;1;0;0;38;7;11;0;0;0;0;792
Pi-Barra D Alcantara;2;3;4;7;0;0;1;2;10;33;6;0;0;0;0;0;0;0;0;0;68
Pi-Barras;57;42;36;9;25;25;43;11;7;4;2;1;0;11;2;2;0;0;0;0;277
Pi-Barreiras do Piaui;0;0;0;0;4;0;0;0;0;23;37;7;0;0;0;0;0;0;0;0;71
Pi-Barro Duro;28;7;17;7;11;12;83;36;112;180;100;92;22;19;12;0;0;0;0;2;740
Pi-Batalha;71;21;34;11;10;6;2;7;5;13;6;7;5;6;7;0;1;3;1;2;218
Pi-Bela Vista do Piaui;0;1;1;2;3;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;17
Pi-Belem do Piaui;3;34;25;16;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98
Pi-Beneditinos;1;0;0;0;1;3;2;6;0;0;0;0;0;0;0;0;0;0;0;0;13
Pi-Bertolinia;7;1;9;9;5;1;0;0;0;0;0;0;0;0;0;0;0;0;9;18;59
Pi-Betania do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Boa Hora;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Pi-Bocaina;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3
Pi-Bom Jesus;70;53;60;114;187;323;314;91;155;181;131;28;37;6;29;31;0;1;5;7;1823
Pi-Bom Principio do Piaui;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;4
Pi-Bonfim do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Boqueirao do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Brasileira;17;18;12;7;12;16;11;22;36;2;0;1;4;3;0;0;0;0;0;0;161
Pi-Brejo do Piaui;1;0;0;0;2;3;4;6;6;4;1;0;0;54;0;0;0;0;0;0;81
Pi-Buriti dos Lopes;24;0;0;87;0;2;0;2;0;0;3;104;112;121;18;0;0;0;1;1;475
Pi-Buriti dos Montes;1;1;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;7;16
Pi-Cabeceiras do Piaui;17;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
Pi-Cajazeiras do Piaui;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Pi-Cajueiro da Praia;16;51;16;4;12;22;0;0;0;0;0;0;0;0;0;0;2;0;0;0;123
Pi-Caldeirao Grande do Piaui;1;2;3;3;3;18;118;211;0;0;0;0;0;0;0;0;0;0;0;0;359
Pi-Campinas do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Campo Alegre do Fidalgo;52;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53
Pi-Campo Grande do Piaui;0;0;0;0;0;0;2;2;91;53;0;0;0;0;0;0;0;0;0;0;148
Pi-Campo Largo do Piaui;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3
Pi-Campo Maior;88;96;40;74;39;62;7;15;99;30;5;16;81;27;44;13;3;5;4;1;749
Pi-Canavieira;0;0;0;28;0;1;1;172;2;101;55;51;0;0;0;0;0;0;0;0;411
Pi-Canto do Buriti;2;33;0;1;5;27;5;30;2;2;3;2;0;0;0;0;0;22;144;0;278
Pi-Capitao de Campos;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
Pi-Capitao Gervasio Oliveira;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Pi-Caracol;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Pi-Caraubas do Piaui;0;0;0;0;0;0;0;0;0;0;18;4;0;0;0;0;0;0;0;0;22
Pi-Caridade do Piaui;0;0;0;0;9;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;29
Pi-Castelo do Piaui;5;3;6;9;5;33;0;17;0;0;18;2;1;1;0;0;0;0;0;0;100
Pi-Caxingo;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;17;0;0;0;0;20
Pi-Cocal;9;5;1;1;2;3;2;3;7;1;1;1;1;0;0;0;0;0;0;1;38
Pi-Cocal de Telha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Cocal dos Alves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Coivaras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Colonia do Gurgueia;0;0;0;7;5;5;0;0;0;0;0;13;21;5;3;2;1;1;1;2;66
Pi-Colonia do Piaui;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Pi-Conceicao do Caninde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Coronel Jose Dias;0;0;0;15;0;0;0;1;1;16;9;0;0;0;0;0;0;0;0;0;42
Pi-Corrente;6;4;7;9;29;21;10;53;51;12;52;124;23;4;10;11;9;11;12;13;471
Pi-Cristalandia do Piaui;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Pi-Cristino Castro;2;0;0;11;5;0;0;1;8;0;0;0;0;0;0;0;12;13;0;0;52
Pi-Curimata;0;0;0;0;8;5;2;3;1;1;1;0;6;0;0;0;0;0;0;0;27
Pi-Currais;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5
Pi-Curralinhos;0;0;0;0;0;0;20;22;0;0;0;0;0;0;0;0;0;0;0;0;42
Pi-Curral Novo do Piaui;4;3;1;0;44;435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487
Pi-Demerval Lobao;11;14;28;26;31;95;21;29;20;13;3;3;22;0;0;0;0;0;0;0;316
Pi-Dirceu Arcoverde;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4
Pi-Dom Expedito Lopes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Domingos Mourao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Dom Inocencio;569;145;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;718
Pi-Elesbao Veloso;5;3;4;4;8;1;0;4;11;9;0;0;0;12;0;4;0;0;13;0;78
Pi-Eliseu Martins;7;2;17;1;0;1;1;0;0;0;0;0;0;0;0;0;0;5;0;0;34
Pi-Esperantina;28;46;59;75;85;60;57;49;37;49;10;25;3;0;6;0;1;0;0;0;590
Pi-Fartura do Piaui;0;0;0;0;0;0;0;7;0;0;0;3;0;0;0;0;0;0;0;0;10
Pi-Flores do Piaui;12;3;7;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
Pi-Floresta do Piaui;0;0;0;0;0;0;0;0;4;51;0;0;16;0;0;0;0;0;0;0;71
Pi-Floriano;201;90;144;577;318;356;222;218;258;341;659;448;109;85;62;124;74;40;46;40;4412
Pi-Francinopolis;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
Pi-Francisco Ayres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Pi-Francisco Macedo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Francisco Santos;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
Pi-Fronteiras;16;11;8;15;7;18;14;9;29;31;26;24;20;20;3;2;2;71;111;89;526
Pi-Geminiano;4;3;3;1;3;32;23;31;24;20;26;6;1;1;1;0;0;0;0;0;179
Pi-Gilbues;4;17;6;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;29
Pi-Guadalupe;2;0;0;30;37;33;9;39;34;30;172;37;241;154;30;5;6;25;5;37;926
Pi-Guaribas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Hugo Napoleao;0;0;0;2;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
Pi-Ilha Grande;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Pi-Inhuma;11;4;0;0;2;3;2;8;19;3;1;73;0;0;0;0;0;0;0;0;126
Pi-Ipiranga do Piaui;8;0;0;3;16;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;29
Pi-Isaias Coelho;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Pi-Itainopolis;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Pi-Itaueira;1;0;0;1;2;15;6;15;2;0;11;27;0;0;0;0;0;0;0;0;80
Pi-Jacobina do Piaui;1;0;1;13;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;18
Pi-Jaicos;0;9;0;0;1;1;11;49;19;18;12;9;0;0;0;0;0;0;0;1;130
Pi-Jardim do Mulato;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Jatoba do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Jerumenha;0;0;0;0;0;4;6;1;7;6;0;0;0;0;0;0;0;0;0;0;24
Pi-Joao Costa;0;0;1;6;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
Pi-Joaquim Pires;2;2;0;0;62;2;0;0;75;5;0;0;0;0;0;0;0;0;0;0;148
Pi-Joca Marques;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Pi-Jose de Freitas;56;49;33;59;48;67;80;72;79;20;20;38;0;0;0;2;1;11;7;2;644
Pi-Juazeiro do Piaui;0;58;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72
Pi-Julio Borges;0;1;4;2;3;2;0;0;0;0;0;0;15;4;4;0;0;0;0;0;35
Pi-Jurema;0;0;20;30;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73
Pi-Lagoinha do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Lagoa Alegre;0;0;0;0;0;3;3;11;6;0;1;0;0;0;0;0;0;0;0;0;24
Pi-Lagoa do Barro do Piaui;5;1;0;166;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186
Pi-Lagoa de Sao Francisco;1;1;1;4;3;4;4;4;7;11;8;60;3;0;0;0;0;0;0;0;111
Pi-Lagoa do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Lagoa do Sitio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Landri Sales;12;7;2;2;9;13;31;52;4;2;3;0;6;15;0;0;0;0;0;0;158
Pi-Luis Correia;39;16;41;179;143;64;13;1;5;3;26;27;33;0;16;0;2;26;5;0;639
Pi-Luzilandia;5;3;3;7;16;34;0;1;53;32;18;49;61;44;0;0;0;0;0;0;326
Pi-Madeiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Manoel Emidio;11;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;6;0;0;0;28
Pi-Marcolandia;4;6;6;2;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;27
Pi-Marcos Parente;1;2;2;3;3;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;20
Pi-Massape do Piaui;1;2;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
Pi-Matias Olimpio;2;4;4;3;4;19;20;18;2;6;40;59;0;0;0;0;0;0;0;0;181
Pi-Miguel Alves;0;5;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;1;2;2;26
Pi-Miguel Leao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Milton Brandao;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Pi-Monsenhor Gil;6;2;6;22;7;19;38;49;7;4;9;0;0;0;0;0;0;0;0;0;169
Pi-Monsenhor Hipolito;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Monte Alegre do Piaui;0;0;0;0;0;0;1;0;2;9;1;67;0;8;0;0;0;0;0;0;88
Pi-Morro Cabeca no Tempo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Morro do Chapeu do Piaui;7;14;14;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;42
Pi-Murici dos Portelas;0;0;0;2;15;3;3;3;17;0;0;0;0;0;0;0;0;0;0;0;43
Pi-Nazare do Piaui;1;51;56;58;9;0;0;2;0;0;0;0;0;0;0;0;0;0;29;0;206
Pi-Nazaria;4;0;0;9;4;5;0;0;1;2;26;78;22;0;0;0;0;0;0;0;151
Pi-Nossa Senhora de Nazare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Nossa Senhora dos Remedios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Novo Oriente do Piaui;0;0;0;0;9;4;5;35;0;0;0;3;0;0;0;0;0;0;9;0;65
Pi-Novo Santo Antonio;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Pi-Oeiras;191;205;192;126;181;157;198;200;173;169;198;117;136;119;67;43;63;42;26;50;2653
Pi-Olho D Agua do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Padre Marcos;3;4;8;20;22;16;10;16;2;1;0;2;0;0;0;0;3;0;2;2;111
Pi-Paes Landim;24;0;0;0;0;2;23;3;3;1;57;42;2;26;0;0;0;0;0;0;183
Pi-Pajeu do Piaui;1;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;17
Pi-Palmeira do Piaui;0;0;0;0;0;1;16;0;11;0;0;0;0;0;0;0;0;0;0;0;28
Pi-Palmeirais;0;0;0;6;0;0;0;1;0;0;0;0;4;0;0;2;0;0;0;0;13
Pi-Paqueta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Parnagua;9;0;0;0;1;3;0;0;0;0;0;0;0;0;0;72;0;0;0;0;85
Pi-Parnaiba;790;686;857;1200;932;751;684;931;1250;946;838;1594;965;1036;558;1220;1073;261;259;314;17145
Pi-Passagem Franca do Piaui;0;0;7;1;3;7;50;46;55;18;24;5;0;0;0;0;0;0;1;1;218
Pi-Patos do Piaui;5;0;0;0;0;0;9;0;0;0;0;0;19;179;111;112;122;128;23;104;812
Pi-Pau D Arco do Piaui;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Pi-Paulistana;20;18;14;36;65;358;152;23;8;265;733;1261;0;0;1;1;2;0;0;0;2957
Pi-Pavussu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Pedro Ii;28;76;100;16;98;184;178;154;158;173;140;68;89;31;60;40;6;2;3;9;1613
Pi-Pedro Laurentino;5;0;0;10;62;10;1;2;0;0;1;1;27;0;0;0;0;0;0;0;119
Pi-Nova Santa Rita;1;1;1;5;0;0;0;83;350;0;0;0;0;0;0;0;0;0;0;0;441
Pi-Picos;784;544;600;513;703;768;648;1058;809;697;530;742;474;492;392;409;394;269;178;212;11216
Pi-Pimenteiras;3;1;1;1;4;1;0;2;1;3;4;0;0;0;0;0;0;0;0;0;21
Pi-Pio Ix;9;0;0;0;0;0;0;0;13;32;1;0;0;0;0;0;2;0;0;0;57
Pi-Piracuruca;103;122;101;59;81;46;41;48;56;20;17;35;35;6;0;0;0;0;0;0;770
Pi-Piripiri;516;879;49;84;55;38;53;79;54;24;40;107;70;25;24;21;7;39;32;14;2210
Pi-Porto;138;3;1;44;0;0;1;31;83;86;0;0;25;33;0;0;0;0;0;0;445
Pi-Porto Alegre do Piaui;0;0;0;0;0;0;0;1;1;2;8;38;82;93;0;0;0;0;0;0;225
Pi-Prata do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Queimada Nova;800;106;0;4;6;0;2;0;0;0;0;7;0;0;0;0;0;0;0;0;925
Pi-Redencao do Gurgueia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Regeneracao;2;4;0;1;13;9;17;12;2;0;0;2;37;2;0;0;1;0;0;0;102
Pi-Riacho Frio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Ribeira do Piaui;0;0;0;17;30;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198
Pi-Ribeiro Goncalves;4;15;0;5;5;13;69;897;992;92;49;18;31;17;91;0;1;0;5;3;2307
Pi-Rio Grande do Piaui;0;0;0;33;13;0;0;0;1;1;1;1;1;0;1;0;8;1;0;1;62
Pi-Santa Cruz do Piaui;0;0;0;1;3;7;11;8;21;129;2;4;23;31;0;0;0;0;6;0;246
Pi-Santa Cruz dos Milagres;11;0;0;0;0;0;0;1;1;1;1;0;0;0;0;3;0;1;2;2;23
Pi-Santa Filomena;0;0;0;5;0;0;19;13;30;45;11;1;4;0;3;2;0;0;0;0;133
Pi-Santa Luz;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;11
Pi-Santana do Piaui;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
Pi-Santa Rosa do Piaui;29;5;8;3;2;2;2;3;17;0;1;1;1;1;1;0;0;0;0;0;76
Pi-Santo Antonio de Lisboa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;7;0;16
Pi-Santo Antonio dos Milagres;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;4
Pi-Santo Inacio do Piaui;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6
Pi-Sao Braz do Piaui;1;0;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Pi-Sao Felix do Piaui;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
Pi-Sao Francisco de Assis do Piaui;0;0;1;0;0;0;0;0;0;4;0;46;0;0;0;0;0;0;0;0;51
Pi-Sao Francisco do Piaui;0;0;0;5;6;12;3;0;4;13;67;118;78;0;0;0;0;0;0;0;306
Pi-Sao Goncalo do Gurgueia;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
Pi-Sao Goncalo do Piaui;0;0;0;0;0;0;6;12;8;2;8;6;0;0;0;1;0;0;0;0;43
Pi-Sao Joao da Canabrava;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Sao Joao da Fronteira;0;0;0;0;1;0;23;119;0;0;0;0;0;0;0;0;0;0;0;0;143
Pi-Sao Joao da Serra;0;0;0;0;0;1;1;0;0;0;36;154;0;0;0;0;1;1;1;0;195
Pi-Sao Joao da Varjota;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
Pi-Sao Joao do Arraial;0;0;0;0;0;7;0;1;3;1;1;0;0;0;0;0;0;0;0;0;13
Pi-Sao Joao do Piaui;21;1405;798;59;108;68;5;4;0;10;3;4;0;3;0;16;0;1;1;3;2509
Pi-Sao Jose do Divino;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
Pi-Sao Jose do Peixe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Sao Jose do Piaui;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
Pi-Sao Juliao;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3
Pi-Sao Lourenco do Piaui;0;0;0;10;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94
Pi-Sao Luis do Piaui;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Pi-Sao Miguel da Baixa Grande;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Pi-Sao Miguel do Fidalgo;181;0;0;0;2;0;0;0;60;46;0;0;0;0;0;0;0;0;0;0;289
Pi-Sao Miguel do Tapuio;0;22;38;0;1;7;1;0;11;15;73;33;0;0;0;0;0;0;0;0;201
Pi-Sao Pedro do Piaui;0;1;0;0;0;0;0;0;12;6;5;1;0;0;0;0;0;0;7;0;32
Pi-Sao Raimundo Nonato;246;179;123;130;87;47;93;163;181;83;66;50;58;65;21;20;34;31;28;40;1745
Pi-Sebastiao Barros;0;0;0;10;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
Pi-Sebastiao Leal;0;3;5;18;25;10;35;9;8;0;52;0;0;0;0;0;0;0;0;0;165
Pi-Sigefredo Pacheco;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
Pi-Simoes;7;6;5;42;474;206;0;3;0;21;7;0;15;0;0;0;0;0;0;0;786
Pi-Simplicio Mendes;6;244;365;1;13;0;0;0;6;12;0;0;0;0;0;0;0;0;0;0;647
Pi-Socorro do Piaui;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;10
Pi-Sussuapara;0;0;0;0;0;3;0;0;0;0;0;1;1;1;21;2;1;0;0;0;30
Pi-Tamboril do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Tanque do Piaui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Teresina;16559;14404;15041;12989;14502;16744;22304;30026;30559;28564;24567;24574;22977;16581;10753;12773;10824;9637;8468;10575;353421
Pi-Uniao;33;29;28;78;52;153;81;86;56;16;25;13;82;62;34;48;103;50;0;0;1029
Pi-Urucui;103;177;162;60;68;82;131;155;117;125;192;141;78;46;21;91;110;0;13;0;1872
Pi-Valenca do Piaui;40;17;18;19;14;19;21;22;11;5;138;88;39;12;128;2;66;70;0;12;741
Pi-Varzea Branca;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Pi-Varzea Grande;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Vera Mendes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pi-Vila Nova do Piaui;0;0;0;1;5;7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;15
Pi-Wall Ferraz;0;0;0;0;0;1;0;0;0;0;2;27;0;0;0;0;0;0;0;0;30
Pi-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ce-Abaiara;0;0;1;12;29;29;5;0;0;2;0;0;0;0;4;19;4;0;0;0;105
Ce-Acarape;11;2;4;13;13;42;1;16;22;7;0;0;0;0;0;0;1;0;0;1;133
Ce-Acarau;101;25;8;75;123;70;86;40;16;13;22;14;34;206;9;67;4;0;0;11;924
Ce-Acopiara;2;2;3;64;15;43;10;17;12;3;2;2;7;6;7;3;0;0;0;3;201
Ce-Aiuaba;18;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
Ce-Alcantaras;4;5;21;13;7;6;1;0;1;9;24;3;7;0;3;3;0;0;0;0;107
