Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Ac-Brasileia;7;9;10;22;12;5;5;7;2;0;0;0;2;0;14;12;10;19;0;0;136
Ac-Bujari;10;3;0;0;0;0;3;0;0;0;0;0;7;11;1;2;0;0;2;6;45
Ac-Capixaba;0;0;0;0;0;0;0;0;0;27;40;64;0;2;0;0;0;0;0;0;133
Ac-Cruzeiro do Sul;313;237;721;489;376;399;463;611;781;791;462;571;571;288;161;77;69;123;93;81;7677
Ac-Epitaciolandia;43;1;7;2;0;4;11;13;3;9;7;21;9;4;5;2;3;15;3;3;165
Ac-Feijo;80;29;33;44;52;38;44;75;32;17;76;116;130;85;76;23;32;23;32;20;1057
Ac-Jordao;0;2;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Ac-Mancio Lima;12;4;7;4;6;0;8;17;24;17;30;25;32;17;0;13;0;0;1;0;217
Ac-Manoel Urbano;17;0;0;26;98;0;17;1;2;0;7;20;34;28;3;0;0;0;0;4;257
Ac-Marechal Thaumaturgo;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Ac-Placido de Castro;0;0;0;0;0;4;10;40;83;54;9;2;1;0;0;0;0;0;0;0;203
Ac-Porto Walter;2;0;2;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;9
Ac-Rio Branco;4948;4889;4253;4706;5028;3957;4945;7569;6782;6736;6138;7469;7437;5491;4464;4476;3452;2691;2165;2763;100359
Ac-Rodrigues Alves;0;0;0;0;0;0;0;0;0;0;9;26;1;2;5;6;3;1;2;0;55
Ac-Santa Rosa do Purus;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5
Ac-Senador Guiomard;0;1;13;15;27;11;19;48;17;21;235;559;632;550;500;512;382;0;0;2;3544
Ac-Sena Madureira;80;32;46;42;56;55;45;152;43;32;30;50;68;52;2;10;5;1;1;2;804
Ac-Tarauaca;14;17;22;13;11;14;10;20;21;17;8;8;10;71;73;78;1;0;13;1;422
Ac-Xapuri;0;0;0;0;0;0;0;13;15;7;0;0;0;0;0;0;0;0;0;0;35
Ac-Porto Acre;2;2;1;8;4;17;42;6;0;16;29;16;29;21;10;4;0;0;0;0;207
Ac-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Alvaraes;0;0;0;0;0;0;13;106;0;0;0;0;0;0;0;2;0;0;0;0;121
Am-Amatura;0;0;0;0;0;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;10
Am-Anama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Anori;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
Am-Apui;51;14;26;12;7;54;32;9;28;13;11;11;0;2;1;10;9;4;0;0;294
Am-Atalaia do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Autazes;0;0;0;0;1;1;8;5;0;0;0;0;0;0;0;0;0;0;0;0;15
Am-Barcelos;0;0;0;19;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;53
Am-Barreirinha;5;3;1;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15
Am-Benjamin Constant;0;0;38;23;2;0;1;3;29;0;0;0;0;0;0;0;0;0;0;0;96
Am-Beruri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Boa Vista do Ramos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Boca do Acre;0;15;0;3;0;0;0;0;4;0;1;1;0;1;0;0;0;0;0;9;34
Am-Borba;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Am-Caapiranga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Canutama;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;5
Am-Carauari;0;0;1;15;1;1;3;29;48;0;0;0;0;0;0;0;0;0;0;43;141
Am-Careiro;0;4;0;81;0;3;1;0;7;58;8;1;0;0;0;1;0;0;0;0;164
Am-Careiro da Varzea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Coari;6;0;13;3;6;2;635;81;30;51;206;450;8;910;1384;596;17;4;376;540;5318
Am-Codajas;0;0;0;31;1;2;4;5;12;0;0;0;0;0;7;0;0;0;0;0;62
Am-Eirunepe;5;6;22;31;5;4;2;2;0;2;3;5;5;6;5;14;0;0;0;0;117
Am-Envira;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;12;12;0;28
Am-Fonte Boa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Guajara;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Am-Humaita;185;9;11;14;7;18;21;36;13;24;20;24;20;29;36;32;58;57;45;32;691
Am-Ipixuna;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
Am-Iranduba;20;63;20;75;108;67;46;46;5;5;62;2;0;0;0;2;1;0;3;0;525
Am-Itacoatiara;46;52;79;66;93;50;120;132;144;117;78;18;41;101;24;7;2;1;13;43;1227
Am-Itamarati;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Am-Itapiranga;0;0;0;1;3;0;0;0;8;1281;1610;347;0;0;1;0;0;0;0;0;3251
Am-Japura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Jurua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Jutai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
Am-Labrea;0;0;0;0;13;4;4;10;30;9;0;0;1;0;0;0;0;0;0;0;71
Am-Manacapuru;15;11;26;218;65;46;32;15;18;15;69;32;61;17;5;3;0;0;0;1;649
Am-Manaquiri;0;0;0;0;0;0;0;0;107;0;0;0;0;2;0;0;0;0;0;0;109
Am-Manaus;20936;19238;17109;17383;18753;20104;24164;27125;33189;29108;27854;22900;25063;24101;20072;14925;11971;9638;8305;8853;400791
Am-Manicore;1;1;0;0;7;0;5;0;0;0;0;0;0;0;0;0;0;0;0;4;18
Am-Maraa;0;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Am-Maues;7;2;9;195;25;0;3;8;8;7;1;1;0;0;5;2;2;18;0;0;293
Am-Nhamunda;0;0;0;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8
Am-Nova Olinda do Norte;0;0;0;1;0;0;14;7;0;0;0;0;0;0;0;0;0;0;0;0;22
Am-Novo Airao;1;0;4;0;1;0;0;0;1;0;1;1;2;16;0;0;0;0;0;0;27
Am-Novo Aripuana;0;0;3;5;0;0;1;0;0;0;0;0;0;0;0;0;9;11;13;15;57
Am-Parintins;6;13;15;35;17;14;51;28;59;14;33;17;3;2;6;4;15;30;57;63;482
Am-Pauini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Presidente Figueiredo;18;9;10;7;64;94;68;70;102;76;175;234;151;102;114;24;79;89;25;57;1568
Am-Rio Preto da Eva;10;5;13;14;2;2;1;5;3;19;38;34;1;2;3;28;29;7;2;0;218
Am-Santa Isabel do Rio Negro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Santo Antonio do Ica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
