Município;Total
RO-ALTA FLORESTA D OESTE;2968
RO-ARIQUEMES;19392
RO-CABIXI;669
RO-CACOAL;17729
RO-CEREJEIRAS;2512
RO-COLORADO DO OESTE;2209
RO-CORUMBIARA;1091
RO-COSTA MARQUES;1074
RO-ESPIGAO D OESTE;4914
RO-GUAJARA-MIRIM;4163
RO-JARU;9682
RO-JI-PARANA;27838
RO-MACHADINHO D OESTE;2947
RO-NOVA BRASILANDIA D OESTE;1715
RO-OURO PRETO DO OESTE;5769
RO-PIMENTA BUENO;9331
RO-PORTO VELHO;188800
RO-PRESIDENTE MEDICI;2540
RO-RIO CRESPO;534
RO-ROLIM DE MOURA;11083
RO-SANTA LUZIA D OESTE;1343
RO-VILHENA;20373
RO-SAO MIGUEL DO GUAPORE;2985
RO-NOVA MAMORE;1898
RO-ALVORADA D OESTE;1464
RO-ALTO ALEGRE DOS PARECIS;1061
RO-ALTO PARAISO;1558
RO-BURITIS;3553
RO-NOVO HORIZONTE DO OESTE;814
RO-CACAULANDIA;563
RO-CAMPO NOVO DE RONDONIA;862
RO-CANDEIAS DO JAMARI;1800
RO-CASTANHEIRAS;423
RO-CHUPINGUAIA;2148
RO-CUJUBIM;2119
RO-GOVERNADOR JORGE TEIXEIRA;596
RO-ITAPUA DO OESTE;1175
RO-MINISTRO ANDREAZZA;904
RO-MIRANTE DA SERRA;1211
RO-MONTE NEGRO;1404
RO-NOVA UNIAO;475
RO-PARECIS;598
RO-PIMENTEIRAS DO OESTE;475
RO-PRIMAVERA DE RONDONIA;349
RO-SAO FELIPE D OESTE;423
RO-SAO FRANCISCO DO GUAPORE;1550
RO-SERINGUEIRAS;1228
RO-TEIXEIROPOLIS;556
RO-THEOBROMA;936
RO-URUPA;934
RO-VALE DO ANARI;669
RO-VALE DO PARAISO;694
RO-IGNORADO;0
AC-ACRELANDIA;909
AC-ASSIS BRASIL;342
AC-BRASILEIA;1710
AC-BUJARI;1152
AC-CAPIXABA;640
AC-CRUZEIRO DO SUL;8154
AC-EPITACIOLANDIA;1314
AC-FEIJO;1423
AC-JORDAO;376
AC-MANCIO LIMA;908
AC-MANOEL URBANO;424
AC-MARECHAL THAUMATURGO;934
AC-PLACIDO DE CASTRO;1343
AC-PORTO WALTER;446
AC-RIO BRANCO;104457
AC-RODRIGUES ALVES;732
AC-SANTA ROSA DO PURUS;206
AC-SENADOR GUIOMARD;1956
AC-SENA MADUREIRA;2084
AC-TARAUACA;1772
AC-XAPURI;829
AC-PORTO ACRE;1050
AC-IGNORADO;0
AM-ALVARAES;1054
AM-AMATURA;525
AM-ANAMA;396
AM-ANORI;614
AM-APUI;861
AM-ATALAIA DO NORTE;948
AM-AUTAZES;1108
AM-BARCELOS;843
AM-BARREIRINHA;1052
AM-BENJAMIN CONSTANT;1105
AM-BERURI;28
AM-BOA VISTA DO RAMOS;503
AM-BOCA DO ACRE;2320
AM-BORBA;1482
AM-CAAPIRANGA;883
AM-CANUTAMA;283
AM-CARAUARI;975
AM-CAREIRO;1247
AM-CAREIRO DA VARZEA;825
AM-COARI;6117
AM-CODAJAS;882
AM-EIRUNEPE;1461
AM-ENVIRA;1011
AM-FONTE BOA;1353
AM-GUAJARA;689
AM-HUMAITA;2525
AM-IPIXUNA;377
AM-IRANDUBA;3793
AM-ITACOATIARA;8919
AM-ITAMARATI;427
AM-ITAPIRANGA;293
AM-JAPURA;456
AM-JURUA;606
AM-JUTAI;921
AM-LABREA;1822
AM-MANACAPURU;4015
AM-MANAQUIRI;1040
AM-MANAUS;550327
AM-MANICORE;1306
AM-MARAA;340
AM-MAUES;3373
AM-NHAMUNDA;788
AM-NOVA OLINDA DO NORTE;972
AM-NOVO AIRAO;724
AM-NOVO ARIPUANA;668
AM-PARINTINS;6493
AM-PAUINI;852
AM-PRESIDENTE FIGUEIREDO;5909
AM-RIO PRETO DA EVA;2169
AM-SANTA ISABEL DO RIO NEGRO;299
AM-SANTO ANTONIO DO ICA;1201
AM-SAO GABRIEL DA CACHOEIRA;2266
AM-SAO PAULO DE OLIVENCA;868
AM-SAO SEBASTIAO DO UATUMA;431
AM-SILVES;477
AM-TABATINGA;2199
AM-TAPAUA;941
AM-TEFE;4543
AM-TONANTINS;385
AM-UARINI;225
AM-URUCARA;794
AM-URUCURITUBA;611
AM-IGNORADO;0
RR-AMAJARI;686
RR-ALTO ALEGRE;440
RR-BOA VISTA;83797
RR-BONFIM;870
RR-CANTA;988
RR-CARACARAI;980
RR-CAROEBE;492
RR-IRACEMA;211
RR-MUCAJAI;1154
RR-NORMANDIA;903
RR-PACARAIMA;523
RR-RORAINOPOLIS;2258
RR-SAO JOAO DA BALIZA;551
RR-SAO LUIZ;410
RR-UIRAMUTA;57
RR-IGNORADO;0
PA-ABAETETUBA;10289
PA-ABEL FIGUEIREDO;637
PA-ACARA;4727
PA-AFUA;2315
PA-AGUA AZUL DO NORTE;2144
PA-ALENQUER;2763
PA-ALMEIRIM;5972
PA-ALTAMIRA;47154
PA-ANAJAS;992
PA-ANANINDEUA;71548
PA-ANAPU;1660
PA-AUGUSTO CORREA;2120
PA-AURORA DO PARA;1848
PA-AVEIRO;772
PA-BAGRE;493
PA-BAIAO;2173
PA-BANNACH;505
PA-BARCARENA;20964
PA-BELEM;423896
PA-BELTERRA;1210
PA-BENEVIDES;8742
PA-BOM JESUS DO TOCANTINS;1151
PA-BONITO;1789
PA-BRAGANCA;9487
PA-BRASIL NOVO;1036
PA-BREJO GRANDE DO ARAGUAIA;720
PA-BREU BRANCO;3606
PA-BREVES;5514
PA-BUJARU;1691
PA-CACHOEIRA DO PIRIA;522
PA-CACHOEIRA DO ARARI;948
PA-CAMETA;6888
PA-CANAA DOS CARAJAS;16110
PA-CAPANEMA;7464
PA-CAPITAO POCO;3104
PA-CASTANHAL;33113
PA-CHAVES;856
PA-COLARES;552
PA-CONCEICAO DO ARAGUAIA;4004
PA-CONCORDIA DO PARA;3412
PA-CUMARU DO NORTE;1720
PA-CURIONOPOLIS;2795
PA-CURRALINHO;927
PA-CURUA;1016
PA-CURUCA;1562
PA-DOM ELISEU;5519
PA-ELDORADO DO CARAJAS;2566
PA-FARO;619
PA-FLORESTA DO ARAGUAIA;1397
PA-GARRAFAO DO NORTE;1995
PA-GOIANESIA DO PARA;3366
PA-GURUPA;2001
PA-IGARAPE-ACU;2576
PA-IGARAPE-MIRI;3617
PA-INHANGAPI;966
PA-IPIXUNA DO PARA;2682
PA-IRITUIA;1826
PA-ITAITUBA;10038
PA-ITUPIRANGA;3309
PA-JACAREACANGA;793
PA-JACUNDA;4854
PA-JURUTI;4161
PA-LIMOEIRO DO AJURU;1097
PA-MAE DO RIO;1615
PA-MAGALHAES BARATA;341
PA-MARABA;48097
PA-MARACANA;2017
PA-MARAPANIM;1254
PA-MARITUBA;16172
PA-MEDICILANDIA;1461
PA-MELGACO;948
PA-MOCAJUBA;1224
PA-MOJU;9320
PA-MOJUI DOS CAMPOS;64
PA-MONTE ALEGRE;3110
PA-MUANA;1117
PA-NOVA ESPERANCA DO PIRIA;781
PA-NOVA IPIXUNA;851
PA-NOVA TIMBOTEUA;894
PA-NOVO PROGRESSO;3246
PA-NOVO REPARTIMENTO;2025
PA-OBIDOS;3324
PA-OEIRAS DO PARA;377
PA-ORIXIMINA;7651
PA-OUREM;764
PA-OURILANDIA DO NORTE;3585
PA-PACAJA;2082
PA-PALESTINA DO PARA;338
PA-PARAGOMINAS;18752
PA-PARAUAPEBAS;47756
PA-PAU D ARCO;580
PA-PEIXE-BOI;401
PA-PICARRA;1395
PA-PLACAS;1155
PA-PONTA DE PEDRAS;1405
PA-PORTEL;2658
PA-PORTO DE MOZ;1467
PA-PRAINHA;1365
PA-PRIMAVERA;578
PA-QUATIPURU;700
PA-REDENCAO;14401
PA-RIO MARIA;2637
PA-RONDON DO PARA;4599
PA-RUROPOLIS;2067
PA-SALINOPOLIS;2853
PA-SALVATERRA;1486
PA-SANTA BARBARA DO PARA;1442
PA-SANTA CRUZ DO ARARI;425
PA-SANTA IZABEL DO PARA;6391
PA-SANTA LUZIA DO PARA;987
PA-SANTA MARIA DAS BARREIRAS;1947
PA-SANTA MARIA DO PARA;1893
PA-SANTANA DO ARAGUAIA;4156
PA-SANTAREM;43350
PA-SANTAREM NOVO;536
PA-SANTO ANTONIO DO TAUA;2069
PA-SAO CAETANO DE ODIVELAS;890
PA-SAO DOMINGOS DO ARAGUAIA;1558
PA-SAO DOMINGOS DO CAPIM;1745
PA-SAO FELIX DO XINGU;5142
PA-SAO FRANCISCO DO PARA;1103
PA-SAO GERALDO DO ARAGUAIA;2317
PA-SAO JOAO DA PONTA;323
PA-SAO JOAO DE PIRABAS;2101
PA-SAO JOAO DO ARAGUAIA;691
PA-SAO MIGUEL DO GUAMA;5980
PA-SAO SEBASTIAO DA BOA VISTA;943
PA-SAPUCAIA;881
PA-SENADOR JOSE PORFIRIO;767
PA-SOURE;1277
PA-TAILANDIA;11926
PA-TERRA ALTA;497
PA-TERRA SANTA;930
PA-TOME-ACU;7351
PA-TRACUATEUA;1526
PA-TRAIRAO;775
PA-TUCUMA;4494
PA-TUCURUI;12977
PA-ULIANOPOLIS;3913
PA-URUARA;3847
PA-VIGIA;2940
PA-VISEU;2402
PA-VITORIA DO XINGU;3071
PA-XINGUARA;7452
PA-IGNORADO;0
AP-SERRA DO NAVIO;93
AP-AMAPA;1043
AP-PEDRA BRANCA DO AMAPARI;1928
AP-CALCOENE;536
AP-CUTIAS;333
AP-FERREIRA GOMES;3487
AP-ITAUBAL;307
AP-LARANJAL DO JARI;2507
AP-MACAPA;106177
AP-MAZAGAO;1055
AP-OIAPOQUE;1141
AP-PORTO GRANDE;1696
AP-PRACUUBA;262
AP-SANTANA;11542
AP-TARTARUGALZINHO;570
AP-VITORIA DO JARI;156
AP-IGNORADO;0
TO-ABREULANDIA;279
TO-AGUIARNOPOLIS;1279
TO-ALIANCA DO TOCANTINS;587
TO-ALMAS;649
TO-ALVORADA;1566
TO-ANANAS;1605
TO-ANGICO;268
TO-APARECIDA DO RIO NEGRO;447
TO-ARAGOMINAS;408
TO-ARAGUACEMA;410
TO-ARAGUACU;1173
TO-ARAGUAINA;30909
TO-ARAGUANA;623
TO-ARAGUATINS;2063
TO-ARAPOEMA;697
TO-ARRAIAS;1210
TO-AUGUSTINOPOLIS;1428
TO-AURORA DO TOCANTINS;259
TO-AXIXA DO TOCANTINS;667
TO-BABACULANDIA;814
TO-BANDEIRANTES DO TOCANTINS;641
TO-BARRA DO OURO;272
TO-BARROLANDIA;418
TO-BERNARDO SAYAO;456
TO-BOM JESUS DO TOCANTINS;290
TO-BRASILANDIA DO TOCANTINS;336
TO-BREJINHO DE NAZARE;692
TO-BURITI DO TOCANTINS;528
TO-CACHOEIRINHA;170
TO-CAMPOS LINDOS;798
TO-CARIRI DO TOCANTINS;728
TO-CARMOLANDIA;349
TO-CARRASCO BONITO;187
TO-CASEARA;670
TO-CENTENARIO;242
TO-CHAPADA DE AREIA;176
TO-CHAPADA DA NATIVIDADE;296
TO-COLINAS DO TOCANTINS;3722
TO-COMBINADO;330
TO-CONCEICAO DO TOCANTINS;264
TO-COUTO MAGALHAES;351
TO-CRISTALANDIA;691
TO-CRIXAS DO TOCANTINS;273
TO-DARCINOPOLIS;551
TO-DIANOPOLIS;2108
TO-DIVINOPOLIS DO TOCANTINS;675
TO-DOIS IRMAOS DO TOCANTINS;332
TO-DUERE;623
TO-ESPERANTINA;459
TO-FATIMA;440
TO-FIGUEIROPOLIS;557
TO-FILADELFIA;687
TO-FORMOSO DO ARAGUAIA;2641
TO-FORTALEZA DO TABOCAO;648
TO-GOIANORTE;431
