Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;2890;
RO-CABIXI;0;
RO-CACOAL;4156;
RO-CEREJEIRAS;377;
RO-COLORADO DO OESTE;694;
RO-CORUMBIARA;0;
RO-COSTA MARQUES;188;
RO-ESPIGAO D OESTE;542;
RO-GUAJARA-MIRIM;17821;
RO-JARU;2281;
RO-JI-PARANA;8463;
RO-MACHADINHO D OESTE;0;
RO-NOVA BRASILANDIA D OESTE;4;
RO-OURO PRETO DO OESTE;1886;
RO-PIMENTA BUENO;1968;
RO-PORTO VELHO;77736;
RO-PRESIDENTE MEDICI;369;
RO-RIO CRESPO;0;
RO-ROLIM DE MOURA;490;
RO-SANTA LUZIA D OESTE;94;
RO-VILHENA;4518;
RO-SAO MIGUEL DO GUAPORE;0;
RO-NOVA MAMORE;6;
RO-ALVORADA D OESTE;0;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;0;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;0;
RO-CACAULANDIA;0;
RO-CAMPO NOVO DE RONDONIA;0;
RO-CANDEIAS DO JAMARI;0;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;0;
RO-ITAPUA DO OESTE;0;
RO-MINISTRO ANDREAZZA;0;
RO-MIRANTE DA SERRA;0;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;0;
RO-URUPA;0;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;75;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;8;
AC-BRASILEIA;444;
AC-BUJARI;0;
AC-CAPIXABA;0;
AC-CRUZEIRO DO SUL;1730;
AC-EPITACIOLANDIA;0;
AC-FEIJO;342;
AC-JORDAO;0;
AC-MANCIO LIMA;10;
AC-MANOEL URBANO;16;
AC-MARECHAL THAUMATURGO;0;
AC-PLACIDO DE CASTRO;44;
AC-PORTO WALTER;0;
AC-RIO BRANCO;40886;
AC-RODRIGUES ALVES;0;
AC-SANTA ROSA DO PURUS;0;
AC-SENADOR GUIOMARD;229;
AC-SENA MADUREIRA;114;
AC-TARAUACA;105;
AC-XAPURI;138;
AC-PORTO ACRE;0;
AC-IGNORADO;0;
AM-ALVARAES;8;
AM-AMATURA;1;
AM-ANAMA;1;
AM-ANORI;265;
AM-APUI;0;
AM-ATALAIA DO NORTE;28;
AM-AUTAZES;100;
