Município;Total
RO-ALTA FLORESTA D OESTE;2476
RO-ARIQUEMES;17126
RO-CABIXI;567
RO-CACOAL;14691
RO-CEREJEIRAS;1946
RO-COLORADO DO OESTE;1948
RO-CORUMBIARA;944
RO-COSTA MARQUES;770
RO-ESPIGAO D OESTE;4063
RO-GUAJARA-MIRIM;3593
RO-JARU;8757
RO-JI-PARANA;24347
RO-MACHADINHO D OESTE;2759
RO-NOVA BRASILANDIA D OESTE;1455
RO-OURO PRETO DO OESTE;5435
RO-PIMENTA BUENO;8121
RO-PORTO VELHO;191402
RO-PRESIDENTE MEDICI;2158
RO-RIO CRESPO;473
RO-ROLIM DE MOURA;8783
RO-SANTA LUZIA D OESTE;1310
RO-VILHENA;17689
RO-SAO MIGUEL DO GUAPORE;1659
RO-NOVA MAMORE;1821
RO-ALVORADA D OESTE;1249
RO-ALTO ALEGRE DOS PARECIS;938
RO-ALTO PARAISO;1704
RO-BURITIS;3586
RO-NOVO HORIZONTE DO OESTE;723
RO-CACAULANDIA;522
RO-CAMPO NOVO DE RONDONIA;881
RO-CANDEIAS DO JAMARI;1402
RO-CASTANHEIRAS;440
RO-CHUPINGUAIA;2001
RO-CUJUBIM;1808
RO-GOVERNADOR JORGE TEIXEIRA;504
RO-ITAPUA DO OESTE;1241
RO-MINISTRO ANDREAZZA;769
RO-MIRANTE DA SERRA;1157
RO-MONTE NEGRO;1404
RO-NOVA UNIAO;374
RO-PARECIS;523
RO-PIMENTEIRAS DO OESTE;440
RO-PRIMAVERA DE RONDONIA;269
RO-SAO FELIPE D OESTE;447
RO-SAO FRANCISCO DO GUAPORE;1460
RO-SERINGUEIRAS;993
RO-TEIXEIROPOLIS;490
RO-THEOBROMA;753
RO-URUPA;835
RO-VALE DO ANARI;618
RO-VALE DO PARAISO;636
RO-IGNORADO;0
AC-ACRELANDIA;455
AC-ASSIS BRASIL;315
AC-BRASILEIA;1507
AC-BUJARI;605
AC-CAPIXABA;665
AC-CRUZEIRO DO SUL;6749
AC-EPITACIOLANDIA;1182
AC-FEIJO;1623
AC-JORDAO;470
AC-MANCIO LIMA;515
AC-MANOEL URBANO;467
AC-MARECHAL THAUMATURGO;1208
AC-PLACIDO DE CASTRO;1131
AC-PORTO WALTER;461
AC-RIO BRANCO;96959
AC-RODRIGUES ALVES;744
AC-SANTA ROSA DO PURUS;199
AC-SENADOR GUIOMARD;1923
AC-SENA MADUREIRA;2000
AC-TARAUACA;729
AC-XAPURI;723
AC-PORTO ACRE;691
AC-IGNORADO;0
AM-ALVARAES;274
AM-AMATURA;287
AM-ANAMA;347
AM-ANORI;598
AM-APUI;845
AM-ATALAIA DO NORTE;778
AM-AUTAZES;640
AM-BARCELOS;1012
AM-BARREIRINHA;1093
AM-BENJAMIN CONSTANT;1785
AM-BERURI;20
AM-BOA VISTA DO RAMOS;183
AM-BOCA DO ACRE;1792
AM-BORBA;1362
AM-CAAPIRANGA;18
AM-CANUTAMA;31
AM-CARAUARI;975
AM-CAREIRO;1261
AM-CAREIRO DA VARZEA;904
AM-COARI;6050
AM-CODAJAS;1007
AM-EIRUNEPE;1500
AM-ENVIRA;714
AM-FONTE BOA;17
AM-GUAJARA;702
AM-HUMAITA;2142
AM-IPIXUNA;380
AM-IRANDUBA;2249
AM-ITACOATIARA;8892
AM-ITAMARATI;413
AM-ITAPIRANGA;1948
AM-JAPURA;442
AM-JURUA;643
AM-JUTAI;52
AM-LABREA;1435
AM-MANACAPURU;4643
AM-MANAQUIRI;646
AM-MANAUS;513938
AM-MANICORE;1143
AM-MARAA;736
AM-MAUES;2744
AM-NHAMUNDA;907
AM-NOVA OLINDA DO NORTE;951
AM-NOVO AIRAO;704
AM-NOVO ARIPUANA;743
AM-PARINTINS;6934
AM-PAUINI;1090
AM-PRESIDENTE FIGUEIREDO;4942
AM-RIO PRETO DA EVA;1519
AM-SANTA ISABEL DO RIO NEGRO;227
AM-SANTO ANTONIO DO ICA;80
AM-SAO GABRIEL DA CACHOEIRA;2387
AM-SAO PAULO DE OLIVENCA;879
AM-SAO SEBASTIAO DO UATUMA;385
AM-SILVES;527
AM-TABATINGA;2318
AM-TAPAUA;1047
AM-TEFE;4018
AM-TONANTINS;26
AM-UARINI;65
AM-URUCARA;946
AM-URUCURITUBA;574
AM-IGNORADO;0
RR-AMAJARI;203
RR-ALTO ALEGRE;743
RR-BOA VISTA;83023
RR-BONFIM;749
RR-CANTA;664
RR-CARACARAI;1316
RR-CAROEBE;324
RR-IRACEMA;76
RR-MUCAJAI;970
RR-NORMANDIA;360
RR-PACARAIMA;738
RR-RORAINOPOLIS;2154
RR-SAO JOAO DA BALIZA;505
RR-SAO LUIZ;90
RR-UIRAMUTA;73
RR-IGNORADO;0
PA-ABAETETUBA;7955
PA-ABEL FIGUEIREDO;659
PA-ACARA;3766
PA-AFUA;2196
PA-AGUA AZUL DO NORTE;1424
PA-ALENQUER;758
PA-ALMEIRIM;8578
PA-ALTAMIRA;17293
PA-ANAJAS;1342
PA-ANANINDEUA;60651
PA-ANAPU;1432
PA-AUGUSTO CORREA;1809
PA-AURORA DO PARA;1238
PA-AVEIRO;800
PA-BAGRE;320
PA-BAIAO;1542
PA-BANNACH;461
PA-BARCARENA;21426
PA-BELEM;420023
PA-BELTERRA;1183
PA-BENEVIDES;6229
PA-BOM JESUS DO TOCANTINS;1085
PA-BONITO;1060
PA-BRAGANCA;5746
PA-BRASIL NOVO;891
PA-BREJO GRANDE DO ARAGUAIA;550
PA-BREU BRANCO;3085
PA-BREVES;5552
PA-BUJARU;1732
PA-CACHOEIRA DO PIRIA;32
PA-CACHOEIRA DO ARARI;888
PA-CAMETA;5265
PA-CANAA DOS CARAJAS;6448
PA-CAPANEMA;5589
PA-CAPITAO POCO;2695
PA-CASTANHAL;29999
PA-CHAVES;741
PA-COLARES;323
PA-CONCEICAO DO ARAGUAIA;2843
PA-CONCORDIA DO PARA;2455
PA-CUMARU DO NORTE;1836
PA-CURIONOPOLIS;2333
PA-CURRALINHO;875
PA-CURUA;1183
PA-CURUCA;1753
PA-DOM ELISEU;5095
PA-ELDORADO DO CARAJAS;2361
PA-FARO;586
PA-FLORESTA DO ARAGUAIA;1437
PA-GARRAFAO DO NORTE;1003
PA-GOIANESIA DO PARA;3088
PA-GURUPA;1737
PA-IGARAPE-ACU;2428
PA-IGARAPE-MIRI;3239
PA-INHANGAPI;908
PA-IPIXUNA DO PARA;2525
PA-IRITUIA;1332
PA-ITAITUBA;7636
PA-ITUPIRANGA;2603
PA-JACAREACANGA;699
PA-JACUNDA;4496
PA-JURUTI;5171
PA-LIMOEIRO DO AJURU;948
PA-MAE DO RIO;2261
PA-MAGALHAES BARATA;294
PA-MARABA;44419
PA-MARACANA;1770
PA-MARAPANIM;1014
PA-MARITUBA;14969
