Município;Total
RO-ALTA FLORESTA D OESTE;3119
RO-ARIQUEMES;18927
RO-CABIXI;626
RO-CACOAL;16029
RO-CEREJEIRAS;2177
RO-COLORADO DO OESTE;2167
RO-CORUMBIARA;975
RO-COSTA MARQUES;1005
RO-ESPIGAO D OESTE;4407
RO-GUAJARA-MIRIM;4016
RO-JARU;9319
RO-JI-PARANA;26776
RO-MACHADINHO D OESTE;2955
RO-NOVA BRASILANDIA D OESTE;1614
RO-OURO PRETO DO OESTE;5549
RO-PIMENTA BUENO;9369
RO-PORTO VELHO;189785
RO-PRESIDENTE MEDICI;2569
RO-RIO CRESPO;560
RO-ROLIM DE MOURA;10574
RO-SANTA LUZIA D OESTE;1251
RO-VILHENA;19170
RO-SAO MIGUEL DO GUAPORE;2976
RO-NOVA MAMORE;2042
RO-ALVORADA D OESTE;1463
RO-ALTO ALEGRE DOS PARECIS;1018
RO-ALTO PARAISO;1658
RO-BURITIS;3160
RO-NOVO HORIZONTE DO OESTE;710
RO-CACAULANDIA;572
RO-CAMPO NOVO DE RONDONIA;865
RO-CANDEIAS DO JAMARI;1786
RO-CASTANHEIRAS;409
RO-CHUPINGUAIA;1926
RO-CUJUBIM;2086
RO-GOVERNADOR JORGE TEIXEIRA;644
RO-ITAPUA DO OESTE;1315
RO-MINISTRO ANDREAZZA;864
RO-MIRANTE DA SERRA;1162
RO-MONTE NEGRO;1390
RO-NOVA UNIAO;427
RO-PARECIS;575
RO-PIMENTEIRAS DO OESTE;489
RO-PRIMAVERA DE RONDONIA;376
RO-SAO FELIPE D OESTE;445
RO-SAO FRANCISCO DO GUAPORE;1473
RO-SERINGUEIRAS;1218
RO-TEIXEIROPOLIS;539
RO-THEOBROMA;859
RO-URUPA;890
RO-VALE DO ANARI;668
RO-VALE DO PARAISO;701
RO-IGNORADO;0
AC-ACRELANDIA;847
AC-ASSIS BRASIL;117
AC-BRASILEIA;1677
AC-BUJARI;978
AC-CAPIXABA;618
AC-CRUZEIRO DO SUL;7949
AC-EPITACIOLANDIA;1257
AC-FEIJO;1560
AC-JORDAO;339
AC-MANCIO LIMA;866
AC-MANOEL URBANO;481
AC-MARECHAL THAUMATURGO;827
AC-PLACIDO DE CASTRO;1456
AC-PORTO WALTER;421
AC-RIO BRANCO;101569
AC-RODRIGUES ALVES;688
AC-SANTA ROSA DO PURUS;208
AC-SENADOR GUIOMARD;1820
AC-SENA MADUREIRA;2205
AC-TARAUACA;1662
AC-XAPURI;866
AC-PORTO ACRE;821
AC-IGNORADO;0
AM-ALVARAES;619
AM-AMATURA;442
AM-ANAMA;349
AM-ANORI;617
AM-APUI;855
AM-ATALAIA DO NORTE;962
AM-AUTAZES;1075
AM-BARCELOS;832
AM-BARREIRINHA;1221
AM-BENJAMIN CONSTANT;1189
AM-BERURI;227
AM-BOA VISTA DO RAMOS;705
AM-BOCA DO ACRE;2211
AM-BORBA;1504
AM-CAAPIRANGA;832
AM-CANUTAMA;197
AM-CARAUARI;1091
AM-CAREIRO;1369
AM-CAREIRO DA VARZEA;821
AM-COARI;4837
AM-CODAJAS;707
AM-EIRUNEPE;1552
