Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;3087;
RO-CABIXI;5;
RO-CACOAL;3774;
RO-CEREJEIRAS;466;
RO-COLORADO DO OESTE;741;
RO-CORUMBIARA;0;
RO-COSTA MARQUES;305;
RO-ESPIGAO D OESTE;549;
RO-GUAJARA-MIRIM;1277;
RO-JARU;1515;
RO-JI-PARANA;5782;
RO-MACHADINHO D OESTE;4;
RO-NOVA BRASILANDIA D OESTE;7;
RO-OURO PRETO DO OESTE;960;
RO-PIMENTA BUENO;1194;
RO-PORTO VELHO;72655;
RO-PRESIDENTE MEDICI;553;
RO-RIO CRESPO;0;
RO-ROLIM DE MOURA;647;
RO-SANTA LUZIA D OESTE;301;
RO-VILHENA;3652;
RO-SAO MIGUEL DO GUAPORE;267;
RO-NOVA MAMORE;30;
RO-ALVORADA D OESTE;44;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;0;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;0;
RO-CACAULANDIA;0;
RO-CAMPO NOVO DE RONDONIA;0;
RO-CANDEIAS DO JAMARI;0;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;0;
RO-ITAPUA DO OESTE;0;
RO-MINISTRO ANDREAZZA;0;
RO-MIRANTE DA SERRA;0;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;0;
RO-URUPA;0;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;170;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;1;
AC-BRASILEIA;443;
AC-BUJARI;0;
AC-CAPIXABA;0;
AC-CRUZEIRO DO SUL;1729;
AC-EPITACIOLANDIA;0;
AC-FEIJO;14;
AC-JORDAO;0;
AC-MANCIO LIMA;1;
AC-MANOEL URBANO;1;
AC-MARECHAL THAUMATURGO;0;
AC-PLACIDO DE CASTRO;201;
AC-PORTO WALTER;0;
AC-RIO BRANCO;39140;
AC-RODRIGUES ALVES;0;
AC-SANTA ROSA DO PURUS;0;
AC-SENADOR GUIOMARD;308;
AC-SENA MADUREIRA;348;
AC-TARAUACA;670;
AC-XAPURI;69;
AC-PORTO ACRE;0;
AC-IGNORADO;30;
AM-ALVARAES;1;
AM-AMATURA;1;
AM-ANAMA;1;
AM-ANORI;245;
AM-APUI;0;
AM-ATALAIA DO NORTE;42;
