Município;Total
RO-ALTA FLORESTA D OESTE;2900
RO-ARIQUEMES;18028
RO-CABIXI;730
RO-CACOAL;17364
RO-CEREJEIRAS;2349
RO-COLORADO DO OESTE;2419
RO-CORUMBIARA;1200
RO-COSTA MARQUES;972
RO-ESPIGAO D OESTE;4992
RO-GUAJARA-MIRIM;3984
RO-JARU;9736
RO-JI-PARANA;27973
RO-MACHADINHO D OESTE;3238
RO-NOVA BRASILANDIA D OESTE;1689
RO-OURO PRETO DO OESTE;5870
RO-PIMENTA BUENO;9218
RO-PORTO VELHO;163877
RO-PRESIDENTE MEDICI;2132
RO-RIO CRESPO;680
RO-ROLIM DE MOURA;10860
RO-SANTA LUZIA D OESTE;1109
RO-VILHENA;19846
RO-SAO MIGUEL DO GUAPORE;3283
RO-NOVA MAMORE;1879
RO-ALVORADA D OESTE;1397
RO-ALTO ALEGRE DOS PARECIS;1076
RO-ALTO PARAISO;1424
RO-BURITIS;3500
RO-NOVO HORIZONTE DO OESTE;839
RO-CACAULANDIA;541
RO-CAMPO NOVO DE RONDONIA;933
RO-CANDEIAS DO JAMARI;2149
RO-CASTANHEIRAS;533
RO-CHUPINGUAIA;2886
RO-CUJUBIM;1446
RO-GOVERNADOR JORGE TEIXEIRA;667
RO-ITAPUA DO OESTE;1281
RO-MINISTRO ANDREAZZA;831
RO-MIRANTE DA SERRA;1305
RO-MONTE NEGRO;1061
RO-NOVA UNIAO;534
RO-PARECIS;701
RO-PIMENTEIRAS DO OESTE;570
RO-PRIMAVERA DE RONDONIA;495
RO-SAO FELIPE D OESTE;525
RO-SAO FRANCISCO DO GUAPORE;1498
RO-SERINGUEIRAS;1262
RO-TEIXEIROPOLIS;498
RO-THEOBROMA;923
RO-URUPA;1172
RO-VALE DO ANARI;709
RO-VALE DO PARAISO;711
RO-IGNORADO;0
AC-ACRELANDIA;891
AC-ASSIS BRASIL;504
AC-BRASILEIA;2216
AC-BUJARI;1646
AC-CAPIXABA;621
AC-CRUZEIRO DO SUL;8340
AC-EPITACIOLANDIA;1469
AC-FEIJO;1680
AC-JORDAO;500
AC-MANCIO LIMA;874
AC-MANOEL URBANO;826
AC-MARECHAL THAUMATURGO;1288
AC-PLACIDO DE CASTRO;1199
AC-PORTO WALTER;612
AC-RIO BRANCO;99316
AC-RODRIGUES ALVES;849
AC-SANTA ROSA DO PURUS;261
AC-SENADOR GUIOMARD;2177
AC-SENA MADUREIRA;2001
AC-TARAUACA;2136
AC-XAPURI;832
AC-PORTO ACRE;1053
AC-IGNORADO;0
AM-ALVARAES;808
AM-AMATURA;484
AM-ANAMA;468
AM-ANORI;637
AM-APUI;933
AM-ATALAIA DO NORTE;1279
AM-AUTAZES;1794
AM-BARCELOS;927
AM-BARREIRINHA;889
AM-BENJAMIN CONSTANT;2131
AM-BERURI;950
AM-BOA VISTA DO RAMOS;650
AM-BOCA DO ACRE;2160
AM-BORBA;1927
AM-CAAPIRANGA;959
AM-CANUTAMA;505
AM-CARAUARI;1437
AM-CAREIRO;1225
AM-CAREIRO DA VARZEA;958
AM-COARI;5345
AM-CODAJAS;1013
AM-EIRUNEPE;1601
AM-ENVIRA;956
AM-FONTE BOA;1681
AM-GUAJARA;697
AM-HUMAITA;2861
AM-IPIXUNA;334
AM-IRANDUBA;4435
AM-ITACOATIARA;9251
AM-ITAMARATI;377
AM-ITAPIRANGA;433
AM-JAPURA;473
AM-JURUA;29
AM-JUTAI;64
AM-LABREA;2031
AM-MANACAPURU;5096
AM-MANAQUIRI;1487
AM-MANAUS;485033
AM-MANICORE;1517
AM-MARAA;435
AM-MAUES;3287
AM-NHAMUNDA;720
AM-NOVA OLINDA DO NORTE;1273
AM-NOVO AIRAO;1176
AM-NOVO ARIPUANA;648
AM-PARINTINS;5502
AM-PAUINI;904
AM-PRESIDENTE FIGUEIREDO;5691
AM-RIO PRETO DA EVA;1679
AM-SANTA ISABEL DO RIO NEGRO;986
AM-SANTO ANTONIO DO ICA;1089
AM-SAO GABRIEL DA CACHOEIRA;2126
AM-SAO PAULO DE OLIVENCA;1942
AM-SAO SEBASTIAO DO UATUMA;522
AM-SILVES;435
AM-TABATINGA;2870
AM-TAPAUA;718
AM-TEFE;4024
AM-TONANTINS;727
AM-UARINI;398
AM-URUCARA;660
AM-URUCURITUBA;671
AM-IGNORADO;0
RR-AMAJARI;791
RR-ALTO ALEGRE;909
RR-BOA VISTA;88216
RR-BONFIM;1053
RR-CANTA;1385
RR-CARACARAI;1485
RR-CAROEBE;483
RR-IRACEMA;259
RR-MUCAJAI;885
RR-NORMANDIA;703
RR-PACARAIMA;537
RR-RORAINOPOLIS;2377
RR-SAO JOAO DA BALIZA;550
RR-SAO LUIZ;558
RR-UIRAMUTA;186
RR-IGNORADO;0
PA-ABAETETUBA;11529
PA-ABEL FIGUEIREDO;605
PA-ACARA;4279
PA-AFUA;2453
PA-AGUA AZUL DO NORTE;2048
PA-ALENQUER;2971
PA-ALMEIRIM;4004
PA-ALTAMIRA;15589
PA-ANAJAS;1223
PA-ANANINDEUA;64764
PA-ANAPU;1731
PA-AUGUSTO CORREA;1941
PA-AURORA DO PARA;1659
PA-AVEIRO;345
PA-BAGRE;622
PA-BAIAO;1868
PA-BANNACH;564
PA-BARCARENA;23108
PA-BELEM;398223
PA-BELTERRA;1348
PA-BENEVIDES;9782
PA-BOM JESUS DO TOCANTINS;1196
PA-BONITO;1612
PA-BRAGANCA;7143
PA-BRASIL NOVO;1027
PA-BREJO GRANDE DO ARAGUAIA;666
PA-BREU BRANCO;3498
PA-BREVES;6558
PA-BUJARU;1376
PA-CACHOEIRA DO PIRIA;654
PA-CACHOEIRA DO ARARI;970
PA-CAMETA;6656
PA-CANAA DOS CARAJAS;11373
PA-CAPANEMA;7455
PA-CAPITAO POCO;2358
PA-CASTANHAL;30135
PA-CHAVES;791
PA-COLARES;582
PA-CONCEICAO DO ARAGUAIA;4115
PA-CONCORDIA DO PARA;2883
PA-CUMARU DO NORTE;1555
PA-CURIONOPOLIS;2552
PA-CURRALINHO;1636
PA-CURUA;870
PA-CURUCA;1666
PA-DOM ELISEU;4955
PA-ELDORADO DO CARAJAS;1756
PA-FARO;571
PA-FLORESTA DO ARAGUAIA;1055
PA-GARRAFAO DO NORTE;1234
PA-GOIANESIA DO PARA;3058
PA-GURUPA;1648
PA-IGARAPE-ACU;2330
PA-IGARAPE-MIRI;3817
PA-INHANGAPI;931
PA-IPIXUNA DO PARA;2276
PA-IRITUIA;1138
PA-ITAITUBA;11226
PA-ITUPIRANGA;3110
PA-JACAREACANGA;1350
PA-JACUNDA;3509
PA-JURUTI;4872
PA-LIMOEIRO DO AJURU;1071
PA-MAE DO RIO;2877
PA-MAGALHAES BARATA;293
PA-MARABA;45976
PA-MARACANA;1945
PA-MARAPANIM;1452
PA-MARITUBA;16840
PA-MEDICILANDIA;1131
PA-MELGACO;1000
PA-MOCAJUBA;1674
PA-MOJU;8369
PA-MOJUI DOS CAMPOS;569
PA-MONTE ALEGRE;3056
PA-MUANA;987
PA-NOVA ESPERANCA DO PIRIA;837
PA-NOVA IPIXUNA;899
PA-NOVA TIMBOTEUA;872
PA-NOVO PROGRESSO;3626
PA-NOVO REPARTIMENTO;4242
PA-OBIDOS;3751
PA-OEIRAS DO PARA;1145
PA-ORIXIMINA;7191
PA-OUREM;520
PA-OURILANDIA DO NORTE;2729
PA-PACAJA;3274
PA-PALESTINA DO PARA;447
PA-PARAGOMINAS;19712
PA-PARAUAPEBAS;42945
PA-PAU D ARCO;594
PA-PEIXE-BOI;496
PA-PICARRA;1172
PA-PLACAS;783
PA-PONTA DE PEDRAS;1109
PA-PORTEL;3979
PA-PORTO DE MOZ;1718
PA-PRAINHA;1850
PA-PRIMAVERA;647
PA-QUATIPURU;582
PA-REDENCAO;12719
PA-RIO MARIA;2742
PA-RONDON DO PARA;4105
PA-RUROPOLIS;1729
PA-SALINOPOLIS;3590
PA-SALVATERRA;1081
PA-SANTA BARBARA DO PARA;2374
PA-SANTA CRUZ DO ARARI;322
PA-SANTA IZABEL DO PARA;7676
PA-SANTA LUZIA DO PARA;1025
PA-SANTA MARIA DAS BARREIRAS;1890
PA-SANTA MARIA DO PARA;1740
PA-SANTANA DO ARAGUAIA;4349
PA-SANTAREM;42185
PA-SANTAREM NOVO;428
PA-SANTO ANTONIO DO TAUA;2251
PA-SAO CAETANO DE ODIVELAS;739
PA-SAO DOMINGOS DO ARAGUAIA;1811
PA-SAO DOMINGOS DO CAPIM;1920
PA-SAO FELIX DO XINGU;5534
PA-SAO FRANCISCO DO PARA;864
PA-SAO GERALDO DO ARAGUAIA;3074
PA-SAO JOAO DA PONTA;278
PA-SAO JOAO DE PIRABAS;1248
PA-SAO JOAO DO ARAGUAIA;663
PA-SAO MIGUEL DO GUAMA;4841
PA-SAO SEBASTIAO DA BOA VISTA;1012
PA-SAPUCAIA;1144
PA-SENADOR JOSE PORFIRIO;667
PA-SOURE;1305
PA-TAILANDIA;10801
PA-TERRA ALTA;476
PA-TERRA SANTA;1356
PA-TOME-ACU;8808
PA-TRACUATEUA;1502
PA-TRAIRAO;959
PA-TUCUMA;4431
PA-TUCURUI;11993
PA-ULIANOPOLIS;4262
PA-URUARA;2530
PA-VIGIA;2667
PA-VISEU;1859
PA-VITORIA DO XINGU;2803
PA-XINGUARA;7886
PA-IGNORADO;0
AP-SERRA DO NAVIO;353
AP-AMAPA;789
AP-PEDRA BRANCA DO AMAPARI;2000
AP-CALCOENE;530
AP-CUTIAS;379
AP-FERREIRA GOMES;724
AP-ITAUBAL;277
AP-LARANJAL DO JARI;1753
AP-MACAPA;105653
AP-MAZAGAO;958
AP-OIAPOQUE;1015
AP-PORTO GRANDE;1650
AP-PRACUUBA;324
AP-SANTANA;9598
AP-TARTARUGALZINHO;956
AP-VITORIA DO JARI;591
AP-IGNORADO;0
TO-ABREULANDIA;281
TO-AGUIARNOPOLIS;1488
TO-ALIANCA DO TOCANTINS;552
TO-ALMAS;737
TO-ALVORADA;1535
TO-ANANAS;938
TO-ANGICO;226
TO-APARECIDA DO RIO NEGRO;460
TO-ARAGOMINAS;436
TO-ARAGUACEMA;497
TO-ARAGUACU;1189
TO-ARAGUAINA;32034
TO-ARAGUANA;449
TO-ARAGUATINS;1999
TO-ARAPOEMA;749
TO-ARRAIAS;1472
TO-AUGUSTINOPOLIS;1679
TO-AURORA DO TOCANTINS;181
TO-AXIXA DO TOCANTINS;810
TO-BABACULANDIA;831
TO-BANDEIRANTES DO TOCANTINS;578
TO-BARRA DO OURO;342
TO-BARROLANDIA;493
TO-BERNARDO SAYAO;477
TO-BOM JESUS DO TOCANTINS;272
TO-BRASILANDIA DO TOCANTINS;345
TO-BREJINHO DE NAZARE;589
TO-BURITI DO TOCANTINS;592
TO-CACHOEIRINHA;187
TO-CAMPOS LINDOS;530
TO-CARIRI DO TOCANTINS;904
TO-CARMOLANDIA;384
TO-CARRASCO BONITO;230
TO-CASEARA;651
TO-CENTENARIO;220
TO-CHAPADA DE AREIA;131
TO-CHAPADA DA NATIVIDADE;281
TO-COLINAS DO TOCANTINS;3652
TO-COMBINADO;347
TO-CONCEICAO DO TOCANTINS;272
TO-COUTO MAGALHAES;472
TO-CRISTALANDIA;691
TO-CRIXAS DO TOCANTINS;253
TO-DARCINOPOLIS;902
TO-DIANOPOLIS;1929
TO-DIVINOPOLIS DO TOCANTINS;684
TO-DOIS IRMAOS DO TOCANTINS;426
TO-DUERE;744
TO-ESPERANTINA;379
TO-FATIMA;369
TO-FIGUEIROPOLIS;720
TO-FILADELFIA;564
TO-FORMOSO DO ARAGUAIA;2812
TO-FORTALEZA DO TABOCAO;635
TO-GOIANORTE;483
TO-GOIATINS;677
TO-GUARAI;3146
TO-GURUPI;13791
TO-IPUEIRAS;213
TO-ITACAJA;426
TO-ITAGUATINS;354
TO-ITAPIRATINS;304
TO-ITAPORA DO TOCANTINS;387
TO-JAU DO TOCANTINS;364
TO-JUARINA;227
TO-LAGOA DA CONFUSAO;1748
TO-LAGOA DO TOCANTINS;226
TO-LAJEADO;626
TO-LAVANDEIRA;211
TO-LIZARDA;180
TO-LUZINOPOLIS;277
TO-MARIANOPOLIS DO TOCANTINS;669
TO-MATEIROS;404
TO-MAURILANDIA DO TOCANTINS;276
TO-MIRACEMA DO TOCANTINS;1756
TO-MIRANORTE;1262
TO-MONTE DO CARMO;885
TO-MONTE SANTO DO TOCANTINS;181
TO-PALMEIRAS DO TOCANTINS;303
TO-MURICILANDIA;358
TO-NATIVIDADE;882
TO-NAZARE;290
TO-NOVA OLINDA;1243
TO-NOVA ROSALANDIA;269
TO-NOVO ACORDO;400
TO-NOVO ALEGRE;209
TO-NOVO JARDIM;270
TO-OLIVEIRA DE FATIMA;126
TO-PALMEIRANTE;407
TO-PALMEIROPOLIS;838
TO-PARAISO DO TOCANTINS;8327
TO-PARANA;599
TO-PAU D ARCO;376
TO-PEDRO AFONSO;2403
TO-PEIXE;1289
TO-PEQUIZEIRO;389
TO-COLMEIA;928
TO-PINDORAMA DO TOCANTINS;315
TO-PIRAQUE;535
TO-PIUM;659
TO-PONTE ALTA DO BOM JESUS;138
TO-PONTE ALTA DO TOCANTINS;441
TO-PORTO ALEGRE DO TOCANTINS;226
TO-PORTO NACIONAL;10048
TO-PRAIA NORTE;251
TO-PRESIDENTE KENNEDY;276
TO-PUGMIL;344
TO-RECURSOLANDIA;237
TO-RIACHINHO;311
TO-RIO DA CONCEICAO;274
TO-RIO DOS BOIS;198
TO-RIO SONO;310
TO-SAMPAIO;151
TO-SANDOLANDIA;387
TO-SANTA FE DO ARAGUAIA;839
TO-SANTA MARIA DO TOCANTINS;256
TO-SANTA RITA DO TOCANTINS;371
TO-SANTA ROSA DO TOCANTINS;426
TO-SANTA TEREZA DO TOCANTINS;231
TO-SANTA TEREZINHA DO TOCANTINS;130
TO-SAO BENTO DO TOCANTINS;548
TO-SAO FELIX DO TOCANTINS;116
TO-SAO MIGUEL DO TOCANTINS;654
TO-SAO SALVADOR DO TOCANTINS;277
TO-SAO SEBASTIAO DO TOCANTINS;284
TO-SAO VALERIO;465
TO-SILVANOPOLIS;549
TO-SITIO NOVO DO TOCANTINS;615
TO-SUCUPIRA;327
TO-TAGUATINGA;1083
TO-TAIPAS DO TOCANTINS;228
TO-TALISMA;470
TO-PALMAS;132783
TO-TOCANTINIA;380
TO-TOCANTINOPOLIS;2108
TO-TUPIRAMA;181
TO-TUPIRATINS;201
TO-WANDERLANDIA;744
TO-XAMBIOA;1528
TO-IGNORADO;0
MA-ACAILANDIA;15577
MA-AFONSO CUNHA;258
MA-AGUA DOCE DO MARANHAO;413
MA-ALCANTARA;1662
MA-ALDEIAS ALTAS;1175
MA-ALTAMIRA DO MARANHAO;336
MA-ALTO ALEGRE DO MARANHAO;840
MA-ALTO ALEGRE DO PINDARE;994
MA-ALTO PARNAIBA;1113
MA-AMAPA DO MARANHAO;250
MA-AMARANTE DO MARANHAO;1325
MA-ANAJATUBA;804
MA-ANAPURUS;706
MA-APICUM-ACU;574
MA-ARAGUANA;262
MA-ARAIOSES;2042
MA-ARAME;263
MA-ARARI;1604
MA-AXIXA;508
MA-BACABAL;8610
MA-BACABEIRA;1848
MA-BACURI;806
MA-BACURITUBA;282
MA-BALSAS;17879
MA-BARAO DE GRAJAU;1166
MA-BARRA DO CORDA;4873
MA-BARREIRINHAS;2783
MA-BELAGUA;527
MA-BELA VISTA DO MARANHAO;318
MA-BENEDITO LEITE;298
MA-BEQUIMAO;740
MA-BERNARDO DO MEARIM;194
MA-BOA VISTA DO GURUPI;451
MA-BOM JARDIM;1620
MA-BOM JESUS DAS SELVAS;1336
MA-BOM LUGAR;64
MA-BREJO;997
MA-BREJO DE AREIA;211
MA-BURITI;976
MA-BURITI BRAVO;770
MA-BURITICUPU;2905
MA-BURITIRANA;513
MA-CACHOEIRA GRANDE;274
MA-CAJAPIO;316
MA-CAJARI;717
MA-CAMPESTRE DO MARANHAO;1333
MA-CANDIDO MENDES;728
MA-CANTANHEDE;776
MA-CAPINZAL DO NORTE;526
MA-CAROLINA;2760
MA-CARUTAPERA;1631
MA-CAXIAS;11379
MA-CEDRAL;325
MA-CENTRAL DO MARANHAO;91
MA-CENTRO DO GUILHERME;448
MA-CENTRO NOVO DO MARANHAO;523
MA-CHAPADINHA;4498
MA-CIDELANDIA;887
MA-CODO;8887
MA-COELHO NETO;3337
MA-COLINAS;2411
MA-CONCEICAO DO LAGO-ACU;878
MA-COROATA;3012
MA-CURURUPU;1316
MA-DAVINOPOLIS;2157
MA-DOM PEDRO;1620
MA-DUQUE BACELAR;404
MA-ESPERANTINOPOLIS;1321
MA-ESTREITO;3402
MA-FEIRA NOVA DO MARANHAO;418
MA-FERNANDO FALCAO;417
MA-FORMOSA DA SERRA NEGRA;736
MA-FORTALEZA DOS NOGUEIRAS;700
MA-FORTUNA;485
MA-GODOFREDO VIANA;660
MA-GONCALVES DIAS;614
MA-GOVERNADOR ARCHER;329
MA-GOVERNADOR EDISON LOBAO;1846
MA-GOVERNADOR EUGENIO BARROS;546
MA-GOVERNADOR LUIZ ROCHA;392
MA-GOVERNADOR NEWTON BELLO;258
MA-GOVERNADOR NUNES FREIRE;1262
MA-GRACA ARANHA;217
MA-GRAJAU;6150
MA-GUIMARAES;480
MA-HUMBERTO DE CAMPOS;1885
MA-ICATU;714
MA-IGARAPE DO MEIO;899
MA-IGARAPE GRANDE;458
MA-IMPERATRIZ;53260
MA-ITAIPAVA DO GRAJAU;220
MA-ITAPECURU MIRIM;5047
MA-ITINGA DO MARANHAO;2430
MA-JATOBA;387
MA-JENIPAPO DOS VIEIRAS;519
MA-JOAO LISBOA;1587
MA-JOSELANDIA;557
MA-JUNCO DO MARANHAO;288
MA-LAGO DA PEDRA;2425
MA-LAGO DO JUNCO;358
MA-LAGO VERDE;637
MA-LAGOA DO MATO;416
MA-LAGO DOS RODRIGUES;481
MA-LAGOA GRANDE DO MARANHAO;453
