Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;2525;
RO-CABIXI;0;
RO-CACOAL;3871;
RO-CEREJEIRAS;403;
RO-COLORADO DO OESTE;739;
RO-CORUMBIARA;0;
RO-COSTA MARQUES;457;
RO-ESPIGAO D OESTE;586;
RO-GUAJARA-MIRIM;1442;
RO-JARU;1777;
RO-JI-PARANA;7821;
RO-MACHADINHO D OESTE;0;
RO-NOVA BRASILANDIA D OESTE;20;
RO-OURO PRETO DO OESTE;1925;
RO-PIMENTA BUENO;2043;
RO-PORTO VELHO;69117;
RO-PRESIDENTE MEDICI;410;
RO-RIO CRESPO;0;
RO-ROLIM DE MOURA;820;
RO-SANTA LUZIA D OESTE;124;
RO-VILHENA;4250;
RO-SAO MIGUEL DO GUAPORE;42;
RO-NOVA MAMORE;18;
RO-ALVORADA D OESTE;39;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;0;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;0;
RO-CACAULANDIA;0;
RO-CAMPO NOVO DE RONDONIA;0;
RO-CANDEIAS DO JAMARI;0;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;0;
RO-ITAPUA DO OESTE;0;
RO-MINISTRO ANDREAZZA;0;
RO-MIRANTE DA SERRA;0;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;0;
RO-URUPA;0;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;15;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;5;
AC-BRASILEIA;454;
AC-BUJARI;0;
AC-CAPIXABA;0;
AC-CRUZEIRO DO SUL;1764;
AC-EPITACIOLANDIA;0;
AC-FEIJO;339;
AC-JORDAO;0;
AC-MANCIO LIMA;6;
AC-MANOEL URBANO;12;
AC-MARECHAL THAUMATURGO;0;
AC-PLACIDO DE CASTRO;48;
AC-PORTO WALTER;0;
AC-RIO BRANCO;42658;
AC-RODRIGUES ALVES;0;
AC-SANTA ROSA DO PURUS;0;
AC-SENADOR GUIOMARD;229;
AC-SENA MADUREIRA;103;
AC-TARAUACA;489;
AC-XAPURI;129;
AC-PORTO ACRE;0;
AC-IGNORADO;37;
AM-ALVARAES;7;
AM-AMATURA;0;
AM-ANAMA;0;
AM-ANORI;267;
AM-APUI;0;
AM-ATALAIA DO NORTE;22;
AM-AUTAZES;46;
AM-BARCELOS;12;
AM-BARREIRINHA;359;
AM-BENJAMIN CONSTANT;698;
AM-BERURI;3;
AM-BOA VISTA DO RAMOS;0;
AM-BOCA DO ACRE;488;
AM-BORBA;668;
AM-CAAPIRANGA;0;
AM-CANUTAMA;10;
AM-CARAUARI;685;
AM-CAREIRO;135;
AM-CAREIRO DA VARZEA;0;
AM-COARI;1273;
AM-CODAJAS;395;
AM-EIRUNEPE;559;
AM-ENVIRA;54;
AM-FONTE BOA;317;
AM-GUAJARA;0;
AM-HUMAITA;910;
AM-IPIXUNA;153;
AM-IRANDUBA;119;
AM-ITACOATIARA;4483;
AM-ITAMARATI;0;
AM-ITAPIRANGA;14;
AM-JAPURA;14;
AM-JURUA;4;
AM-JUTAI;8;
AM-LABREA;535;
AM-MANACAPURU;1562;
AM-MANAQUIRI;0;
AM-MANAUS;227558;
AM-MANICORE;649;
AM-MARAA;8;
AM-MAUES;351;
AM-NHAMUNDA;12;
AM-NOVA OLINDA DO NORTE;471;
AM-NOVO AIRAO;40;
AM-NOVO ARIPUANA;10;
AM-PARINTINS;2150;
AM-PAUINI;68;
AM-PRESIDENTE FIGUEIREDO;2159;
AM-RIO PRETO DA EVA;14;
AM-SANTA ISABEL DO RIO NEGRO;5;
AM-SANTO ANTONIO DO ICA;158;
AM-SAO GABRIEL DA CACHOEIRA;369;
AM-SAO PAULO DE OLIVENCA;229;
AM-SAO SEBASTIAO DO UATUMA;0;
AM-SILVES;10;
AM-TABATINGA;80;
AM-TAPAUA;8;
