Município;Total
PA-IGARAPE-MIRI;3489
PA-INHANGAPI;849
PA-IPIXUNA DO PARA;2059
PA-IRITUIA;1726
PA-ITAITUBA;11206
PA-ITUPIRANGA;2756
PA-JACAREACANGA;666
PA-JACUNDA;3294
PA-JURUTI;4284
PA-LIMOEIRO DO AJURU;32
PA-MAE DO RIO;2060
PA-MAGALHAES BARATA;1291
PA-MARABA;42443
PA-MARACANA;1947
PA-MARAPANIM;1533
PA-MARITUBA;15825
PA-MEDICILANDIA;1473
PA-MELGACO;888
PA-MOCAJUBA;198
PA-MOJU;7380
PA-MOJUI DOS CAMPOS;66
PA-MONTE ALEGRE;3064
PA-MUANA;1069
PA-NOVA ESPERANCA DO PIRIA;774
PA-NOVA IPIXUNA;839
PA-NOVA TIMBOTEUA;849
PA-NOVO PROGRESSO;3536
PA-NOVO REPARTIMENTO;4459
PA-OBIDOS;3071
PA-OEIRAS DO PARA;56
PA-ORIXIMINA;7257
PA-OUREM;557
PA-OURILANDIA DO NORTE;3166
PA-PACAJA;2120
PA-PALESTINA DO PARA;452
PA-PARAGOMINAS;17675
PA-PARAUAPEBAS;47353
PA-PAU D ARCO;553
PA-PEIXE-BOI;513
PA-PICARRA;1022
PA-PLACAS;884
PA-PONTA DE PEDRAS;1299
PA-PORTEL;2611
PA-PORTO DE MOZ;1342
PA-PRAINHA;1176
PA-PRIMAVERA;692
PA-QUATIPURU;696
PA-REDENCAO;12821
PA-RIO MARIA;2491
PA-RONDON DO PARA;4341
PA-RUROPOLIS;1709
PA-SALINOPOLIS;3490
PA-SALVATERRA;1191
PA-SANTA BARBARA DO PARA;1652
PA-SANTA CRUZ DO ARARI;309
PA-SANTA IZABEL DO PARA;7091
PA-SANTA LUZIA DO PARA;817
PA-SANTA MARIA DAS BARREIRAS;1870
PA-SANTA MARIA DO PARA;1914
PA-SANTANA DO ARAGUAIA;4163
PA-SANTAREM;42311
PA-SANTAREM NOVO;606
PA-SANTO ANTONIO DO TAUA;2419
PA-SAO CAETANO DE ODIVELAS;158
PA-SAO DOMINGOS DO ARAGUAIA;1726
PA-SAO DOMINGOS DO CAPIM;1944
PA-SAO FELIX DO XINGU;5371
PA-SAO FRANCISCO DO PARA;1043
PA-SAO GERALDO DO ARAGUAIA;2595
PA-SAO JOAO DA PONTA;313
PA-SAO JOAO DE PIRABAS;1130
PA-SAO JOAO DO ARAGUAIA;877
PA-SAO MIGUEL DO GUAMA;4796
PA-SAO SEBASTIAO DA BOA VISTA;796
PA-SAPUCAIA;1138
PA-SENADOR JOSE PORFIRIO;639
PA-SOURE;1256
PA-TAILANDIA;9732
PA-TERRA ALTA;519
PA-TERRA SANTA;872
PA-TOME-ACU;8659
PA-TRACUATEUA;726
PA-TRAIRAO;756
PA-TUCUMA;3621
PA-TUCURUI;12101
PA-ULIANOPOLIS;4068
PA-URUARA;3182
PA-VIGIA;2754
PA-VISEU;2130
PA-VITORIA DO XINGU;3451
PA-XINGUARA;7488
PA-IGNORADO;0
AP-SERRA DO NAVIO;291
AP-AMAPA;719
AP-PEDRA BRANCA DO AMAPARI;1419
AP-CALCOENE;510
AP-CUTIAS;335
AP-FERREIRA GOMES;764
AP-ITAUBAL;243
AP-LARANJAL DO JARI;1746
AP-MACAPA;107318
AP-MAZAGAO;801
AP-OIAPOQUE;811
AP-PORTO GRANDE;1748
AP-PRACUUBA;114
AP-SANTANA;7507
AP-TARTARUGALZINHO;767
AP-VITORIA DO JARI;498
AP-IGNORADO;0
TO-ABREULANDIA;228
TO-AGUIARNOPOLIS;1272
TO-ALIANCA DO TOCANTINS;514
TO-ALMAS;363
TO-ALVORADA;1350
TO-ANANAS;1108
TO-ANGICO;297
TO-APARECIDA DO RIO NEGRO;496
TO-ARAGOMINAS;380
TO-ARAGUACEMA;398
TO-ARAGUACU;716
TO-ARAGUAINA;28766
TO-ARAGUANA;438
TO-ARAGUATINS;1984
TO-ARAPOEMA;725
TO-ARRAIAS;781
TO-AUGUSTINOPOLIS;1470
TO-AURORA DO TOCANTINS;261
TO-AXIXA DO TOCANTINS;703
TO-BABACULANDIA;769
TO-BANDEIRANTES DO TOCANTINS;575
TO-BARRA DO OURO;264
TO-BARROLANDIA;464
TO-BERNARDO SAYAO;455
TO-BOM JESUS DO TOCANTINS;86
TO-BRASILANDIA DO TOCANTINS;289
TO-BREJINHO DE NAZARE;605
TO-BURITI DO TOCANTINS;522
TO-CACHOEIRINHA;151
TO-CAMPOS LINDOS;819
TO-CARIRI DO TOCANTINS;801
TO-CARMOLANDIA;276
TO-CARRASCO BONITO;197
TO-CASEARA;587
TO-CENTENARIO;172
TO-CHAPADA DE AREIA;86
TO-CHAPADA DA NATIVIDADE;298
TO-COLINAS DO TOCANTINS;3597
TO-COMBINADO;338
TO-CONCEICAO DO TOCANTINS;249
TO-COUTO MAGALHAES;399
TO-CRISTALANDIA;720
TO-CRIXAS DO TOCANTINS;222
TO-DARCINOPOLIS;638
TO-DIANOPOLIS;2029
TO-DIVINOPOLIS DO TOCANTINS;507
TO-DOIS IRMAOS DO TOCANTINS;331
TO-DUERE;663
TO-ESPERANTINA;397
TO-FATIMA;506
TO-FIGUEIROPOLIS;567
TO-FILADELFIA;522
TO-FORMOSO DO ARAGUAIA;2745
TO-FORTALEZA DO TABOCAO;603
TO-GOIANORTE;342
TO-GOIATINS;665
TO-GUARAI;2915
TO-GURUPI;13478
