Município;Total
RO-ALTA FLORESTA D OESTE;2811
RO-ARIQUEMES;17932
RO-CABIXI;706
RO-CACOAL;17910
RO-CEREJEIRAS;2230
RO-COLORADO DO OESTE;2337
RO-CORUMBIARA;1477
RO-COSTA MARQUES;954
RO-ESPIGAO D OESTE;4943
RO-GUAJARA-MIRIM;3730
RO-JARU;10246
RO-JI-PARANA;29359
RO-MACHADINHO D OESTE;3278
RO-NOVA BRASILANDIA D OESTE;1700
RO-OURO PRETO DO OESTE;6097
RO-PIMENTA BUENO;9993
RO-PORTO VELHO;156685
RO-PRESIDENTE MEDICI;2505
RO-RIO CRESPO;685
RO-ROLIM DE MOURA;11972
RO-SANTA LUZIA D OESTE;978
RO-VILHENA;21783
RO-SAO MIGUEL DO GUAPORE;3319
RO-NOVA MAMORE;1967
RO-ALVORADA D OESTE;1342
RO-ALTO ALEGRE DOS PARECIS;1084
RO-ALTO PARAISO;1414
RO-BURITIS;3636
RO-NOVO HORIZONTE DO OESTE;841
RO-CACAULANDIA;571
RO-CAMPO NOVO DE RONDONIA;948
RO-CANDEIAS DO JAMARI;2186
RO-CASTANHEIRAS;483
RO-CHUPINGUAIA;2955
RO-CUJUBIM;1354
RO-GOVERNADOR JORGE TEIXEIRA;641
RO-ITAPUA DO OESTE;1171
RO-MINISTRO ANDREAZZA;837
RO-MIRANTE DA SERRA;1338
RO-MONTE NEGRO;1321
RO-NOVA UNIAO;433
RO-PARECIS;705
RO-PIMENTEIRAS DO OESTE;642
RO-PRIMAVERA DE RONDONIA;398
RO-SAO FELIPE D OESTE;543
RO-SAO FRANCISCO DO GUAPORE;1586
RO-SERINGUEIRAS;1270
RO-TEIXEIROPOLIS;453
RO-THEOBROMA;915
RO-URUPA;1298
RO-VALE DO ANARI;724
RO-VALE DO PARAISO;725
RO-IGNORADO;0
AC-ACRELANDIA;833
AC-ASSIS BRASIL;415
AC-BRASILEIA;2310
AC-BUJARI;1737
AC-CAPIXABA;624
AC-CRUZEIRO DO SUL;8767
AC-EPITACIOLANDIA;1605
AC-FEIJO;1832
AC-JORDAO;62
AC-MANCIO LIMA;862
AC-MANOEL URBANO;444
AC-MARECHAL THAUMATURGO;1227
AC-PLACIDO DE CASTRO;1473
AC-PORTO WALTER;643
AC-RIO BRANCO;92982
AC-RODRIGUES ALVES;738
AC-SANTA ROSA DO PURUS;260
AC-SENADOR GUIOMARD;2171
AC-SENA MADUREIRA;2318
AC-TARAUACA;1898
AC-XAPURI;972
AC-PORTO ACRE;1099
AC-IGNORADO;0
AM-ALVARAES;766
AM-AMATURA;560
AM-ANAMA;455
AM-ANORI;739
AM-APUI;863
AM-ATALAIA DO NORTE;1152
AM-AUTAZES;2248
AM-BARCELOS;889
AM-BARREIRINHA;2033
AM-BENJAMIN CONSTANT;2620
AM-BERURI;1210
AM-BOA VISTA DO RAMOS;856
AM-BOCA DO ACRE;2623
AM-BORBA;2402
AM-CAAPIRANGA;878
AM-CANUTAMA;555
AM-CARAUARI;1497
AM-CAREIRO;1221
AM-CAREIRO DA VARZEA;1164
AM-COARI;1674
AM-CODAJAS;851
AM-EIRUNEPE;1602
AM-ENVIRA;962
AM-FONTE BOA;1926
AM-GUAJARA;637
AM-HUMAITA;3041
AM-IPIXUNA;359
AM-IRANDUBA;4176
AM-ITACOATIARA;8809
AM-ITAMARATI;859
AM-ITAPIRANGA;339
AM-JAPURA;42
AM-JURUA;982
AM-JUTAI;674
AM-LABREA;2114
AM-MANACAPURU;6689
AM-MANAQUIRI;1151
AM-MANAUS;488720
AM-MANICORE;1759
AM-MARAA;25
AM-MAUES;3203
AM-NHAMUNDA;998
AM-NOVA OLINDA DO NORTE;1538
AM-NOVO AIRAO;1106
AM-NOVO ARIPUANA;862
AM-PARINTINS;5460
AM-PAUINI;1011
AM-PRESIDENTE FIGUEIREDO;5355
AM-RIO PRETO DA EVA;1940
AM-SANTA ISABEL DO RIO NEGRO;580
AM-SANTO ANTONIO DO ICA;1136
AM-SAO GABRIEL DA CACHOEIRA;2135
AM-SAO PAULO DE OLIVENCA;1060
AM-SAO SEBASTIAO DO UATUMA;579
AM-SILVES;511
AM-TABATINGA;4043
AM-TAPAUA;1604
AM-TEFE;3051
AM-TONANTINS;1018
AM-UARINI;390
AM-URUCARA;792
AM-URUCURITUBA;901
AM-IGNORADO;0
RR-AMAJARI;560
RR-ALTO ALEGRE;848
RR-BOA VISTA;89105
RR-BONFIM;1183
RR-CANTA;1068
RR-CARACARAI;1404
RR-CAROEBE;555
RR-IRACEMA;441
RR-MUCAJAI;1032
RR-NORMANDIA;531
RR-PACARAIMA;768
RR-RORAINOPOLIS;2294
RR-SAO JOAO DA BALIZA;734
RR-SAO LUIZ;697
RR-UIRAMUTA;277
RR-IGNORADO;0
PA-ABAETETUBA;9772
PA-ABEL FIGUEIREDO;736
PA-ACARA;4159
PA-AFUA;2469
PA-AGUA AZUL DO NORTE;2119
PA-ALENQUER;2844
PA-ALMEIRIM;3406
PA-ALTAMIRA;15345
PA-ANAJAS;1242
PA-ANANINDEUA;66576
PA-ANAPU;1515
PA-AUGUSTO CORREA;2544
PA-AURORA DO PARA;1311
PA-AVEIRO;734
PA-BAGRE;697
PA-BAIAO;1645
PA-BANNACH;562
PA-BARCARENA;26539
PA-BELEM;396699
PA-BELTERRA;1460
PA-BENEVIDES;9906
PA-BOM JESUS DO TOCANTINS;1191
PA-BONITO;1923
PA-BRAGANCA;7133
PA-BRASIL NOVO;1225
PA-BREJO GRANDE DO ARAGUAIA;650
PA-BREU BRANCO;3427
PA-BREVES;6970
PA-BUJARU;1312
PA-CACHOEIRA DO PIRIA;728
PA-CACHOEIRA DO ARARI;1090
PA-CAMETA;5946
PA-CANAA DOS CARAJAS;13650
PA-CAPANEMA;7701
PA-CAPITAO POCO;3338
PA-CASTANHAL;30931
PA-CHAVES;916
PA-COLARES;532
PA-CONCEICAO DO ARAGUAIA;3722
PA-CONCORDIA DO PARA;2730
PA-CUMARU DO NORTE;1820
PA-CURIONOPOLIS;2038
PA-CURRALINHO;1837
PA-CURUA;936
PA-CURUCA;2060
PA-DOM ELISEU;4255
PA-ELDORADO DO CARAJAS;2057
PA-FARO;475
PA-FLORESTA DO ARAGUAIA;1406
PA-GARRAFAO DO NORTE;1696
PA-GOIANESIA DO PARA;2713
PA-GURUPA;1836
PA-IGARAPE-ACU;2369
PA-IGARAPE-MIRI;3191
PA-INHANGAPI;1009
PA-IPIXUNA DO PARA;4028
PA-IRITUIA;1718
PA-ITAITUBA;11469
PA-ITUPIRANGA;2925
PA-JACAREACANGA;757
PA-JACUNDA;3630
PA-JURUTI;4462
PA-LIMOEIRO DO AJURU;1132
PA-MAE DO RIO;2521
PA-MAGALHAES BARATA;569
PA-MARABA;49662
