Município;Total
RO-ALTA FLORESTA D OESTE;1440
RO-ARIQUEMES;8543
RO-CABIXI;350
RO-CACOAL;8417
RO-CEREJEIRAS;1275
RO-COLORADO DO OESTE;1370
RO-CORUMBIARA;401
RO-COSTA MARQUES;469
RO-ESPIGAO D OESTE;2275
RO-GUAJARA-MIRIM;2104
RO-JARU;5558
RO-JI-PARANA;14438
RO-MACHADINHO D OESTE;1329
RO-NOVA BRASILANDIA D OESTE;711
RO-OURO PRETO DO OESTE;3243
RO-PIMENTA BUENO;4279
RO-PORTO VELHO;86544
RO-PRESIDENTE MEDICI;1362
RO-RIO CRESPO;451
RO-ROLIM DE MOURA;4721
RO-SANTA LUZIA D OESTE;612
RO-VILHENA;8544
RO-SAO MIGUEL DO GUAPORE;890
RO-NOVA MAMORE;748
RO-ALVORADA D OESTE;1075
RO-ALTO ALEGRE DOS PARECIS;464
RO-ALTO PARAISO;622
RO-BURITIS;1568
RO-NOVO HORIZONTE DO OESTE;247
RO-CACAULANDIA;232
RO-CAMPO NOVO DE RONDONIA;403
RO-CANDEIAS DO JAMARI;717
RO-CASTANHEIRAS;208
RO-CHUPINGUAIA;615
RO-CUJUBIM;276
RO-GOVERNADOR JORGE TEIXEIRA;361
RO-ITAPUA DO OESTE;575
RO-MINISTRO ANDREAZZA;446
RO-MIRANTE DA SERRA;715
RO-MONTE NEGRO;525
RO-NOVA UNIAO;236
RO-PARECIS;207
RO-PIMENTEIRAS DO OESTE;209
RO-PRIMAVERA DE RONDONIA;217
RO-SAO FELIPE D OESTE;252
RO-SAO FRANCISCO DO GUAPORE;799
RO-SERINGUEIRAS;464
RO-TEIXEIROPOLIS;296
RO-THEOBROMA;380
RO-URUPA;400
RO-VALE DO ANARI;290
RO-VALE DO PARAISO;403
RO-IGNORADO;0
AC-ACRELANDIA;461
AC-ASSIS BRASIL;165
AC-BRASILEIA;425
AC-BUJARI;448
AC-CAPIXABA;226
AC-CRUZEIRO DO SUL;2674
AC-EPITACIOLANDIA;404
AC-FEIJO;710
AC-JORDAO;69
AC-MANCIO LIMA;219
AC-MANOEL URBANO;110
AC-MARECHAL THAUMATURGO;358
AC-PLACIDO DE CASTRO;572
AC-PORTO WALTER;281
AC-RIO BRANCO;57993
AC-RODRIGUES ALVES;132
AC-SANTA ROSA DO PURUS;81
AC-SENADOR GUIOMARD;702
AC-SENA MADUREIRA;858
AC-TARAUACA;871
AC-XAPURI;491
AC-PORTO ACRE;189
AC-IGNORADO;0
AM-ALVARAES;8
AM-AMATURA;9
AM-ANAMA;9
AM-ANORI;12
AM-APUI;399
AM-ATALAIA DO NORTE;51
AM-AUTAZES;322
AM-BARCELOS;183
AM-BARREIRINHA;625
AM-BENJAMIN CONSTANT;662
AM-BERURI;10
AM-BOA VISTA DO RAMOS;179
AM-BOCA DO ACRE;824
AM-BORBA;351
AM-CAAPIRANGA;385
AM-CANUTAMA;14
AM-CARAUARI;585
AM-CAREIRO;418
AM-CAREIRO DA VARZEA;15
AM-COARI;2870
AM-CODAJAS;188
AM-EIRUNEPE;484
AM-ENVIRA;405
AM-FONTE BOA;264
AM-GUAJARA;57
AM-HUMAITA;1517
AM-IPIXUNA;143
AM-IRANDUBA;1295
AM-ITACOATIARA;5088
AM-ITAMARATI;94
AM-ITAPIRANGA;261
AM-JAPURA;21
AM-JURUA;109
AM-JUTAI;13
AM-LABREA;702
AM-MANACAPURU;1261
AM-MANAQUIRI;13
AM-MANAUS;260690
AM-MANICORE;688
AM-MARAA;11
AM-MAUES;749
AM-NHAMUNDA;440
AM-NOVA OLINDA DO NORTE;535
AM-NOVO AIRAO;69
AM-NOVO ARIPUANA;36
AM-PARINTINS;2700
AM-PAUINI;10
