Município;Total;
RO-ALTA FLORESTA D OESTE;819;
RO-ARIQUEMES;3741;
RO-CABIXI;220;
RO-CACOAL;3931;
RO-CEREJEIRAS;644;
RO-COLORADO DO OESTE;964;
RO-CORUMBIARA;238;
RO-COSTA MARQUES;209;
RO-ESPIGAO D OESTE;797;
RO-GUAJARA-MIRIM;1562;
RO-JARU;2299;
RO-JI-PARANA;9219;
RO-MACHADINHO D OESTE;362;
RO-NOVA BRASILANDIA D OESTE;454;
RO-OURO PRETO DO OESTE;1924;
RO-PIMENTA BUENO;2362;
RO-PORTO VELHO;79447;
RO-PRESIDENTE MEDICI;742;
RO-RIO CRESPO;103;
RO-ROLIM DE MOURA;1883;
RO-SANTA LUZIA D OESTE;209;
RO-VILHENA;4296;
RO-SAO MIGUEL DO GUAPORE;289;
RO-NOVA MAMORE;173;
RO-ALVORADA D OESTE;353;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;8;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;89;
RO-CACAULANDIA;15;
RO-CAMPO NOVO DE RONDONIA;79;
RO-CANDEIAS DO JAMARI;310;
RO-CASTANHEIRAS;125;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;143;
RO-ITAPUA DO OESTE;247;
RO-MINISTRO ANDREAZZA;20;
RO-MIRANTE DA SERRA;77;
RO-MONTE NEGRO;103;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;65;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;81;
RO-URUPA;195;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;205;
RO-IGNORADO;38;
AC-ACRELANDIA;86;
AC-ASSIS BRASIL;5;
AC-BRASILEIA;273;
AC-BUJARI;226;
AC-CAPIXABA;7;
AC-CRUZEIRO DO SUL;1743;
AC-EPITACIOLANDIA;111;
AC-FEIJO;240;
AC-JORDAO;0;
AC-MANCIO LIMA;17;
AC-MANOEL URBANO;74;
AC-MARECHAL THAUMATURGO;92;
AC-PLACIDO DE CASTRO;312;
AC-PORTO WALTER;102;
AC-RIO BRANCO;43238;
AC-RODRIGUES ALVES;67;
AC-SANTA ROSA DO PURUS;51;
AC-SENADOR GUIOMARD;336;
AC-SENA MADUREIRA;413;
AC-TARAUACA;226;
AC-XAPURI;479;
AC-PORTO ACRE;58;
AC-IGNORADO;0;
AM-ALVARAES;10;
AM-AMATURA;10;
AM-ANAMA;9;
AM-ANORI;50;
AM-APUI;10;
AM-ATALAIA DO NORTE;22;
AM-AUTAZES;122;
AM-BARCELOS;302;
AM-BARREIRINHA;15;
AM-BENJAMIN CONSTANT;187;
AM-BERURI;11;
AM-BOA VISTA DO RAMOS;92;
AM-BOCA DO ACRE;268;
AM-BORBA;207;
AM-CAAPIRANGA;6;
AM-CANUTAMA;10;
AM-CARAUARI;64;
AM-CAREIRO;196;
AM-CAREIRO DA VARZEA;67;
AM-COARI;1495;
AM-CODAJAS;20;
AM-EIRUNEPE;138;
AM-ENVIRA;45;
AM-FONTE BOA;15;
AM-GUAJARA;25;
AM-HUMAITA;658;
AM-IPIXUNA;117;
AM-IRANDUBA;524;
AM-ITACOATIARA;4336;
AM-ITAMARATI;117;
AM-ITAPIRANGA;76;
AM-JAPURA;15;
AM-JURUA;5;
AM-JUTAI;28;
AM-LABREA;209;
AM-MANACAPURU;585;
AM-MANAQUIRI;393;
AM-MANAUS;221810;
AM-MANICORE;620;
AM-MARAA;7;
AM-MAUES;624;
AM-NHAMUNDA;191;
AM-NOVA OLINDA DO NORTE;200;
AM-NOVO AIRAO;120;
AM-NOVO ARIPUANA;13;
AM-PARINTINS;655;
AM-PAUINI;108;
AM-PRESIDENTE FIGUEIREDO;2358;
AM-RIO PRETO DA EVA;256;
AM-SANTA ISABEL DO RIO NEGRO;15;
AM-SANTO ANTONIO DO ICA;17;
AM-SAO GABRIEL DA CACHOEIRA;70;
AM-SAO PAULO DE OLIVENCA;36;
AM-SAO SEBASTIAO DO UATUMA;13;
AM-SILVES;31;
AM-TABATINGA;266;
AM-TAPAUA;9;
AM-TEFE;952;
AM-TONANTINS;8;
AM-UARINI;6;
AM-URUCARA;149;
AM-URUCURITUBA;260;
AM-IGNORADO;0;
RR-AMAJARI;0;
RR-ALTO ALEGRE;7;
RR-BOA VISTA;21187;
RR-BONFIM;7;
RR-CANTA;0;
RR-CARACARAI;128;
RR-CAROEBE;0;
RR-IRACEMA;0;
RR-MUCAJAI;44;
RR-NORMANDIA;7;
RR-PACARAIMA;0;
