Município;Total;
RR-RORAINOPOLIS;0;
RR-SAO JOAO DA BALIZA;10;
RR-SAO LUIZ;16;
RR-UIRAMUTA;0;
RR-IGNORADO;0;
PA-ABAETETUBA;1865;
PA-ABEL FIGUEIREDO;105;
PA-ACARA;485;
PA-AFUA;404;
PA-AGUA AZUL DO NORTE;65;
PA-ALENQUER;208;
PA-ALMEIRIM;6193;
PA-ALTAMIRA;2549;
PA-ANAJAS;11;
PA-ANANINDEUA;16288;
PA-ANAPU;0;
PA-AUGUSTO CORREA;308;
PA-AURORA DO PARA;67;
PA-AVEIRO;201;
PA-BAGRE;2;
PA-BAIAO;11;
PA-BANNACH;0;
PA-BARCARENA;5252;
PA-BELEM;265774;
PA-BELTERRA;0;
PA-BENEVIDES;1345;
PA-BOM JESUS DO TOCANTINS;493;
PA-BONITO;101;
PA-BRAGANCA;1385;
PA-BRASIL NOVO;66;
PA-BREJO GRANDE DO ARAGUAIA;106;
PA-BREU BRANCO;1337;
PA-BREVES;2673;
PA-BUJARU;234;
PA-CACHOEIRA DO PIRIA;0;
PA-CACHOEIRA DO ARARI;351;
PA-CAMETA;835;
PA-CANAA DOS CARAJAS;0;
PA-CAPANEMA;2382;
PA-CAPITAO POCO;586;
PA-CASTANHAL;7219;
PA-CHAVES;263;
PA-COLARES;2;
PA-CONCEICAO DO ARAGUAIA;1045;
PA-CONCORDIA DO PARA;464;
PA-CUMARU DO NORTE;35;
PA-CURIONOPOLIS;110;
PA-CURRALINHO;1;
PA-CURUA;0;
PA-CURUCA;296;
PA-DOM ELISEU;1561;
PA-ELDORADO DOS CARAJAS;162;
PA-FARO;109;
PA-FLORESTA DO ARAGUAIA;0;
PA-GARRAFAO DO NORTE;20;
PA-GOIANESIA DO PARA;100;
PA-GURUPA;25;
PA-IGARAPE-ACU;376;
PA-IGARAPE-MIRI;488;
PA-INHANGAPI;185;
PA-IPIXUNA DO PARA;355;
PA-IRITUIA;439;
PA-ITAITUBA;1839;
PA-ITUPIRANGA;63;
PA-JACAREACANGA;27;
PA-JACUNDA;527;
PA-JURUTI;28;
PA-LIMOEIRO DO AJURU;6;
PA-MAE DO RIO;384;
PA-MAGALHAES BARATA;132;
PA-MARABA;5944;
PA-MARACANA;472;
PA-MARAPANIM;316;
PA-MARITUBA;0;
PA-MEDICILANDIA;468;
PA-MELGACO;8;
PA-MOCAJUBA;34;
PA-MOJU;1353;
PA-MOJUI DOS CAMPOS;0;
PA-MONTE ALEGRE;665;
PA-MUANA;52;
PA-NOVA ESPERANCA DO PIRIA;58;
PA-NOVA IPIXUNA;0;
PA-NOVA TIMBOTEUA;254;
PA-NOVO PROGRESSO;183;
PA-NOVO REPARTIMENTO;138;
PA-OBIDOS;1005;
PA-OEIRAS DO PARA;42;
PA-ORIXIMINA;2952;
PA-OUREM;247;
PA-OURILANDIA DO NORTE;168;
PA-PACAJA;8;
PA-PALESTINA DO PARA;141;
PA-PARAGOMINAS;6927;
PA-PARAUAPEBAS;6637;
PA-PAU D ARCO;55;
PA-PEIXE-BOI;119;
PA-PICARRA;0;
PA-PLACAS;0;
PA-PONTA DE PEDRAS;226;
PA-PORTEL;1010;
PA-PORTO DE MOZ;35;
PA-PRAINHA;284;
PA-PRIMAVERA;343;
PA-QUATIPURU;0;
PA-REDENCAO;2441;
PA-RIO MARIA;404;
PA-RONDON DO PARA;2076;
PA-RUROPOLIS;266;
PA-SALINOPOLIS;563;
PA-SALVATERRA;190;
PA-SANTA BARBARA DO PARA;663;
PA-SANTA CRUZ DO ARARI;45;
PA-SANTA ISABEL DO PARA;2962;
PA-SANTA LUZIA DO PARA;357;
PA-SANTA MARIA DAS BARREIRAS;266;
PA-SANTA MARIA DO PARA;404;
PA-SANTANA DO ARAGUAIA;963;
PA-SANTAREM;9844;
PA-SANTAREM NOVO;265;
PA-SANTO ANTONIO DO TAUA;500;
PA-SAO CAETANO DE ODIVELAS;273;
PA-SAO DOMINGOS DO ARAGUAIA;12;
PA-SAO DOMINGOS DO CAPIM;397;
PA-SAO FELIX DO XINGU;236;
PA-SAO FRANCISCO DO PARA;235;
PA-SAO GERALDO DO ARAGUAIA;265;
PA-SAO JOAO DA PONTA;0;
PA-SAO JOAO DE PIRABAS;336;
PA-SAO JOAO DO ARAGUAIA;20;
PA-SAO MIGUEL DO GUAMA;1375;
PA-SAO SEBASTIAO DA BOA VISTA;8;
PA-SAPUCAIA;0;
PA-SENADOR JOSE PORFIRIO;245;
PA-SOURE;430;
PA-TAILANDIA;1199;
PA-TERRA ALTA;7;
PA-TERRA SANTA;14;
PA-TOME-ACU;1058;
PA-TRACUATEUA;0;
PA-TRAIRAO;103;
PA-TUCUMA;309;
PA-TUCURUI;2915;
PA-ULIANOPOLIS;1109;
PA-URUARA;121;
PA-VIGIA;692;
PA-VISEU;855;
PA-VITORIA DO XINGU;3;
PA-XINGUARA;1295;
PA-IGNORADO;0;
AP-SERRA DO NAVIO;81;
AP-AMAPA;190;
AP-PEDRA BRANCA DO AMAPARI;51;
AP-CALCOENE;17;
AP-CUTIAS;4;
AP-FERREIRA GOMES;23;
AP-ITAUBAL;0;
AP-LARANJAL DO JARI;212;
AP-MACAPA;28717;
AP-MAZAGAO;183;
AP-OIAPOQUE;19;
AP-PORTO GRANDE;224;
AP-PRACUUBA;6;
AP-SANTANA;2025;
AP-TARTARUGALZINHO;6;
AP-VITORIA DO JARI;0;
AP-IGNORADO;0;
TO-ABREULANDIA;1;
TO-AGUIARNOPOLIS;0;
TO-ALIANCA DO TOCANTINS;148;
TO-ALMAS;34;
TO-ALVORADA;469;
TO-ANANAS;134;
TO-ANGICO;46;
TO-APARECIDA DO RIO NEGRO;4;
TO-ARAGOMINAS;90;
TO-ARAGUACEMA;80;
TO-ARAGUACU;207;
TO-ARAGUAINA;6930;
TO-ARAGUANA;10;
TO-ARAGUATINS;88;
TO-ARAPOEMA;320;
TO-ARRAIAS;130;
TO-AUGUSTINOPOLIS;16;
TO-AURORA DO TOCANTINS;53;
TO-AXIXA DO TOCANTINS;32;
TO-BABACULANDIA;8;
TO-BANDEIRANTES DO TOCANTINS;0;
TO-BARRA DO OURO;0;
TO-BARROLANDIA;29;
TO-BERNARDO SAYAO;41;
TO-BOM JESUS DO TOCANTINS;1;
TO-BRASILANDIA DO TOCANTINS;55;
TO-BREJINHO DE NAZARE;140;
TO-BURITI DO TOCANTINS;72;
TO-CACHOEIRINHA;2;
TO-CAMPOS LINDOS;1;
TO-CARIRI DO TOCANTINS;20;
TO-CARMOLANDIA;47;
TO-CARRASCO BONITO;60;
TO-CASEARA;85;
TO-CENTENARIO;1;
TO-CHAPADA DE AREIA;0;
TO-CHAPADA DA NATIVIDADE;0;
TO-COLINAS DO TOCANTINS;795;
TO-COMBINADO;50;
TO-CONCEICAO DO TOCANTINS;2;
TO-COUTO DE MAGALHAES;130;
TO-CRISTALANDIA;263;
TO-CRIXAS DO TOCANTINS;0;
TO-DARCINOPOLIS;97;
TO-DIANOPOLIS;285;
TO-DIVINOPOLIS DO TOCANTINS;36;
TO-DOIS IRMAOS DO TOCANTINS;41;
TO-DUERE;97;
TO-ESPERANTINA;1;
TO-FATIMA;36;
TO-FIGUEIROPOLIS;204;
TO-FILADELFIA;8;
TO-FORMOSO DO ARAGUAIA;1137;
TO-FORTALEZA DO TABOCAO;1;
TO-GOIANORTE;29;
TO-GOIATINS;166;
TO-GUARAI;519;
TO-GURUPI;5691;
TO-IPUEIRAS;0;
TO-ITACAJA;52;
TO-ITAGUATINS;54;
TO-ITAPIRATINS;10;
TO-ITAPORA DO TOCANTINS;22;
TO-JAU DO TOCANTINS;64;
TO-JUARINA;2;
TO-LAGOA DA CONFUSAO;23;
TO-LAGOA DO TOCANTINS;58;
TO-LAJEADO;8;
TO-LAVANDEIRA;0;
TO-LIZARDA;2;
TO-LUZINOPOLIS;0;
TO-MARIANOPOLIS DO TOCANTINS;16;
TO-MATEIROS;0;
TO-MAURILANDIA DO TOCANTINS;1;
TO-MIRACEMA DO TOCANTINS;575;
TO-MIRANORTE;326;
TO-MONTE DO CARMO;53;
TO-MONTE SANTO DO TOCANTINS;0;
TO-PALMEIRAS DO TOCANTINS;42;
TO-MURICILANDIA;69;
TO-NATIVIDADE;164;
TO-NAZARE;50;
TO-NOVA OLINDA;126;
TO-NOVA ROSALANDIA;12;
TO-NOVO ACORDO;85;
TO-NOVO ALEGRE;3;
TO-NOVO JARDIM;40;
TO-OLIVEIRA DE FATIMA;0;
TO-PALMEIRANTE;1;
TO-PALMEIROPOLIS;174;
TO-PARAISO DO TOCANTINS;1642;
TO-PARANA;44;
TO-PAU D ARCO;85;
TO-PEDRO AFONSO;118;
TO-PEIXE;98;
TO-PEQUIZEIRO;136;
TO-COLMEIA;127;
TO-PINDORAMA DO TOCANTINS;16;
TO-PIRAQUE;39;
TO-PIUM;219;
TO-PONTE ALTA DO BOM JESUS;13;
TO-PONTE ALTA DO TOCANTINS;106;
TO-PORTO ALEGRE DO TOCANTINS;22;
TO-PORTO NACIONAL;1736;
TO-PRAIA NORTE;1;
TO-PRESIDENTE KENNEDY;62;
TO-PUGMIL;0;
TO-RECURSOLANDIA;1;
TO-RIACHINHO;2;
TO-RIO DA CONCEICAO;2;
TO-RIO DOS BOIS;25;
TO-RIO SONO;3;
TO-SAMPAIO;1;
TO-SANDOLANDIA;51;
TO-SANTA FE DO ARAGUAIA;45;
TO-SANTA MARIA DO TOCANTINS;2;
TO-SANTA RITA DO TOCANTINS;0;
TO-SANTA ROSA DO TOCANTINS;85;
TO-SANTA TEREZA DO TOCANTINS;26;
TO-SANTA TEREZINHA DO TOCANTINS;0;
TO-SAO BENTO DO TOCANTINS;2;
TO-SAO FELIX DO TOCANTINS;0;
TO-SAO MIGUEL DO TOCANTINS;8;
TO-SAO SALVADOR DO TOCANTINS;14;
TO-SAO SEBASTIAO DO TOCANTINS;2;
TO-SAO VALERIO DA NATIVIDADE;106;
TO-SILVANOPOLIS;6;
TO-SITIO NOVO DO TOCANTINS;66;
TO-SUCUPIRA;36;
TO-TAGUATINGA;44;
TO-TAIPAS DO TOCANTINS;2;
TO-TALISMA;0;
TO-PALMAS;29978;
TO-TOCANTINIA;4;
TO-TOCANTINOPOLIS;294;
TO-TUPIRAMA;0;
TO-TUPIRATINS;50;
TO-WANDERLANDIA;294;
TO-XAMBIOA;144;
TO-IGNORADO;0;
MA-ACAILANDIA;6010;
MA-AFONSO CUNHA;25;
MA-AGUA DOCE DO MARANHAO;0;
MA-ALCANTARA;417;
MA-ALDEIAS ALTAS;206;
MA-ALTAMIRA DO MARANHAO;525;
MA-ALTO ALEGRE DO MARANHAO;0;
MA-ALTO ALEGRE DO PINDARE;0;
MA-ALTO PARNAIBA;79;
MA-AMAPA DO MARANHAO;0;
MA-AMARANTE DO MARANHAO;75;
MA-ANAJATUBA;30;
MA-ANAPURUS;60;
MA-APICUM-ACU;0;
MA-ARAGUANA;0;
MA-ARAIOSES;528;
MA-ARAME;44;
MA-ARARI;834;
MA-AXIXA;23;
MA-BACABAL;3448;
MA-BACABEIRA;0;
MA-BACURI;26;
MA-BACURITUBA;0;
MA-BALSAS;1623;
MA-BARAO DE GRAJAU;551;
MA-BARRA DO CORDA;1923;
MA-BARREIRINHAS;130;
MA-BELAGUA;0;
MA-BELA VISTA DO MARANHAO;0;
MA-BENEDITO LEITE;5;
MA-BEQUIMAO;568;
MA-BERNARDO DO MEARIM;0;
MA-BOA VISTA DO GURUPI;0;
MA-BOM JARDIM;104;
MA-BOM JESUS DAS SELVAS;0;
MA-BOM LUGAR;0;
MA-BREJO;231;
MA-BREJO DE AREIA;0;
MA-BURITI;65;
MA-BURITI BRAVO;76;
MA-BURITICUPU;0;
MA-BURITIRANA;0;
MA-CACHOEIRA GRANDE;0;
MA-CAJAPIO;328;
MA-CAJARI;2;
MA-CAMPESTRE DO MARANHAO;0;
MA-CANDIDO MENDES;161;
MA-CANTANHEDE;38;
MA-CAPINZAL DO NORTE;0;
MA-CAROLINA;914;
MA-CARUTAPERA;133;
MA-CAXIAS;4291;
MA-CEDRAL;4;
MA-CENTRAL DO MARANHAO;0;
MA-CENTRO DO GUILHERME;0;
MA-CENTRO NOVO DO MARANHAO;0;
MA-CHAPADINHA;1862;
MA-CIDELANDIA;0;
MA-CODO;3499;
MA-COELHO NETO;1955;
MA-COLINAS;530;
MA-CONCEICAO DO LAGO-ACU;0;
MA-COROATA;1444;
MA-CURURUPU;171;
MA-DAVINOPOLIS;0;
MA-DOM PEDRO;263;
MA-DUQUE BACELAR;257;
MA-ESPERANTINOPOLIS;21;
MA-ESTREITO;1047;
MA-FEIRA NOVA DO MARANHAO;0;
MA-FERNANDO FALCAO;0;
MA-FORMOSA DA SERRA NEGRA;0;
MA-FORTALEZA DOS NOGUEIRAS;354;
MA-FORTUNA;68;
MA-GODOFREDO VIANA;131;
MA-GONCALVES DIAS;15;
MA-GOVERNADOR ARCHER;8;
MA-GOVERNADOR EDISON LOBAO;0;
MA-GOVERNADOR EUGENIO BARROS;328;
MA-GOVERNADOR LUIZ ROCHA;0;
MA-GOVERNADOR NEWTON BELLO;0;
MA-GOVERNADOR NUNES FREIRE;0;
MA-GRACA ARANHA;2;
MA-GRAJAU;632;
MA-GUIMARAES;29;
MA-HUMBERTO DE CAMPOS;75;
MA-ICATU;10;
MA-IGARAPE DO MEIO;0;
MA-IGARAPE GRANDE;436;
MA-IMPERATRIZ;15201;
MA-ITAIPAVA DO GRAJAU;0;
MA-ITAPECURU MIRIM;1385;
MA-ITINGA DO MARANHAO;0;
MA-JATOBA;0;
MA-JENIPAPO DOS VIEIRAS;0;
MA-JOAO LISBOA;207;
MA-JOSELANDIA;91;
MA-JUNCO DO MARANHAO;0;
MA-LAGO DA PEDRA;355;
MA-LAGO DO JUNCO;177;
MA-LAGO VERDE;17;
MA-LAGOA DO MATO;0;
MA-LAGO DOS RODRIGUES;0;
MA-LAGOA GRANDE DO MARANHAO;0;
MA-LAJEADO NOVO;0;
MA-LIMA CAMPOS;203;
MA-LORETO;118;
MA-LUIS DOMINGUES;4;
MA-MAGALHAES DE ALMEIDA;210;
MA-MARACACUME;0;
MA-MARAJA DO SENA;0;
MA-MARANHAOZINHO;0;
MA-MATA ROMA;246;
MA-MATINHA;977;
MA-MATOES;31;
MA-MATOES DO NORTE;0;
MA-MILAGRES DO MARANHAO;0;
MA-MIRADOR;10;
MA-MIRANDA DO NORTE;331;
MA-MIRINZAL;12;
MA-MONCAO;8;
MA-MONTES ALTOS;122;
MA-MORROS;149;
MA-NINA RODRIGUES;2;
MA-NOVA COLINAS;0;
MA-NOVA IORQUE;4;
MA-NOVA OLINDA DO MARANHAO;0;
MA-OLHO D AGUA DAS CUNHAS;213;
MA-OLINDA NOVA DO MARANHAO;0;
MA-PACO DO LUMIAR;1745;
MA-PALMEIRANDIA;81;
MA-PARAIBANO;216;
MA-PARNARAMA;771;
MA-PASSAGEM FRANCA;36;
MA-PASTOS BONS;237;
MA-PAULINO NEVES;0;
MA-PAULO RAMOS;49;
MA-PEDREIRAS;1968;
MA-PEDRO DO ROSARIO;0;
MA-PENALVA;35;
MA-PERI MIRIM;55;
MA-PERITORO;0;
MA-PINDARE MIRIM;143;
MA-PINHEIRO;2022;
MA-PIO XII;735;
MA-PIRAPEMAS;2;
MA-POCAO DE PEDRAS;23;
MA-PORTO FRANCO;1152;
MA-PORTO RICO DO MARANHAO;0;
MA-PRESIDENTE DUTRA;473;
MA-PRESIDENTE JUSCELINO;156;
MA-PRESIDENTE MEDICI;0;
MA-PRESIDENTE SARNEY;0;
MA-PRESIDENTE VARGAS;61;
MA-PRIMEIRA CRUZ;53;
MA-RAPOSA;0;
MA-RIACHAO;63;
MA-RIBAMAR FIQUENE;0;
MA-ROSARIO;1008;
MA-SAMBAIBA;47;
MA-SANTA FILOMENA DO MARANHAO;0;
MA-SANTA HELENA;413;
MA-SANTA INES;2478;
MA-SANTA LUZIA;364;
MA-SANTA LUZIA DO PARUA;103;
MA-SANTA QUITERIA DO MARANHAO;464;
MA-SANTA RITA;243;
MA-SANTANA DO MARANHAO;0;
MA-SANTO AMARO DO MARANHAO;0;
MA-SANTO ANTONIO DOS LOPES;52;
MA-SAO BENEDITO DO RIO PRETO;413;
MA-SAO BENTO;126;
MA-SAO BERNARDO;80;
MA-SAO DOMINGOS DO AZEITAO;0;
MA-SAO DOMINGOS DO MARANHAO;317;
MA-SAO FELIX DE BALSAS;65;
MA-SAO FRANCISCO DO BREJAO;0;
MA-SAO FRANCISCO DO MARANHAO;212;
MA-SAO JOAO BATISTA;99;
MA-SAO JOAO DO CARU;0;
MA-SAO JOAO DO PARAISO;0;
MA-SAO JOAO DO SOTER;0;
MA-SAO JOAO DOS PATOS;758;
MA-SAO JOSE DE RIBAMAR;2661;
MA-SAO JOSE DOS BASILIOS;0;
MA-SAO LUIS;161435;
MA-SAO LUIS GONZAGA DO MARANHAO;476;
MA-SAO MATEUS DO MARANHAO;170;
MA-SAO PEDRO DA AGUA BRANCA;0;
MA-SAO PEDRO DOS CRENTES;0;
MA-SAO RAIMUNDO DAS MANGABEIRAS;48;
MA-SAO RAIMUNDO DO DOCA BEZERRA;0;
MA-SAO ROBERTO;0;
MA-SAO VICENTE FERRER;431;
MA-SATUBINHA;0;
MA-SENADOR ALEXANDRE COSTA;0;
MA-SENADOR LA ROCQUE;0;
MA-SERRANO DO MARANHAO;0;
MA-SITIO NOVO;31;
MA-SUCUPIRA DO NORTE;122;
MA-SUCUPIRA DO RIACHAO;0;
MA-TASSO FRAGOSO;193;
MA-TIMBIRAS;380;
MA-TIMON;3048;
MA-TRIZIDELA DO VALE;0;
MA-TUFILANDIA;0;
MA-TUNTUM;115;
MA-TURIACU;154;
MA-TURILANDIA;0;
MA-TUTOIA;1847;
MA-URBANO SANTOS;101;
MA-VARGEM GRANDE;631;
MA-VIANA;424;
MA-VILA NOVA DOS MARTIRIOS;0;
MA-VITORIA DO MEARIM;826;
MA-VITORINO FREIRE;561;
MA-ZE DOCA;266;
MA-IGNORADO;0;
PI-ACAUA;0;
PI-AGRICOLANDIA;182;
PI-AGUA BRANCA;489;
PI-ALAGOINHA DO PIAUI;110;
PI-ALEGRETE DO PIAUI;23;
PI-ALTO LONGA;630;
PI-ALTOS;922;
PI-ALVORADA DO GURGUEIA;0;
PI-AMARANTE;277;
PI-ANGICAL DO PIAUI;291;
PI-ANISIO DE ABREU;25;
PI-ANTONIO ALMEIDA;114;
PI-AROAZES;306;
PI-AROEIRAS DO ITAIM;0;
PI-ARRAIAL;115;
PI-ASSUNCAO DO PIAUI;0;
PI-AVELINO LOPES;47;
PI-BAIXA GRANDE DO RIBEIRO;11;
PI-BARRA D ALCANTARA;0;
PI-BARRAS;749;
PI-BARREIRAS DO PIAUI;1;
PI-BARRO DURO;233;
PI-BATALHA;257;
PI-BELA VISTA DO PIAUI;0;
PI-BELEM DO PIAUI;0;
PI-BENEDITINOS;271;
PI-BERTOLINIA;85;
PI-BETANIA DO PIAUI;0;
PI-BOA HORA;0;
PI-BOCAINA;52;
PI-BOM JESUS;186;
PI-BOM PRINCIPIO DO PIAUI;192;
PI-BONFIM DO PIAUI;9;
PI-BOQUEIRAO DO PIAUI;0;
PI-BRASILEIRA;135;
PI-BREJO DO PIAUI;0;
PI-BURITI DOS LOPES;409;
PI-BURITI DOS MONTES;15;
PI-CABECEIRAS DO PIAUI;95;
PI-CAJAZEIRAS DO PIAUI;0;
PI-CAJUEIRO DA PRAIA;0;
PI-CALDEIRAO GRANDE DO PIAUI;30;
PI-CAMPINAS DO PIAUI;185;
PI-CAMPO ALEGRE DO FIDALGO;0;
PI-CAMPO GRANDE DO PIAUI;0;
PI-CAMPO LARGO DO PIAUI;0;
PI-CAMPO MAIOR;1507;
PI-CANAVIEIRA;0;
PI-CANTO DO BURITI;199;
PI-CAPITAO DE CAMPOS;10;
PI-CAPITAO GERVASIO OLIVEIRA;0;
PI-CARACOL;0;
PI-CARAUBAS DO PIAUI;0;
PI-CARIDADE DO PIAUI;0;
PI-CASTELO DO PIAUI;133;
PI-CAXINGO;0;
PI-COCAL;671;
PI-COCAL DE TELHA;0;
PI-COCAL DOS ALVES;0;
PI-COIVARAS;172;
PI-COLONIA DO GURGUEIA;6;
PI-COLONIA DO PIAUI;1;
PI-CONCEICAO DO CANINDE;74;
PI-CORONEL JOSE DIAS;87;
PI-CORRENTE;185;
PI-CRISTALANDIA DO PIAUI;1;
PI-CRISTINO CASTRO;98;
PI-CURIMATA;108;
PI-CURRAIS;0;
PI-CURRALINHOS;0;
PI-CURRAL NOVO DO PIAUI;0;
PI-DEMERVAL LOBAO;348;
PI-DIRCEU ARCOVERDE;113;
PI-DOM EXPEDITO LOPES;191;
PI-DOMINGOS MOURAO;40;
PI-DOM INOCENCIO;53;
PI-ELESBAO VELOSO;231;
PI-ELISEU MARTINS;95;
PI-ESPERANTINA;342;
PI-FARTURA DO PIAUI;50;
PI-FLORES DO PIAUI;1;
PI-FLORESTA DO PIAUI;0;
PI-FLORIANO;2345;
PI-FRANCINOPOLIS;160;
PI-FRANCISCO AYRES;77;
PI-FRANCISCO MACEDO;0;
PI-FRANCISCO SANTOS;86;
PI-FRONTEIRAS;279;
PI-GEMINIANO;0;
PI-GILBUES;32;
PI-GUADALUPE;313;
PI-GUARIBAS;0;
PI-HUGO NAPOLEAO;258;
PI-ILHA GRANDE;0;
PI-INHUMA;127;
PI-IPIRANGA DO PIAUI;76;
PI-ISAIAS COELHO;87;
PI-ITAINOPOLIS;75;
PI-ITAUEIRA;216;
PI-JACOBINA DO PIAUI;20;
PI-JAICOS;42;
PI-JARDIM DO MULATO;177;
PI-JATOBA DO PIAUI;0;
PI-JERUMENHA;21;
PI-JOAO COSTA;0;
PI-JOAQUIM PIRES;1;
PI-JOCA MARQUES;0;
PI-JOSE DE FREITAS;205;
PI-JUAZEIRO DO PIAUI;0;
PI-JULIO BORGES;0;
PI-JUREMA;0;
PI-LAGOINHA DO PIAUI;0;
PI-LAGOA ALEGRE;157;
PI-LAGOA DO BARRO DO PIAUI;82;
PI-LAGOA DE SAO FRANCISCO;0;
PI-LAGOA DO PIAUI;0;
PI-LAGOA DO SITIO;0;
PI-LANDRI SALES;210;
PI-LUIS CORREIA;2203;
PI-LUZILANDIA;273;
PI-MADEIRO;0;
PI-MANOEL EMIDIO;205;
PI-MARCOLANDIA;54;
PI-MARCOS PARENTE;39;
PI-MASSAPE DO PIAUI;0;
PI-MATIAS OLIMPIO;135;
PI-MIGUEL ALVES;539;
PI-MIGUEL LEAO;27;
PI-MILTON BRANDAO;0;
PI-MONSENHOR GIL;312;
PI-MONSENHOR HIPOLITO;53;
PI-MONTE ALEGRE DO PIAUI;64;
PI-MORRO CABECA NO TEMPO;0;
PI-MORRO DO CHAPEU DO PIAUI;0;
PI-MURICI DOS PORTELAS;0;
PI-NAZARE DO PIAUI;131;
PI-NAZARIA;0;
PI-NOSSA SENHORA DE NAZARE;0;
