Município;Total
RO-ALTA FLORESTA D OESTE;1715
RO-ARIQUEMES;11131
RO-CABIXI;397
RO-CACOAL;10200
RO-CEREJEIRAS;1430
RO-COLORADO DO OESTE;1682
RO-CORUMBIARA;624
RO-COSTA MARQUES;778
RO-ESPIGAO D OESTE;2939
RO-GUAJARA-MIRIM;2527
RO-JARU;6577
RO-JI-PARANA;17231
RO-MACHADINHO D OESTE;2089
RO-NOVA BRASILANDIA D OESTE;1010
RO-OURO PRETO DO OESTE;3769
RO-PIMENTA BUENO;5557
RO-PORTO VELHO;105101
RO-PRESIDENTE MEDICI;1629
RO-RIO CRESPO;283
RO-ROLIM DE MOURA;5143
RO-SANTA LUZIA D OESTE;689
RO-VILHENA;10612
RO-SAO MIGUEL DO GUAPORE;1151
RO-NOVA MAMORE;1170
RO-ALVORADA D OESTE;1184
RO-ALTO ALEGRE DOS PARECIS;535
RO-ALTO PARAISO;810
RO-BURITIS;2024
RO-NOVO HORIZONTE DO OESTE;606
RO-CACAULANDIA;343
RO-CAMPO NOVO DE RONDONIA;510
RO-CANDEIAS DO JAMARI;886
RO-CASTANHEIRAS;291
RO-CHUPINGUAIA;729
RO-CUJUBIM;857
RO-GOVERNADOR JORGE TEIXEIRA;433
RO-ITAPUA DO OESTE;709
RO-MINISTRO ANDREAZZA;506
RO-MIRANTE DA SERRA;751
RO-MONTE NEGRO;1033
RO-NOVA UNIAO;379
RO-PARECIS;303
RO-PIMENTEIRAS DO OESTE;225
RO-PRIMAVERA DE RONDONIA;293
RO-SAO FELIPE D OESTE;293
RO-SAO FRANCISCO DO GUAPORE;1107
RO-SERINGUEIRAS;607
RO-TEIXEIROPOLIS;341
RO-THEOBROMA;562
RO-URUPA;575
RO-VALE DO ANARI;346
RO-VALE DO PARAISO;504
RO-IGNORADO;0
AC-ACRELANDIA;542
AC-ASSIS BRASIL;190
AC-BRASILEIA;764
AC-BUJARI;442
AC-CAPIXABA;388
AC-CRUZEIRO DO SUL;3699
AC-EPITACIOLANDIA;840
AC-FEIJO;979
AC-JORDAO;2
AC-MANCIO LIMA;401
AC-MANOEL URBANO;161
AC-MARECHAL THAUMATURGO;432
AC-PLACIDO DE CASTRO;639
AC-PORTO WALTER;165
AC-RIO BRANCO;65148
AC-RODRIGUES ALVES;287
AC-SANTA ROSA DO PURUS;2
AC-SENADOR GUIOMARD;1339
AC-SENA MADUREIRA;1130
AC-TARAUACA;1220
AC-XAPURI;372
AC-PORTO ACRE;289
AC-IGNORADO;0
AM-ALVARAES;17
AM-AMATURA;207
AM-ANAMA;10
AM-ANORI;14
AM-APUI;568
AM-ATALAIA DO NORTE;103
AM-AUTAZES;365
AM-BARCELOS;212
AM-BARREIRINHA;650
AM-BENJAMIN CONSTANT;802
AM-BERURI;11
AM-BOA VISTA DO RAMOS;150
AM-BOCA DO ACRE;1062
AM-BORBA;797
AM-CAAPIRANGA;611
AM-CANUTAMA;20
AM-CARAUARI;741
AM-CAREIRO;1108
AM-CAREIRO DA VARZEA;21
AM-COARI;3086
AM-CODAJAS;499
AM-EIRUNEPE;875
AM-ENVIRA;718
AM-FONTE BOA;392
AM-GUAJARA;132
AM-HUMAITA;1724
AM-IPIXUNA;197
AM-IRANDUBA;1767
AM-ITACOATIARA;6877
AM-ITAMARATI;162
AM-ITAPIRANGA;349
AM-JAPURA;381
AM-JURUA;421
AM-JUTAI;11
AM-LABREA;903
AM-MANACAPURU;2772
AM-MANAQUIRI;415
AM-MANAUS;358301
AM-MANICORE;828
AM-MARAA;17
AM-MAUES;1854
AM-NHAMUNDA;667
AM-NOVA OLINDA DO NORTE;719
AM-NOVO AIRAO;100
AM-NOVO ARIPUANA;44
AM-PARINTINS;3775
AM-PAUINI;248
AM-PRESIDENTE FIGUEIREDO;3879
AM-RIO PRETO DA EVA;999
AM-SANTA ISABEL DO RIO NEGRO;206
AM-SANTO ANTONIO DO ICA;501
AM-SAO GABRIEL DA CACHOEIRA;1287
AM-SAO PAULO DE OLIVENCA;23
AM-SAO SEBASTIAO DO UATUMA;182
AM-SILVES;61
AM-TABATINGA;706
