Município;Total
RO-ALTA FLORESTA D OESTE;0
RO-ARIQUEMES;4289
RO-CABIXI;0
RO-CACOAL;5219
RO-CEREJEIRAS;0
RO-COLORADO DO OESTE;524
RO-CORUMBIARA;0
RO-COSTA MARQUES;95
RO-ESPIGAO D OESTE;118
RO-GUAJARA-MIRIM;1959
RO-JARU;661
RO-JI-PARANA;9232
RO-MACHADINHO D OESTE;0
RO-NOVA BRASILANDIA D OESTE;0
RO-OURO PRETO DO OESTE;596
RO-PIMENTA BUENO;2625
RO-PORTO VELHO;86781
RO-PRESIDENTE MEDICI;219
RO-RIO CRESPO;0
RO-ROLIM DE MOURA;0
RO-SANTA LUZIA D OESTE;0
RO-VILHENA;5956
RO-SAO MIGUEL DO GUAPORE;0
RO-NOVA MAMORE;0
RO-ALVORADA D OESTE;0
RO-ALTO ALEGRE DOS PARECIS;0
RO-ALTO PARAISO;0
RO-BURITIS;0
RO-NOVO HORIZONTE DO OESTE;0
RO-CACAULANDIA;0
RO-CAMPO NOVO DE RONDONIA;0
RO-CANDEIAS DO JAMARI;0
RO-CASTANHEIRAS;0
RO-CHUPINGUAIA;0
RO-CUJUBIM;0
RO-GOVERNADOR JORGE TEIXEIRA;0
RO-ITAPUA DO OESTE;0
RO-MINISTRO ANDREAZZA;0
RO-MIRANTE DA SERRA;0
RO-MONTE NEGRO;0
RO-NOVA UNIAO;0
RO-PARECIS;0
RO-PIMENTEIRAS DO OESTE;0
RO-PRIMAVERA DA RONDONIA;0
RO-SAO FELIPE D OESTE;0
RO-SAO FRANCISCO DO GUAPORE;0
RO-SERINGUEIRAS;0
RO-TEIXEIROPOLIS;0
RO-THEOBROMA;0
RO-URUPA;0
RO-VALE DO ANARI;0
RO-VALE DO PARAISO;0
RO-IGNORADO;0
AC-ACRELANDIA;0
AC-ASSIS BRASIL;17
AC-BRASILEIA;303
AC-BUJARI;0
AC-CAPIXABA;0
AC-CRUZEIRO DO SUL;1532
AC-EPITACIOLANDIA;0
AC-FEIJO;144
AC-JORDAO;0
AC-MANCIO LIMA;16
AC-MANOEL URBANO;21
AC-MARECHAL THAUMATURGO;0
AC-PLACIDO DE CASTRO;30
AC-PORTO WALTER;0
AC-RIO BRANCO;37747
AC-RODRIGUES ALVES;0
AC-SANTA ROSA DO PURUS;0
AC-SENADOR GUIOMARD;62
AC-SENA MADUREIRA;423
AC-TARAUACA;135
AC-XAPURI;146
AC-PORTO ACRE;0
AC-IGNORADO;0
AM-ALVARAES;0
AM-AMATURA;0
AM-ANAMA;0
AM-ANORI;162
AM-APUI;0
AM-ATALAIA DO NORTE;61
AM-AUTAZES;104
AM-BARCELOS;32
AM-BARREIRINHA;295
AM-BENJAMIN CONSTANT;854
AM-BERURI;0
AM-BOA VISTA DO RAMOS;0
AM-BOCA DO ACRE;416
AM-BORBA;707
AM-CAAPIRANGA;0
AM-CANUTAMA;9
AM-CARAUARI;265
AM-CAREIRO;359
AM-CAREIRO DA VARZEA;0
AM-COARI;550
AM-CODAJAS;312
AM-EIRUNEPE;1111
AM-ENVIRA;5
AM-FONTE BOA;23
AM-GUAJARA;0
AM-HUMAITA;1177
AM-IPIXUNA;76
AM-IRANDUBA;0
AM-ITACOATIARA;5198
AM-ITAMARATI;0
AM-ITAPIRANGA;7
AM-JAPURA;17
AM-JURUA;10
AM-JUTAI;15
AM-LABREA;404
AM-MANACAPURU;1485
AM-MANAQUIRI;0
AM-MANAUS;253591
AM-MANICORE;1025
AM-MARAA;12
AM-MAUES;557
AM-NHAMUNDA;132
AM-NOVA OLINDA DO NORTE;332
AM-NOVO AIRAO;129
AM-NOVO ARIPUANA;429
AM-PARINTINS;2157
AM-PAUINI;13
AM-PRESIDENTE FIGUEIREDO;0
AM-RIO PRETO DA EVA;0
AM-SANTA ISABEL DO RIO NEGRO;5
AM-SANTO ANTONIO DO ICA;79
AM-SAO GABRIEL DA CACHOEIRA;250
AM-SAO PAULO DE OLIVENCA;123
AM-SAO SEBASTIAO DO UATUMA;0
AM-SILVES;45
AM-TABATINGA;0
AM-TAPAUA;25
AM-TEFE;1146
AM-TONANTINS;0
AM-UARINI;0
AM-URUCARA;118
AM-URUCURITUBA;119
AM-IGNORADO;0
RR-AMAJARI;0
RR-ALTO ALEGRE;60
RR-BOA VISTA;18399
RR-BONFIM;10
RR-CANTA;0
RR-CARACARAI;152
RR-CAROEBE;0
RR-IRACEMA;0
RR-MUCAJAI;5
RR-NORMANDIA;11
RR-PACARAIMA;0
RR-RORAINOPOLIS;0
RR-SAO JOAO DA BALIZA;0
RR-SAO LUIZ;12
RR-UIRAMUTA;0
RR-IGNORADO;0
PA-ABAETETUBA;2671
PA-ABEL FIGUEIREDO;0
PA-ACARA;463
PA-AFUA;292
PA-AGUA AZUL DO NORTE;0
PA-ALENQUER;641
PA-ALMEIRIM;14168
PA-ALTAMIRA;3264
PA-ANAJAS;383
PA-ANANINDEUA;17196
PA-ANAPU;0
PA-AUGUSTO CORREA;87
PA-AURORA DO PARA;0
PA-AVEIRO;135
PA-BAGRE;18
PA-BAIAO;55
PA-BANNACH;0
PA-BARCARENA;13968
PA-BELEM;291362
PA-BELTERRA;0
PA-BENEVIDES;3474
PA-BOM JESUS DO TOCANTINS;0
PA-BONITO;0
PA-BRAGANCA;1539
PA-BRASIL NOVO;0
PA-BREJO GRANDE DO ARAGUAIA;0
PA-BREU BRANCO;0
PA-BREVES;1971
PA-BUJARU;215
PA-CACHOEIRA DO PIRIA;0
PA-CACHOEIRA DO ARARI;230
PA-CAMETA;661
PA-CANAA DOS CARAJAS;0
PA-CAPANEMA;3447
PA-CAPITAO POCO;534
PA-CASTANHAL;8647
PA-CHAVES;32
PA-COLARES;5
PA-CONCEICAO DO ARAGUAIA;4318
PA-CONCORDIA DO PARA;0
PA-CUMARU DO NORTE;0
PA-CURIONOPOLIS;0
PA-CURRALINHO;16
PA-CURUA;0
PA-CURUCA;234
PA-DOM ELISEU;0
PA-ELDORADO DOS CARAJAS;0
PA-FARO;27
PA-FLORESTA DO ARAGUAIA;0
PA-GARRAFAO DO NORTE;0
PA-GOIANESIA DO PARA;0
PA-GURUPA;1049
PA-IGARAPE-ACU;341
PA-IGARAPE-MIRI;401
PA-INHANGAPI;87
PA-IPIXUNA DO PARA;0
PA-IRITUIA;1002
PA-ITAITUBA;2936
PA-ITUPIRANGA;82
PA-JACAREACANGA;0
PA-JACUNDA;40
PA-JURUTI;40
PA-LIMOEIRO DO AJURU;4
PA-MAE DO RIO;0
PA-MAGALHAES BARATA;80
PA-MARABA;28715
PA-MARACANA;647
PA-MARAPANIM;274
PA-MARITUBA;0
PA-MEDICILANDIA;0
PA-MELGACO;3
PA-MOCAJUBA;21
PA-MOJU;1319
PA-MOJUI DOS CAMPOS;0
PA-MONTE ALEGRE;661
PA-MUANA;168
PA-NOVA ESPERANCA DO PIRIA;0
PA-NOVA IPIXUNA;0
PA-NOVA TIMBOTEUA;165
PA-NOVO PROGRESSO;2
PA-NOVO REPARTIMENTO;0
PA-OBIDOS;1494
PA-OEIRAS DO PARA;11
PA-ORIXIMINA;5187
PA-OUREM;390
PA-OURILANDIA DO NORTE;0
PA-PACAJA;0
