Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;4080;
RO-CABIXI;209;
RO-CACOAL;3869;
RO-CEREJEIRAS;555;
RO-COLORADO DO OESTE;905;
RO-CORUMBIARA;244;
RO-COSTA MARQUES;381;
RO-ESPIGAO D OESTE;724;
RO-GUAJARA-MIRIM;1500;
RO-JARU;2633;
RO-JI-PARANA;8453;
RO-MACHADINHO D OESTE;339;
RO-NOVA BRASILANDIA D OESTE;195;
RO-OURO PRETO DO OESTE;1904;
RO-PIMENTA BUENO;2361;
RO-PORTO VELHO;78591;
RO-PRESIDENTE MEDICI;703;
RO-RIO CRESPO;85;
RO-ROLIM DE MOURA;1599;
RO-SANTA LUZIA D OESTE;321;
RO-VILHENA;3179;
RO-SAO MIGUEL DO GUAPORE;360;
RO-NOVA MAMORE;979;
RO-ALVORADA D OESTE;408;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;1;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;112;
RO-CACAULANDIA;5;
RO-CAMPO NOVO DE RONDONIA;204;
RO-CANDEIAS DO JAMARI;101;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;1;
RO-ITAPUA DO OESTE;247;
RO-MINISTRO ANDREAZZA;0;
RO-MIRANTE DA SERRA;78;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;7;
RO-URUPA;148;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;12;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;7;
AC-BRASILEIA;638;
AC-BUJARI;80;
AC-CAPIXABA;16;
AC-CRUZEIRO DO SUL;1715;
AC-EPITACIOLANDIA;25;
AC-FEIJO;267;
AC-JORDAO;0;
AC-MANCIO LIMA;9;
AC-MANOEL URBANO;76;
AC-MARECHAL THAUMATURGO;0;
AC-PLACIDO DE CASTRO;423;
AC-PORTO WALTER;0;
AC-RIO BRANCO;62171;
AC-RODRIGUES ALVES;54;
AC-SANTA ROSA DO PURUS;0;
AC-SENADOR GUIOMARD;342;
AC-SENA MADUREIRA;492;
