Município;Total
RO-ALTA FLORESTA D OESTE;2024
RO-ARIQUEMES;12902
RO-CABIXI;423
RO-CACOAL;11547
RO-CEREJEIRAS;1520
RO-COLORADO DO OESTE;1905
RO-CORUMBIARA;675
RO-COSTA MARQUES;826
RO-ESPIGAO D OESTE;3270
RO-GUAJARA-MIRIM;2996
RO-JARU;7436
RO-JI-PARANA;19529
RO-MACHADINHO D OESTE;2349
RO-NOVA BRASILANDIA D OESTE;600
RO-OURO PRETO DO OESTE;4059
RO-PIMENTA BUENO;6120
RO-PORTO VELHO;118895
RO-PRESIDENTE MEDICI;1782
RO-RIO CRESPO;404
RO-ROLIM DE MOURA;7122
RO-SANTA LUZIA D OESTE;968
RO-VILHENA;13297
RO-SAO MIGUEL DO GUAPORE;1367
RO-NOVA MAMORE;1387
RO-ALVORADA D OESTE;1311
RO-ALTO ALEGRE DOS PARECIS;648
RO-ALTO PARAISO;1170
RO-BURITIS;2688
RO-NOVO HORIZONTE DO OESTE;601
RO-CACAULANDIA;383
RO-CAMPO NOVO DE RONDONIA;588
RO-CANDEIAS DO JAMARI;1050
RO-CASTANHEIRAS;379
RO-CHUPINGUAIA;1474
RO-CUJUBIM;1312
RO-GOVERNADOR JORGE TEIXEIRA;550
RO-ITAPUA DO OESTE;951
RO-MINISTRO ANDREAZZA;681
RO-MIRANTE DA SERRA;937
RO-MONTE NEGRO;1111
RO-NOVA UNIAO;409
RO-PARECIS;342
RO-PIMENTEIRAS DO OESTE;383
RO-PRIMAVERA DE RONDONIA;279
RO-SAO FELIPE D OESTE;315
RO-SAO FRANCISCO DO GUAPORE;1194
RO-SERINGUEIRAS;742
RO-TEIXEIROPOLIS;369
RO-THEOBROMA;645
RO-URUPA;617
RO-VALE DO ANARI;485
RO-VALE DO PARAISO;497
RO-IGNORADO;0
AC-ACRELANDIA;560
AC-ASSIS BRASIL;230
AC-BRASILEIA;1111
AC-BUJARI;596
AC-CAPIXABA;481
AC-CRUZEIRO DO SUL;4446
AC-EPITACIOLANDIA;882
AC-FEIJO;1067
AC-JORDAO;6
AC-MANCIO LIMA;391
AC-MANOEL URBANO;192
AC-MARECHAL THAUMATURGO;635
AC-PLACIDO DE CASTRO;815
AC-PORTO WALTER;19
AC-RIO BRANCO;75472
AC-RODRIGUES ALVES;396
AC-SANTA ROSA DO PURUS;85
AC-SENADOR GUIOMARD;1866
AC-SENA MADUREIRA;1262
AC-TARAUACA;581
AC-XAPURI;506
AC-PORTO ACRE;410
AC-IGNORADO;0
AM-ALVARAES;71
AM-AMATURA;337
AM-ANAMA;328
AM-ANORI;487
AM-APUI;601
AM-ATALAIA DO NORTE;535
AM-AUTAZES;478
AM-BARCELOS;785
AM-BARREIRINHA;761
AM-BENJAMIN CONSTANT;638
AM-BERURI;49
AM-BOA VISTA DO RAMOS;305
AM-BOCA DO ACRE;1383
AM-BORBA;1070
AM-CAAPIRANGA;656
AM-CANUTAMA;28
AM-CARAUARI;770
AM-CAREIRO;1114
AM-CAREIRO DA VARZEA;718
AM-COARI;7322
AM-CODAJAS;886
AM-EIRUNEPE;1231
AM-ENVIRA;765
AM-FONTE BOA;639
AM-GUAJARA;494
AM-HUMAITA;1927
AM-IPIXUNA;344
AM-IRANDUBA;2615
AM-ITACOATIARA;7320
AM-ITAMARATI;364
AM-ITAPIRANGA;465
AM-JAPURA;21
AM-JURUA;462
AM-JUTAI;39
AM-LABREA;1131
AM-MANACAPURU;4589
AM-MANAQUIRI;655
AM-MANAUS;414439
AM-MANICORE;1026
AM-MARAA;335
AM-MAUES;2441
AM-NHAMUNDA;720
AM-NOVA OLINDA DO NORTE;1076
AM-NOVO AIRAO;571
AM-NOVO ARIPUANA;41
AM-PARINTINS;5213
AM-PAUINI;479
AM-PRESIDENTE FIGUEIREDO;4550
AM-RIO PRETO DA EVA;1297
AM-SANTA ISABEL DO RIO NEGRO;207
AM-SANTO ANTONIO DO ICA;545
AM-SAO GABRIEL DA CACHOEIRA;1563
AM-SAO PAULO DE OLIVENCA;42
AM-SAO SEBASTIAO DO UATUMA;233
AM-SILVES;564
AM-TABATINGA;1406
AM-TAPAUA;434
AM-TEFE;1498
AM-TONANTINS;299
AM-UARINI;32
AM-URUCARA;837
AM-URUCURITUBA;496
AM-IGNORADO;0
RR-AMAJARI;290
RR-ALTO ALEGRE;473
RR-BOA VISTA;41185
RR-BONFIM;482
RR-CANTA;176
RR-CARACARAI;1087
RR-CAROEBE;315
RR-IRACEMA;293
RR-MUCAJAI;492
RR-NORMANDIA;52
RR-PACARAIMA;242
RR-RORAINOPOLIS;406
RR-SAO JOAO DA BALIZA;55
RR-SAO LUIZ;71
RR-UIRAMUTA;123
RR-IGNORADO;0
PA-ABAETETUBA;5186
PA-ABEL FIGUEIREDO;703
PA-ACARA;2708
PA-AFUA;1096
PA-AGUA AZUL DO NORTE;1428
PA-ALENQUER;1734
PA-ALMEIRIM;6628
PA-ALTAMIRA;9015
PA-ANAJAS;68
PA-ANANINDEUA;49540
PA-ANAPU;988
PA-AUGUSTO CORREA;148
PA-AURORA DO PARA;1051
PA-AVEIRO;835
PA-BAGRE;261
PA-BAIAO;888
PA-BANNACH;265
PA-BARCARENA;25261
PA-BELEM;331791
PA-BELTERRA;807
PA-BENEVIDES;4489
PA-BOM JESUS DO TOCANTINS;923
PA-BONITO;400
PA-BRAGANCA;3218
PA-BRASIL NOVO;713
PA-BREJO GRANDE DO ARAGUAIA;432
PA-BREU BRANCO;3927
PA-BREVES;5524
PA-BUJARU;758
PA-CACHOEIRA DO PIRIA;45
PA-CACHOEIRA DO ARARI;731
PA-CAMETA;3334
PA-CANAA DOS CARAJAS;2431
PA-CAPANEMA;4243
PA-CAPITAO POCO;1271
PA-CASTANHAL;22040
PA-CHAVES;801
PA-COLARES;249
PA-CONCEICAO DO ARAGUAIA;3132
PA-CONCORDIA DO PARA;1418
PA-CUMARU DO NORTE;1352
PA-CURIONOPOLIS;693
PA-CURRALINHO;322
PA-CURUA;455
PA-CURUCA;965
PA-DOM ELISEU;5151
PA-ELDORADO DO CARAJAS;1463
PA-FARO;321
PA-FLORESTA DO ARAGUAIA;1051
PA-GARRAFAO DO NORTE;1247
PA-GOIANESIA DO PARA;2777
PA-GURUPA;329
PA-IGARAPE-ACU;1446
PA-IGARAPE-MIRI;3258
PA-INHANGAPI;553
PA-IPIXUNA DO PARA;1741
PA-IRITUIA;959
PA-ITAITUBA;7705
PA-ITUPIRANGA;2073
PA-JACAREACANGA;641
PA-JACUNDA;3949
PA-JURUTI;2824
PA-LIMOEIRO DO AJURU;652
PA-MAE DO RIO;1628
PA-MAGALHAES BARATA;217
PA-MARABA;32991
PA-MARACANA;951
PA-MARAPANIM;891
PA-MARITUBA;10426
PA-MEDICILANDIA;733
PA-MELGACO;636
PA-MOCAJUBA;182
PA-MOJU;3944
PA-MOJUI DOS CAMPOS;0
PA-MONTE ALEGRE;2457
PA-MUANA;801
PA-NOVA ESPERANCA DO PIRIA;802
PA-NOVA IPIXUNA;716
PA-NOVA TIMBOTEUA;698
PA-NOVO PROGRESSO;2124
PA-NOVO REPARTIMENTO;2838
PA-OBIDOS;1991
PA-OEIRAS DO PARA;307
PA-ORIXIMINA;6770
PA-OUREM;116
PA-OURILANDIA DO NORTE;3132
PA-PACAJA;2014
PA-PALESTINA DO PARA;287
PA-PARAGOMINAS;15081
PA-PARAUAPEBAS;25058
PA-PAU D ARCO;668
PA-PEIXE-BOI;283
PA-PICARRA;1021
PA-PLACAS;552
PA-PONTA DE PEDRAS;878
PA-PORTEL;2190
PA-PORTO DE MOZ;1145
PA-PRAINHA;858
PA-PRIMAVERA;336
PA-QUATIPURU;515
PA-REDENCAO;8522
PA-RIO MARIA;1784
PA-RONDON DO PARA;5012
PA-RUROPOLIS;1324
PA-SALINOPOLIS;1832
PA-SALVATERRA;1021
PA-SANTA BARBARA DO PARA;1120
PA-SANTA CRUZ DO ARARI;167
PA-SANTA IZABEL DO PARA;5473
PA-SANTA LUZIA DO PARA;707
PA-SANTA MARIA DAS BARREIRAS;1278
PA-SANTA MARIA DO PARA;1063
PA-SANTANA DO ARAGUAIA;2948
PA-SANTAREM;27647
PA-SANTAREM NOVO;321
PA-SANTO ANTONIO DO TAUA;1690
PA-SAO CAETANO DE ODIVELAS;400
PA-SAO DOMINGOS DO ARAGUAIA;988
PA-SAO DOMINGOS DO CAPIM;1407
PA-SAO FELIX DO XINGU;3249
PA-SAO FRANCISCO DO PARA;758
PA-SAO GERALDO DO ARAGUAIA;1780
PA-SAO JOAO DA PONTA;214
PA-SAO JOAO DE PIRABAS;795
PA-SAO JOAO DO ARAGUAIA;148
PA-SAO MIGUEL DO GUAMA;4255
PA-SAO SEBASTIAO DA BOA VISTA;568
PA-SAPUCAIA;840
PA-SENADOR JOSE PORFIRIO;667
PA-SOURE;1075
PA-TAILANDIA;7269
PA-TERRA ALTA;444
PA-TERRA SANTA;675
PA-TOME-ACU;3835
PA-TRACUATEUA;934
PA-TRAIRAO;486
PA-TUCUMA;2460
PA-TUCURUI;15447
PA-ULIANOPOLIS;3439
PA-URUARA;2685
PA-VIGIA;2209
PA-VISEU;1814
PA-VITORIA DO XINGU;559
PA-XINGUARA;6199
PA-IGNORADO;0
AP-SERRA DO NAVIO;615
AP-AMAPA;591
AP-PEDRA BRANCA DO AMAPARI;2137
AP-CALCOENE;368
AP-CUTIAS;267
AP-FERREIRA GOMES;316
AP-ITAUBAL;171
AP-LARANJAL DO JARI;1567
AP-MACAPA;70788
AP-MAZAGAO;901
AP-OIAPOQUE;622
AP-PORTO GRANDE;1216
AP-PRACUUBA;216
AP-SANTANA;8062
AP-TARTARUGALZINHO;634
AP-VITORIA DO JARI;427
AP-IGNORADO;0
TO-ABREULANDIA;204
TO-AGUIARNOPOLIS;655
TO-ALIANCA DO TOCANTINS;455
TO-ALMAS;358
TO-ALVORADA;861
TO-ANANAS;759
TO-ANGICO;206
TO-APARECIDA DO RIO NEGRO;254
TO-ARAGOMINAS;316
TO-ARAGUACEMA;403
TO-ARAGUACU;879
TO-ARAGUAINA;19664
TO-ARAGUANA;409
TO-ARAGUATINS;1851
TO-ARAPOEMA;946
TO-ARRAIAS;919
TO-AUGUSTINOPOLIS;757
TO-AURORA DO TOCANTINS;181
TO-AXIXA DO TOCANTINS;607
TO-BABACULANDIA;900
TO-BANDEIRANTES DO TOCANTINS;423
TO-BARRA DO OURO;60
TO-BARROLANDIA;377
TO-BERNARDO SAYAO;331
TO-BOM JESUS DO TOCANTINS;182
TO-BRASILANDIA DO TOCANTINS;257
TO-BREJINHO DE NAZARE;539
TO-BURITI DO TOCANTINS;256
TO-CACHOEIRINHA;168
TO-CAMPOS LINDOS;631
TO-CARIRI DO TOCANTINS;442
TO-CARMOLANDIA;393
TO-CARRASCO BONITO;182
TO-CASEARA;348
TO-CENTENARIO;136
TO-CHAPADA DE AREIA;139
TO-CHAPADA DA NATIVIDADE;247
TO-COLINAS DO TOCANTINS;2884
TO-COMBINADO;158
TO-CONCEICAO DO TOCANTINS;235
TO-COUTO MAGALHAES;272
TO-CRISTALANDIA;598
TO-CRIXAS DO TOCANTINS;139
TO-DARCINOPOLIS;286
TO-DIANOPOLIS;2491
TO-DIVINOPOLIS DO TOCANTINS;538
TO-DOIS IRMAOS DO TOCANTINS;472
TO-DUERE;473
TO-ESPERANTINA;296
TO-FATIMA;298
TO-FIGUEIROPOLIS;501
TO-FILADELFIA;492
TO-FORMOSO DO ARAGUAIA;1796
TO-FORTALEZA DO TABOCAO;364
TO-GOIANORTE;103
TO-GOIATINS;470
TO-GUARAI;2905
TO-GURUPI;11030
TO-IPUEIRAS;159
TO-ITACAJA;340
TO-ITAGUATINS;296
TO-ITAPIRATINS;197
TO-ITAPORA DO TOCANTINS;316
TO-JAU DO TOCANTINS;300
TO-JUARINA;123
TO-LAGOA DA CONFUSAO;696
TO-LAGOA DO TOCANTINS;145
TO-LAJEADO;352
TO-LAVANDEIRA;27
TO-LIZARDA;74
TO-LUZINOPOLIS;165
TO-MARIANOPOLIS DO TOCANTINS;446
TO-MATEIROS;145
TO-MAURILANDIA DO TOCANTINS;158
TO-MIRACEMA DO TOCANTINS;2003
TO-MIRANORTE;795
TO-MONTE DO CARMO;348
TO-MONTE SANTO DO TOCANTINS;165
TO-PALMEIRAS DO TOCANTINS;211
TO-MURICILANDIA;363
TO-NATIVIDADE;496
TO-NAZARE;184
TO-NOVA OLINDA;1088
TO-NOVA ROSALANDIA;186
TO-NOVO ACORDO;265
TO-NOVO ALEGRE;111
TO-NOVO JARDIM;219
TO-OLIVEIRA DE FATIMA;145
TO-PALMEIRANTE;1296
TO-PALMEIROPOLIS;544
TO-PARAISO DO TOCANTINS;6514
TO-PARANA;517
TO-PAU D ARCO;303
TO-PEDRO AFONSO;1046
TO-PEIXE;903
TO-PEQUIZEIRO;319
TO-COLMEIA;828
TO-PINDORAMA DO TOCANTINS;219
TO-PIRAQUE;387
TO-PIUM;429
TO-PONTE ALTA DO BOM JESUS;245
TO-PONTE ALTA DO TOCANTINS;352
TO-PORTO ALEGRE DO TOCANTINS;157
TO-PORTO NACIONAL;4911
TO-PRAIA NORTE;220
TO-PRESIDENTE KENNEDY;358
TO-PUGMIL;280
TO-RECURSOLANDIA;197
TO-RIACHINHO;265
TO-RIO DA CONCEICAO;135
TO-RIO DOS BOIS;96
TO-RIO SONO;256
TO-SAMPAIO;317
TO-SANDOLANDIA;297
TO-SANTA FE DO ARAGUAIA;617
TO-SANTA MARIA DO TOCANTINS;193
TO-SANTA RITA DO TOCANTINS;149
TO-SANTA ROSA DO TOCANTINS;362
TO-SANTA TEREZA DO TOCANTINS;152
TO-SANTA TEREZINHA DO TOCANTINS;221
TO-SAO BENTO DO TOCANTINS;131
TO-SAO FELIX DO TOCANTINS;87
TO-SAO MIGUEL DO TOCANTINS;437
TO-SAO SALVADOR DO TOCANTINS;2360
TO-SAO SEBASTIAO DO TOCANTINS;255
TO-SAO VALERIO;369
TO-SILVANOPOLIS;373
TO-SITIO NOVO DO TOCANTINS;318
TO-SUCUPIRA;211
TO-TAGUATINGA;1016
TO-TAIPAS DO TOCANTINS;157
TO-TALISMA;355
TO-PALMAS;96272
TO-TOCANTINIA;443
TO-TOCANTINOPOLIS;1504
TO-TUPIRAMA;213
TO-TUPIRATINS;429
TO-WANDERLANDIA;783
TO-XAMBIOA;787
TO-IGNORADO;0
MA-ACAILANDIA;14514
MA-AFONSO CUNHA;15
MA-AGUA DOCE DO MARANHAO;41
MA-ALCANTARA;617
MA-ALDEIAS ALTAS;1578
MA-ALTAMIRA DO MARANHAO;174
MA-ALTO ALEGRE DO MARANHAO;817
MA-ALTO ALEGRE DO PINDARE;49
MA-ALTO PARNAIBA;573
MA-AMAPA DO MARANHAO;183
MA-AMARANTE DO MARANHAO;270
MA-ANAJATUBA;505
MA-ANAPURUS;517
MA-APICUM-ACU;346
MA-ARAGUANA;209
MA-ARAIOSES;1176
MA-ARAME;562
MA-ARARI;828
MA-AXIXA;297
MA-BACABAL;5726
MA-BACABEIRA;891
MA-BACURI;401
MA-BACURITUBA;197
MA-BALSAS;10862
MA-BARAO DE GRAJAU;905
MA-BARRA DO CORDA;2811
MA-BARREIRINHAS;2585
MA-BELAGUA;137
MA-BELA VISTA DO MARANHAO;45
MA-BENEDITO LEITE;215
MA-BEQUIMAO;521
MA-BERNARDO DO MEARIM;193
MA-BOA VISTA DO GURUPI;228
MA-BOM JARDIM;903
MA-BOM JESUS DAS SELVAS;1112
MA-BOM LUGAR;181
MA-BREJO;925
MA-BREJO DE AREIA;5
MA-BURITI;569
MA-BURITI BRAVO;324
MA-BURITICUPU;2446
MA-BURITIRANA;426
MA-CACHOEIRA GRANDE;161
MA-CAJAPIO;224
MA-CAJARI;402
MA-CAMPESTRE DO MARANHAO;993
MA-CANDIDO MENDES;354
MA-CANTANHEDE;631
MA-CAPINZAL DO NORTE;414
MA-CAROLINA;1741
MA-CARUTAPERA;1022
MA-CAXIAS;10410
MA-CEDRAL;10
MA-CENTRAL DO MARANHAO;275
MA-CENTRO DO GUILHERME;16
MA-CENTRO NOVO DO MARANHAO;870
MA-CHAPADINHA;3310
MA-CIDELANDIA;484
MA-CODO;5772
MA-COELHO NETO;2991
MA-COLINAS;930
MA-CONCEICAO DO LAGO-ACU;168
MA-COROATA;2603
MA-CURURUPU;1025
MA-DAVINOPOLIS;187
MA-DOM PEDRO;1025
MA-DUQUE BACELAR;385
MA-ESPERANTINOPOLIS;533
MA-ESTREITO;2658
MA-FEIRA NOVA DO MARANHAO;260
MA-FERNANDO FALCAO;185
MA-FORMOSA DA SERRA NEGRA;363
MA-FORTALEZA DOS NOGUEIRAS;570
MA-FORTUNA;388
MA-GODOFREDO VIANA;312
MA-GONCALVES DIAS;350
MA-GOVERNADOR ARCHER;243
MA-GOVERNADOR EDISON LOBAO;867
MA-GOVERNADOR EUGENIO BARROS;560
MA-GOVERNADOR LUIZ ROCHA;185
MA-GOVERNADOR NEWTON BELLO;228
MA-GOVERNADOR NUNES FREIRE;426
MA-GRACA ARANHA;130
MA-GRAJAU;4024
