Município;Total
RO-ALTA FLORESTA D OESTE;2917
RO-ARIQUEMES;18761
RO-CABIXI;684
RO-CACOAL;17610
RO-CEREJEIRAS;2458
RO-COLORADO DO OESTE;2185
RO-CORUMBIARA;1125
RO-COSTA MARQUES;1148
RO-ESPIGAO D OESTE;5025
RO-GUAJARA-MIRIM;4142
RO-JARU;9543
RO-JI-PARANA;27695
RO-MACHADINHO D OESTE;3038
RO-NOVA BRASILANDIA D OESTE;1617
RO-OURO PRETO DO OESTE;5761
RO-PIMENTA BUENO;9478
RO-PORTO VELHO;174539
RO-PRESIDENTE MEDICI;2656
RO-RIO CRESPO;620
RO-ROLIM DE MOURA;10224
RO-SANTA LUZIA D OESTE;1349
RO-VILHENA;19696
RO-SAO MIGUEL DO GUAPORE;3112
RO-NOVA MAMORE;1844
RO-ALVORADA D OESTE;1383
RO-ALTO ALEGRE DOS PARECIS;922
RO-ALTO PARAISO;1515
RO-BURITIS;3880
RO-NOVO HORIZONTE DO OESTE;839
RO-CACAULANDIA;611
RO-CAMPO NOVO DE RONDONIA;867
RO-CANDEIAS DO JAMARI;2127
RO-CASTANHEIRAS;463
RO-CHUPINGUAIA;2456
RO-CUJUBIM;1867
RO-GOVERNADOR JORGE TEIXEIRA;688
RO-ITAPUA DO OESTE;1288
RO-MINISTRO ANDREAZZA;834
RO-MIRANTE DA SERRA;1227
RO-MONTE NEGRO;1382
RO-NOVA UNIAO;502
RO-PARECIS;631
RO-PIMENTEIRAS DO OESTE;539
RO-PRIMAVERA DE RONDONIA;388
RO-SAO FELIPE D OESTE;514
RO-SAO FRANCISCO DO GUAPORE;1550
RO-SERINGUEIRAS;1286
RO-TEIXEIROPOLIS;498
RO-THEOBROMA;901
RO-URUPA;968
RO-VALE DO ANARI;609
RO-VALE DO PARAISO;699
RO-IGNORADO;0
AC-ACRELANDIA;931
AC-ASSIS BRASIL;369
AC-BRASILEIA;2037
AC-BUJARI;1244
AC-CAPIXABA;662
AC-CRUZEIRO DO SUL;8217
AC-EPITACIOLANDIA;1395
AC-FEIJO;1557
AC-JORDAO;509
AC-MANCIO LIMA;879
AC-MANOEL URBANO;751
