Município;Total
RO-ALTA FLORESTA D OESTE;2631
RO-ARIQUEMES;18378
RO-CABIXI;652
RO-CACOAL;18091
RO-CEREJEIRAS;2564
RO-COLORADO DO OESTE;2420
RO-CORUMBIARA;1367
RO-COSTA MARQUES;978
RO-ESPIGAO D OESTE;5402
RO-GUAJARA-MIRIM;3962
RO-JARU;10424
RO-JI-PARANA;28716
RO-MACHADINHO D OESTE;3630
RO-NOVA BRASILANDIA D OESTE;1837
RO-OURO PRETO DO OESTE;6071
RO-PIMENTA BUENO;10043
RO-PORTO VELHO;116923
RO-PRESIDENTE MEDICI;2521
RO-RIO CRESPO;830
RO-ROLIM DE MOURA;11969
RO-SANTA LUZIA D OESTE;896
RO-VILHENA;23368
RO-SAO MIGUEL DO GUAPORE;3516
RO-NOVA MAMORE;2063
RO-ALVORADA D OESTE;1463
RO-ALTO ALEGRE DOS PARECIS;1112
RO-ALTO PARAISO;1532
RO-BURITIS;3481
RO-NOVO HORIZONTE DO OESTE;831
RO-CACAULANDIA;509
RO-CAMPO NOVO DE RONDONIA;933
RO-CANDEIAS DO JAMARI;2490
RO-CASTANHEIRAS;470
RO-CHUPINGUAIA;2923
RO-CUJUBIM;1537
RO-GOVERNADOR JORGE TEIXEIRA;687
RO-ITAPUA DO OESTE;1276
RO-MINISTRO ANDREAZZA;891
RO-MIRANTE DA SERRA;1382
RO-MONTE NEGRO;1372
RO-NOVA UNIAO;487
RO-PARECIS;656
RO-PIMENTEIRAS DO OESTE;668
RO-PRIMAVERA DE RONDONIA;401
RO-SAO FELIPE D OESTE;624
RO-SAO FRANCISCO DO GUAPORE;1729
RO-SERINGUEIRAS;1255
RO-TEIXEIROPOLIS;466
RO-THEOBROMA;894
RO-URUPA;1431
RO-VALE DO ANARI;770
RO-VALE DO PARAISO;792
RO-IGNORADO;0
AC-ACRELANDIA;977
AC-ASSIS BRASIL;458
AC-BRASILEIA;2649
AC-BUJARI;1888
AC-CAPIXABA;760
AC-CRUZEIRO DO SUL;10739
AC-EPITACIOLANDIA;1834
AC-FEIJO;2243
AC-JORDAO;612
AC-MANCIO LIMA;1012
AC-MANOEL URBANO;499
AC-MARECHAL THAUMATURGO;977
AC-PLACIDO DE CASTRO;1016
AC-PORTO WALTER;947
AC-RIO BRANCO;104800
AC-RODRIGUES ALVES;939
AC-SANTA ROSA DO PURUS;25
AC-SENADOR GUIOMARD;2367
AC-SENA MADUREIRA;3201
AC-TARAUACA;2260
AC-XAPURI;1030
AC-PORTO ACRE;1257
AC-IGNORADO;0
