Município;Total
RO-ALTA FLORESTA D OESTE;2481
RO-ARIQUEMES;16061
RO-CABIXI;519
RO-CACOAL;14107
RO-CEREJEIRAS;2343
RO-COLORADO DO OESTE;1757
RO-CORUMBIARA;824
RO-COSTA MARQUES;843
RO-ESPIGAO D OESTE;3892
RO-GUAJARA-MIRIM;3578
RO-JARU;8013
RO-JI-PARANA;22493
RO-MACHADINHO D OESTE;2646
RO-NOVA BRASILANDIA D OESTE;1390
RO-OURO PRETO DO OESTE;4340
RO-PIMENTA BUENO;8131
RO-PORTO VELHO;184107
RO-PRESIDENTE MEDICI;2047
RO-RIO CRESPO;484
RO-ROLIM DE MOURA;7068
RO-SANTA LUZIA D OESTE;1228
RO-VILHENA;16372
RO-SAO MIGUEL DO GUAPORE;2281
RO-NOVA MAMORE;1575
RO-ALVORADA D OESTE;1374
RO-ALTO ALEGRE DOS PARECIS;827
RO-ALTO PARAISO;1434
RO-BURITIS;2948
RO-NOVO HORIZONTE DO OESTE;655
RO-CACAULANDIA;476
RO-CAMPO NOVO DE RONDONIA;729
RO-CANDEIAS DO JAMARI;1375
RO-CASTANHEIRAS;393
RO-CHUPINGUAIA;1961
RO-CUJUBIM;1753
RO-GOVERNADOR JORGE TEIXEIRA;583
RO-ITAPUA DO OESTE;1013
RO-MINISTRO ANDREAZZA;738
RO-MIRANTE DA SERRA;1059
RO-MONTE NEGRO;1185
RO-NOVA UNIAO;448
RO-PARECIS;395
RO-PIMENTEIRAS DO OESTE;403
RO-PRIMAVERA DE RONDONIA;307
RO-SAO FELIPE D OESTE;405
RO-SAO FRANCISCO DO GUAPORE;1240
RO-SERINGUEIRAS;853
RO-TEIXEIROPOLIS;431
RO-THEOBROMA;730
RO-URUPA;807
RO-VALE DO ANARI;588
RO-VALE DO PARAISO;600
RO-IGNORADO;0
AC-ACRELANDIA;813
AC-ASSIS BRASIL;331
AC-BRASILEIA;1345
AC-BUJARI;670
AC-CAPIXABA;698
AC-CRUZEIRO DO SUL;6417
AC-EPITACIOLANDIA;1121
AC-FEIJO;1432
AC-JORDAO;462
AC-MANCIO LIMA;546
AC-MANOEL URBANO;585
AC-MARECHAL THAUMATURGO;777
AC-PLACIDO DE CASTRO;910
AC-PORTO WALTER;443
AC-RIO BRANCO;96778
AC-RODRIGUES ALVES;688
AC-SANTA ROSA DO PURUS;206
AC-SENADOR GUIOMARD;2270
AC-SENA MADUREIRA;1636
AC-TARAUACA;1406
AC-XAPURI;988
AC-PORTO ACRE;665
AC-IGNORADO;0
AM-ALVARAES;486
AM-AMATURA;371
AM-ANAMA;513
AM-ANORI;588
AM-APUI;752
AM-ATALAIA DO NORTE;964
AM-AUTAZES;506
AM-BARCELOS;684
AM-BARREIRINHA;993
AM-BENJAMIN CONSTANT;1303
AM-BERURI;16
AM-BOA VISTA DO RAMOS;457
AM-BOCA DO ACRE;1669
AM-BORBA;1616
AM-CAAPIRANGA;747
AM-CANUTAMA;21
AM-CARAUARI;981
AM-CAREIRO;1336
AM-CAREIRO DA VARZEA;887
AM-COARI;6176
AM-CODAJAS;1081
AM-EIRUNEPE;1446
AM-ENVIRA;746
AM-FONTE BOA;875
AM-GUAJARA;737
AM-HUMAITA;2062
AM-IPIXUNA;371
AM-IRANDUBA;3759
AM-ITACOATIARA;8640
AM-ITAMARATI;386
AM-ITAPIRANGA;905
AM-JAPURA;409
AM-JURUA;459
AM-JUTAI;35
AM-LABREA;1321
AM-MANACAPURU;5094
AM-MANAQUIRI;413
AM-MANAUS;492429
AM-MANICORE;1014
AM-MARAA;457
AM-MAUES;2312
AM-NHAMUNDA;829
AM-NOVA OLINDA DO NORTE;1012
AM-NOVO AIRAO;575
AM-NOVO ARIPUANA;747
AM-PARINTINS;6773
AM-PAUINI;890
AM-PRESIDENTE FIGUEIREDO;4640
AM-RIO PRETO DA EVA;2121
AM-SANTA ISABEL DO RIO NEGRO;201
AM-SANTO ANTONIO DO ICA;781
AM-SAO GABRIEL DA CACHOEIRA;2476
AM-SAO PAULO DE OLIVENCA;233
AM-SAO SEBASTIAO DO UATUMA;417
AM-SILVES;559
AM-TABATINGA;1799
AM-TAPAUA;904
AM-TEFE;3100
AM-TONANTINS;184
AM-UARINI;71
AM-URUCARA;785
AM-URUCURITUBA;625
AM-IGNORADO;0
RR-AMAJARI;435
RR-ALTO ALEGRE;642
RR-BOA VISTA;70034
RR-BONFIM;801
RR-CANTA;328
RR-CARACARAI;1144
RR-CAROEBE;305
RR-IRACEMA;370
RR-MUCAJAI;1078
RR-NORMANDIA;474
RR-PACARAIMA;157
RR-RORAINOPOLIS;1832
RR-SAO JOAO DA BALIZA;392
RR-SAO LUIZ;322
RR-UIRAMUTA;271
RR-IGNORADO;0
PA-ABAETETUBA;6565
PA-ABEL FIGUEIREDO;559
PA-ACARA;4406
PA-AFUA;1766
PA-AGUA AZUL DO NORTE;1304
PA-ALENQUER;2997
PA-ALMEIRIM;7889
PA-ALTAMIRA;10178
PA-ANAJAS;878
PA-ANANINDEUA;56418
PA-ANAPU;1025
PA-AUGUSTO CORREA;115
PA-AURORA DO PARA;1134
PA-AVEIRO;840
PA-BAGRE;302
PA-BAIAO;1669
PA-BANNACH;452
PA-BARCARENA;17337
PA-BELEM;391168
PA-BELTERRA;941
PA-BENEVIDES;6263
PA-BOM JESUS DO TOCANTINS;1824
PA-BONITO;875
PA-BRAGANCA;5270
PA-BRASIL NOVO;691
PA-BREJO GRANDE DO ARAGUAIA;496
PA-BREU BRANCO;2896
PA-BREVES;5606
PA-BUJARU;300
PA-CACHOEIRA DO PIRIA;50
PA-CACHOEIRA DO ARARI;795
PA-CAMETA;5198
PA-CANAA DOS CARAJAS;4972
PA-CAPANEMA;5462
PA-CAPITAO POCO;2714
PA-CASTANHAL;28783
PA-CHAVES;658
PA-COLARES;320
PA-CONCEICAO DO ARAGUAIA;2885
PA-CONCORDIA DO PARA;2113
PA-CUMARU DO NORTE;1823
PA-CURIONOPOLIS;1138
PA-CURRALINHO;810
PA-CURUA;866
PA-CURUCA;1259
PA-DOM ELISEU;5392
PA-ELDORADO DO CARAJAS;2181
PA-FARO;580
PA-FLORESTA DO ARAGUAIA;1307
PA-GARRAFAO DO NORTE;919
PA-GOIANESIA DO PARA;3110
PA-GURUPA;1511
PA-IGARAPE-ACU;2780
PA-IGARAPE-MIRI;3300
PA-INHANGAPI;685
PA-IPIXUNA DO PARA;1494
PA-IRITUIA;1328
PA-ITAITUBA;8357
PA-ITUPIRANGA;2361
PA-JACAREACANGA;620
PA-JACUNDA;4553
PA-JURUTI;4948
PA-LIMOEIRO DO AJURU;944
PA-MAE DO RIO;2243
PA-MAGALHAES BARATA;221
PA-MARABA;41745
PA-MARACANA;1816
PA-MARAPANIM;1035
PA-MARITUBA;13300
PA-MEDICILANDIA;1181
PA-MELGACO;884
PA-MOCAJUBA;131
PA-MOJU;6832
PA-MOJUI DOS CAMPOS;0
PA-MONTE ALEGRE;2682
PA-MUANA;946
PA-NOVA ESPERANCA DO PIRIA;1266
PA-NOVA IPIXUNA;812
PA-NOVA TIMBOTEUA;797
PA-NOVO PROGRESSO;2275
PA-NOVO REPARTIMENTO;3530
PA-OBIDOS;2767
PA-OEIRAS DO PARA;1174
PA-ORIXIMINA;7139
PA-OUREM;714
PA-OURILANDIA DO NORTE;5522
PA-PACAJA;1650
PA-PALESTINA DO PARA;371
PA-PARAGOMINAS;17833
PA-PARAUAPEBAS;38030
PA-PAU D ARCO;702
PA-PEIXE-BOI;416
PA-PICARRA;1243
PA-PLACAS;965
PA-PONTA DE PEDRAS;1038
PA-PORTEL;2411
PA-PORTO DE MOZ;1115
PA-PRAINHA;991
PA-PRIMAVERA;466
PA-QUATIPURU;603
PA-REDENCAO;10644
PA-RIO MARIA;2086
PA-RONDON DO PARA;4684
PA-RUROPOLIS;1608
PA-SALINOPOLIS;2364
PA-SALVATERRA;1033
PA-SANTA BARBARA DO PARA;1305
PA-SANTA CRUZ DO ARARI;262
PA-SANTA IZABEL DO PARA;6986
PA-SANTA LUZIA DO PARA;1044
PA-SANTA MARIA DAS BARREIRAS;1438
PA-SANTA MARIA DO PARA;1195
PA-SANTANA DO ARAGUAIA;4056
PA-SANTAREM;33400
PA-SANTAREM NOVO;463
PA-SANTO ANTONIO DO TAUA;1825
PA-SAO CAETANO DE ODIVELAS;695
PA-SAO DOMINGOS DO ARAGUAIA;1372
PA-SAO DOMINGOS DO CAPIM;1250
PA-SAO FELIX DO XINGU;4664
PA-SAO FRANCISCO DO PARA;790
PA-SAO GERALDO DO ARAGUAIA;2041
PA-SAO JOAO DA PONTA;309
PA-SAO JOAO DE PIRABAS;746
PA-SAO JOAO DO ARAGUAIA;463
PA-SAO MIGUEL DO GUAMA;3712
PA-SAO SEBASTIAO DA BOA VISTA;903
PA-SAPUCAIA;694
PA-SENADOR JOSE PORFIRIO;593
PA-SOURE;1127
PA-TAILANDIA;8780
PA-TERRA ALTA;613
PA-TERRA SANTA;905
PA-TOME-ACU;6612
PA-TRACUATEUA;1169
PA-TRAIRAO;446
PA-TUCUMA;3047
PA-TUCURUI;12163
PA-ULIANOPOLIS;3860
PA-URUARA;2941
PA-VIGIA;2724
PA-VISEU;2337
PA-VITORIA DO XINGU;500
PA-XINGUARA;6160
PA-IGNORADO;0
AP-SERRA DO NAVIO;355
AP-AMAPA;445
AP-PEDRA BRANCA DO AMAPARI;1453
AP-CALCOENE;518
AP-CUTIAS;296
AP-FERREIRA GOMES;464
AP-ITAUBAL;251
AP-LARANJAL DO JARI;2480
AP-MACAPA;88053
AP-MAZAGAO;1190
AP-OIAPOQUE;1021
AP-PORTO GRANDE;1384
AP-PRACUUBA;311
AP-SANTANA;9039
AP-TARTARUGALZINHO;405
AP-VITORIA DO JARI;526
AP-IGNORADO;0
TO-ABREULANDIA;212
TO-AGUIARNOPOLIS;489
TO-ALIANCA DO TOCANTINS;476
TO-ALMAS;648
TO-ALVORADA;1898
TO-ANANAS;1003
TO-ANGICO;265
TO-APARECIDA DO RIO NEGRO;264
TO-ARAGOMINAS;334
TO-ARAGUACEMA;452
TO-ARAGUACU;1150
TO-ARAGUAINA;25005
TO-ARAGUANA;491
TO-ARAGUATINS;2077
TO-ARAPOEMA;821
TO-ARRAIAS;679
TO-AUGUSTINOPOLIS;1070
TO-AURORA DO TOCANTINS;232
TO-AXIXA DO TOCANTINS;686
TO-BABACULANDIA;848
TO-BANDEIRANTES DO TOCANTINS;459
TO-BARRA DO OURO;205
TO-BARROLANDIA;420
TO-BERNARDO SAYAO;344
TO-BOM JESUS DO TOCANTINS;217
TO-BRASILANDIA DO TOCANTINS;286
TO-BREJINHO DE NAZARE;875
TO-BURITI DO TOCANTINS;482
TO-CACHOEIRINHA;163
TO-CAMPOS LINDOS;559
TO-CARIRI DO TOCANTINS;509
TO-CARMOLANDIA;283
TO-CARRASCO BONITO;172
TO-CASEARA;352
TO-CENTENARIO;238
TO-CHAPADA DE AREIA;154
TO-CHAPADA DA NATIVIDADE;209
TO-COLINAS DO TOCANTINS;3433
TO-COMBINADO;268
TO-CONCEICAO DO TOCANTINS;244
TO-COUTO MAGALHAES;277
TO-CRISTALANDIA;633
TO-CRIXAS DO TOCANTINS;116
TO-DARCINOPOLIS;341
TO-DIANOPOLIS;1832
TO-DIVINOPOLIS DO TOCANTINS;647
TO-DOIS IRMAOS DO TOCANTINS;330
TO-DUERE;508
TO-ESPERANTINA;474
TO-FATIMA;388
TO-FIGUEIROPOLIS;593
TO-FILADELFIA;717
TO-FORMOSO DO ARAGUAIA;2144
TO-FORTALEZA DO TABOCAO;450
TO-GOIANORTE;197
TO-GOIATINS;633
TO-GUARAI;2626
TO-GURUPI;15104
TO-IPUEIRAS;170
TO-ITACAJA;450
TO-ITAGUATINS;381
TO-ITAPIRATINS;269
TO-ITAPORA DO TOCANTINS;334
TO-JAU DO TOCANTINS;305
TO-JUARINA;146
TO-LAGOA DA CONFUSAO;941
TO-LAGOA DO TOCANTINS;143
TO-LAJEADO;426
TO-LAVANDEIRA;13
TO-LIZARDA;99
TO-LUZINOPOLIS;207
TO-MARIANOPOLIS DO TOCANTINS;477
TO-MATEIROS;286
TO-MAURILANDIA DO TOCANTINS;199
TO-MIRACEMA DO TOCANTINS;2833
TO-MIRANORTE;1014
TO-MONTE DO CARMO;450
TO-MONTE SANTO DO TOCANTINS;160
TO-PALMEIRAS DO TOCANTINS;240
TO-MURICILANDIA;374
TO-NATIVIDADE;728
TO-NAZARE;244
TO-NOVA OLINDA;1166
TO-NOVA ROSALANDIA;223
TO-NOVO ACORDO;235
TO-NOVO ALEGRE;151
TO-NOVO JARDIM;292
TO-OLIVEIRA DE FATIMA;156
TO-PALMEIRANTE;119
TO-PALMEIROPOLIS;588
TO-PARAISO DO TOCANTINS;7518
TO-PARANA;675
TO-PAU D ARCO;389
TO-PEDRO AFONSO;2295
TO-PEIXE;1159
TO-PEQUIZEIRO;296
TO-COLMEIA;956
TO-PINDORAMA DO TOCANTINS;216
TO-PIRAQUE;473
TO-PIUM;488
TO-PONTE ALTA DO BOM JESUS;185
TO-PONTE ALTA DO TOCANTINS;266
TO-PORTO ALEGRE DO TOCANTINS;201
TO-PORTO NACIONAL;6516
TO-PRAIA NORTE;247
TO-PRESIDENTE KENNEDY;394
TO-PUGMIL;244
TO-RECURSOLANDIA;254
TO-RIACHINHO;282
TO-RIO DA CONCEICAO;157
TO-RIO DOS BOIS;253
TO-RIO SONO;273
TO-SAMPAIO;234
TO-SANDOLANDIA;356
TO-SANTA FE DO ARAGUAIA;655
TO-SANTA MARIA DO TOCANTINS;170
TO-SANTA RITA DO TOCANTINS;205
TO-SANTA ROSA DO TOCANTINS;305
TO-SANTA TEREZA DO TOCANTINS;198
TO-SANTA TEREZINHA DO TOCANTINS;192
TO-SAO BENTO DO TOCANTINS;184
TO-SAO FELIX DO TOCANTINS;118
TO-SAO MIGUEL DO TOCANTINS;519
TO-SAO SALVADOR DO TOCANTINS;272
TO-SAO SEBASTIAO DO TOCANTINS;305
TO-SAO VALERIO;285
TO-SILVANOPOLIS;373
TO-SITIO NOVO DO TOCANTINS;520
TO-SUCUPIRA;288
TO-TAGUATINGA;1054
TO-TAIPAS DO TOCANTINS;232
TO-TALISMA;392
TO-PALMAS;112915
TO-TOCANTINIA;411
TO-TOCANTINOPOLIS;1723
TO-TUPIRAMA;161
TO-TUPIRATINS;236
TO-WANDERLANDIA;933
TO-XAMBIOA;1181
TO-IGNORADO;0
MA-ACAILANDIA;13632
MA-AFONSO CUNHA;11
MA-AGUA DOCE DO MARANHAO;44
MA-ALCANTARA;771
MA-ALDEIAS ALTAS;2131
MA-ALTAMIRA DO MARANHAO;110
MA-ALTO ALEGRE DO MARANHAO;921
MA-ALTO ALEGRE DO PINDARE;436
MA-ALTO PARNAIBA;653
MA-AMAPA DO MARANHAO;254
MA-AMARANTE DO MARANHAO;175
MA-ANAJATUBA;511
MA-ANAPURUS;841
MA-APICUM-ACU;561
MA-ARAGUANA;261
MA-ARAIOSES;272
MA-ARAME;923
MA-ARARI;968
MA-AXIXA;264
MA-BACABAL;6203
MA-BACABEIRA;1965
MA-BACURI;525
MA-BACURITUBA;149
MA-BALSAS;12870
MA-BARAO DE GRAJAU;911
MA-BARRA DO CORDA;3298
MA-BARREIRINHAS;2393
MA-BELAGUA;238
MA-BELA VISTA DO MARANHAO;55
MA-BENEDITO LEITE;229
MA-BEQUIMAO;475
MA-BERNARDO DO MEARIM;183
MA-BOA VISTA DO GURUPI;240
MA-BOM JARDIM;1059
MA-BOM JESUS DAS SELVAS;1160
MA-BOM LUGAR;237
MA-BREJO;584
MA-BREJO DE AREIA;221
MA-BURITI;842
MA-BURITI BRAVO;546
MA-BURITICUPU;2725
MA-BURITIRANA;469
MA-CACHOEIRA GRANDE;175
MA-CAJAPIO;253
MA-CAJARI;481
MA-CAMPESTRE DO MARANHAO;1355
MA-CANDIDO MENDES;430
MA-CANTANHEDE;658
MA-CAPINZAL DO NORTE;588
MA-CAROLINA;2532
MA-CARUTAPERA;1085
