Município;2003;
RO-ALTA FLORESTA D OESTE;1629;
RO-ARIQUEMES;9391;
RO-CABIXI;370;
RO-CACOAL;9119;
RO-CEREJEIRAS;1346;
RO-COLORADO DO OESTE;1386;
RO-CORUMBIARA;525;
RO-COSTA MARQUES;519;
RO-ESPIGAO D OESTE;2313;
RO-GUAJARA-MIRIM;2217;
RO-JARU;5503;
RO-JI-PARANA;15528;
RO-MACHADINHO D OESTE;1536;
RO-NOVA BRASILANDIA D OESTE;867;
RO-OURO PRETO DO OESTE;3380;
RO-PIMENTA BUENO;4638;
RO-PORTO VELHO;90189;
RO-PRESIDENTE MEDICI;1378;
RO-RIO CRESPO;203;
RO-ROLIM DE MOURA;4724;
RO-SANTA LUZIA D OESTE;600;
RO-VILHENA;9525;
RO-SAO MIGUEL DO GUAPORE;961;
RO-NOVA MAMORE;887;
RO-ALVORADA D OESTE;1038;
RO-ALTO ALEGRE DOS PARECIS;477;
RO-ALTO PARAISO;669;
RO-BURITIS;1611;
RO-NOVO HORIZONTE DO OESTE;516;
RO-CACAULANDIA;231;
RO-CAMPO NOVO DE RONDONIA;448;
RO-CANDEIAS DO JAMARI;781;
RO-CASTANHEIRAS;251;
RO-CHUPINGUAIA;745;
RO-CUJUBIM;655;
RO-GOVERNADOR JORGE TEIXEIRA;410;
RO-ITAPUA DO OESTE;624;
RO-MINISTRO ANDREAZZA;441;
RO-MIRANTE DA SERRA;584;
RO-MONTE NEGRO;748;
RO-NOVA UNIAO;226;
RO-PARECIS;199;
RO-PIMENTEIRAS DO OESTE;253;
RO-PRIMAVERA DE RONDONIA;252;
RO-SAO FELIPE D OESTE;269;
RO-SAO FRANCISCO DO GUAPORE;834;
RO-SERINGUEIRAS;457;
RO-TEIXEIROPOLIS;355;
RO-THEOBROMA;446;
RO-URUPA;532;
RO-VALE DO ANARI;287;
RO-VALE DO PARAISO;404;
RO-IGNORADO;0;
AC-ACRELANDIA;537;
AC-ASSIS BRASIL;185;
AC-BRASILEIA;523;
AC-BUJARI;370;
AC-CAPIXABA;287;
AC-CRUZEIRO DO SUL;2874;
AC-EPITACIOLANDIA;596;
AC-FEIJO;819;
AC-JORDAO;65;
AC-MANCIO LIMA;210;
AC-MANOEL URBANO;128;
AC-MARECHAL THAUMATURGO;368;
AC-PLACIDO DE CASTRO;576;
AC-PORTO WALTER;283;
AC-RIO BRANCO;57061;
AC-RODRIGUES ALVES;200;
AC-SANTA ROSA DO PURUS;81;
AC-SENADOR GUIOMARD;732;
AC-SENA MADUREIRA;933;
AC-TARAUACA;1114;
AC-XAPURI;480;
AC-PORTO ACRE;78;
AC-IGNORADO;0;
AM-ALVARAES;8;
AM-AMATURA;193;
AM-ANAMA;10;
AM-ANORI;13;
AM-APUI;449;
AM-ATALAIA DO NORTE;48;
AM-AUTAZES;338;
AM-BARCELOS;217;
AM-BARREIRINHA;463;
AM-BENJAMIN CONSTANT;742;
AM-BERURI;12;
AM-BOA VISTA DO RAMOS;229;
AM-BOCA DO ACRE;783;
AM-BORBA;500;
AM-CAAPIRANGA;414;
AM-CANUTAMA;14;
AM-CARAUARI;767;
AM-CAREIRO;732;
AM-CAREIRO DA VARZEA;13;
AM-COARI;3217;
AM-CODAJAS;241;
AM-EIRUNEPE;563;
AM-ENVIRA;416;
AM-FONTE BOA;268;
AM-GUAJARA;58;
AM-HUMAITA;1457;
AM-IPIXUNA;126;
AM-IRANDUBA;1459;
AM-ITACOATIARA;6330;
AM-ITAMARATI;120;
AM-ITAPIRANGA;238;
AM-JAPURA;8;
AM-JURUA;197;
AM-JUTAI;10;
AM-LABREA;333;
AM-MANACAPURU;1441;
AM-MANAQUIRI;12;
AM-MANAUS;282703;
AM-MANICORE;749;
AM-MARAA;14;
AM-MAUES;1115;
AM-NHAMUNDA;533;
AM-NOVA OLINDA DO NORTE;527;
AM-NOVO AIRAO;84;
AM-NOVO ARIPUANA;33;
AM-PARINTINS;3311;
AM-PAUINI;10;
AM-PRESIDENTE FIGUEIREDO;2737;
AM-RIO PRETO DA EVA;599;
AM-SANTA ISABEL DO RIO NEGRO;135;
AM-SANTO ANTONIO DO ICA;41;
AM-SAO GABRIEL DA CACHOEIRA;743;
AM-SAO PAULO DE OLIVENCA;55;
AM-SAO SEBASTIAO DO UATUMA;164;
AM-SILVES;51;
AM-TABATINGA;522;
AM-TAPAUA;391;
AM-TEFE;955;
AM-TONANTINS;9;
AM-UARINI;12;
AM-URUCARA;409;
AM-URUCURITUBA;20;
AM-IGNORADO;0;
RR-AMAJARI;1;
RR-ALTO ALEGRE;21;
RR-BOA VISTA;26568;
RR-BONFIM;16;
RR-CANTA;177;
RR-CARACARAI;548;
RR-CAROEBE;11;
RR-IRACEMA;2;
RR-MUCAJAI;114;
RR-NORMANDIA;9;
RR-PACARAIMA;102;
RR-RORAINOPOLIS;92;
RR-SAO JOAO DA BALIZA;32;
RR-SAO LUIZ;31;
RR-UIRAMUTA;1;
RR-IGNORADO;0;
PA-ABAETETUBA;3432;
PA-ABEL FIGUEIREDO;391;
PA-ACARA;1544;
PA-AFUA;929;
PA-AGUA AZUL DO NORTE;556;
PA-ALENQUER;1124;
PA-ALMEIRIM;6991;
PA-ALTAMIRA;5611;
PA-ANAJAS;45;
PA-ANANINDEUA;36088;
PA-ANAPU;749;
PA-AUGUSTO CORREA;600;
PA-AURORA DO PARA;628;
PA-AVEIRO;134;
PA-BAGRE;177;
PA-BAIAO;512;
PA-BANNACH;260;
PA-BARCARENA;8806;
PA-BELEM;275925;
PA-BELTERRA;600;
PA-BENEVIDES;2461;
PA-BOM JESUS DO TOCANTINS;493;
PA-BONITO;180;
PA-BRAGANCA;1923;
PA-BRASIL NOVO;196;
PA-BREJO GRANDE DO ARAGUAIA;454;
PA-BREU BRANCO;1914;
PA-BREVES;4692;
PA-BUJARU;485;
PA-CACHOEIRA DO PIRIA;78;
PA-CACHOEIRA DO ARARI;449;
PA-CAMETA;3095;
PA-CANAA DOS CARAJAS;1534;
PA-CAPANEMA;3647;
PA-CAPITAO POCO;1412;
PA-CASTANHAL;15831;
PA-CHAVES;345;
PA-COLARES;8;
PA-CONCEICAO DO ARAGUAIA;2172;
PA-CONCORDIA DO PARA;1056;
PA-CUMARU DO NORTE;832;
PA-CURIONOPOLIS;713;
PA-CURRALINHO;122;
PA-CURUA;3;
PA-CURUCA;868;
PA-DOM ELISEU;4026;
PA-ELDORADO DO CARAJAS;428;
PA-FARO;193;
PA-FLORESTA DO ARAGUAIA;564;
PA-GARRAFAO DO NORTE;212;
PA-GOIANESIA DO PARA;1874;
PA-GURUPA;511;
PA-IGARAPE-ACU;1322;
PA-IGARAPE-MIRI;2159;
PA-INHANGAPI;433;
PA-IPIXUNA DO PARA;896;
PA-IRITUIA;608;
PA-ITAITUBA;7158;
PA-ITUPIRANGA;1212;
PA-JACAREACANGA;87;
PA-JACUNDA;1794;
PA-JURUTI;813;
PA-LIMOEIRO DO AJURU;7;
PA-MAE DO RIO;1278;
PA-MAGALHAES BARATA;217;
PA-MARABA;17752;
PA-MARACANA;649;
PA-MARAPANIM;929;
PA-MARITUBA;4737;
PA-MEDICILANDIA;622;
PA-MELGACO;23;
PA-MOCAJUBA;64;
PA-MOJU;3036;
PA-MOJUI DOS CAMPOS;0;
PA-MONTE ALEGRE;1839;
PA-MUANA;441;
PA-NOVA ESPERANCA DO PIRIA;308;
PA-NOVA IPIXUNA;460;
PA-NOVA TIMBOTEUA;513;
PA-NOVO PROGRESSO;1702;
PA-NOVO REPARTIMENTO;2051;
PA-OBIDOS;1820;
PA-OEIRAS DO PARA;219;
PA-ORIXIMINA;4812;
PA-OUREM;403;
PA-OURILANDIA DO NORTE;828;
PA-PACAJA;228;
PA-PALESTINA DO PARA;228;
PA-PARAGOMINAS;9849;
PA-PARAUAPEBAS;12705;
PA-PAU D ARCO;199;
PA-PEIXE-BOI;180;
PA-PICARRA;438;
PA-PLACAS;382;
PA-PONTA DE PEDRAS;482;
PA-PORTEL;1481;
PA-PORTO DE MOZ;197;
PA-PRAINHA;595;
PA-PRIMAVERA;288;
PA-QUATIPURU;282;
PA-REDENCAO;6432;
PA-RIO MARIA;1169;
PA-RONDON DO PARA;3837;
PA-RUROPOLIS;921;
PA-SALINOPOLIS;1569;
PA-SALVATERRA;649;
PA-SANTA BARBARA DO PARA;773;
PA-SANTA CRUZ DO ARARI;23;
PA-SANTA IZABEL DO PARA;4132;
PA-SANTA LUZIA DO PARA;391;
PA-SANTA MARIA DAS BARREIRAS;677;
PA-SANTA MARIA DO PARA;711;
PA-SANTANA DO ARAGUAIA;2579;
PA-SANTAREM;19058;
PA-SANTAREM NOVO;339;
PA-SANTO ANTONIO DO TAUA;1537;
PA-SAO CAETANO DE ODIVELAS;293;
PA-SAO DOMINGOS DO ARAGUAIA;530;
PA-SAO DOMINGOS DO CAPIM;921;
PA-SAO FELIX DO XINGU;1425;
PA-SAO FRANCISCO DO PARA;575;
PA-SAO GERALDO DO ARAGUAIA;1213;
PA-SAO JOAO DA PONTA;208;
PA-SAO JOAO DE PIRABAS;566;
PA-SAO JOAO DO ARAGUAIA;67;
PA-SAO MIGUEL DO GUAMA;3212;
PA-SAO SEBASTIAO DA BOA VISTA;29;
PA-SAPUCAIA;674;
PA-SENADOR JOSE PORFIRIO;625;
PA-SOURE;681;
PA-TAILANDIA;4643;
PA-TERRA ALTA;344;
PA-TERRA SANTA;324;
PA-TOME-ACU;4124;
PA-TRACUATEUA;372;
PA-TRAIRAO;475;
PA-TUCUMA;602;
PA-TUCURUI;8706;
PA-ULIANOPOLIS;2286;
PA-URUARA;1610;
PA-VIGIA;1280;
PA-VISEU;1502;
PA-VITORIA DO XINGU;251;
PA-XINGUARA;3645;
PA-IGNORADO;0;
AP-SERRA DO NAVIO;140;
AP-AMAPA;447;
AP-PEDRA BRANCA DO AMAPARI;51;
AP-CALCOENE;119;
AP-CUTIAS;51;
AP-FERREIRA GOMES;216;
AP-ITAUBAL;18;
AP-LARANJAL DO JARI;1001;
