Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;3873;
RO-CABIXI;174;
RO-CACOAL;4002;
RO-CEREJEIRAS;612;
RO-COLORADO DO OESTE;590;
RO-CORUMBIARA;0;
RO-COSTA MARQUES;300;
RO-ESPIGAO D OESTE;665;
RO-GUAJARA-MIRIM;1430;
RO-JARU;2155;
RO-JI-PARANA;7077;
RO-MACHADINHO D OESTE;22;
RO-NOVA BRASILANDIA D OESTE;14;
RO-OURO PRETO DO OESTE;1730;
RO-PIMENTA BUENO;2030;
RO-PORTO VELHO;76688;
RO-PRESIDENTE MEDICI;641;
RO-RIO CRESPO;0;
RO-ROLIM DE MOURA;989;
RO-SANTA LUZIA D OESTE;399;
RO-VILHENA;3446;
RO-SAO MIGUEL DO GUAPORE;328;
RO-NOVA MAMORE;41;
RO-ALVORADA D OESTE;303;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;0;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;114;
RO-CACAULANDIA;1;
RO-CAMPO NOVO DE RONDONIA;118;
RO-CANDEIAS DO JAMARI;0;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;0;
RO-ITAPUA DO OESTE;231;
RO-MINISTRO ANDREAZZA;1;
RO-MIRANTE DA SERRA;0;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;0;
RO-URUPA;0;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;17;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;6;
AC-BRASILEIA;698;
AC-BUJARI;0;
AC-CAPIXABA;0;
AC-CRUZEIRO DO SUL;1703;
AC-EPITACIOLANDIA;13;
AC-FEIJO;296;
AC-JORDAO;0;
AC-MANCIO LIMA;6;
AC-MANOEL URBANO;6;
AC-MARECHAL THAUMATURGO;0;
AC-PLACIDO DE CASTRO;307;
AC-PORTO WALTER;46;
AC-RIO BRANCO;45473;
AC-RODRIGUES ALVES;57;
AC-SANTA ROSA DO PURUS;0;
AC-SENADOR GUIOMARD;326;
AC-SENA MADUREIRA;336;
AC-TARAUACA;557;
AC-XAPURI;86;
AC-PORTO ACRE;0;
AC-IGNORADO;0;
AM-ALVARAES;1;
AM-AMATURA;1;
AM-ANAMA;1;
AM-ANORI;256;
AM-APUI;0;
AM-ATALAIA DO NORTE;25;
AM-AUTAZES;157;
AM-BARCELOS;16;
AM-BARREIRINHA;381;
AM-BENJAMIN CONSTANT;762;
AM-BERURI;5;
AM-BOA VISTA DO RAMOS;42;
AM-BOCA DO ACRE;587;
AM-BORBA;504;
AM-CAAPIRANGA;112;
AM-CANUTAMA;14;
AM-CARAUARI;495;
AM-CAREIRO;103;
AM-CAREIRO DA VARZEA;0;
AM-COARI;2085;
AM-CODAJAS;390;
AM-EIRUNEPE;594;
AM-ENVIRA;51;
AM-FONTE BOA;306;
AM-GUAJARA;0;
AM-HUMAITA;688;
AM-IPIXUNA;94;
AM-IRANDUBA;632;
AM-ITACOATIARA;4782;
AM-ITAMARATI;125;
AM-ITAPIRANGA;75;
AM-JAPURA;16;
AM-JURUA;8;
AM-JUTAI;16;
AM-LABREA;481;
AM-MANACAPURU;1776;
AM-MANAQUIRI;1;
AM-MANAUS;200144;
AM-MANICORE;554;
AM-MARAA;13;
AM-MAUES;697;
AM-NHAMUNDA;20;
AM-NOVA OLINDA DO NORTE;438;
AM-NOVO AIRAO;95;
AM-NOVO ARIPUANA;13;
AM-PARINTINS;2071;
AM-PAUINI;66;
AM-PRESIDENTE FIGUEIREDO;1968;
AM-RIO PRETO DA EVA;241;
AM-SANTA ISABEL DO RIO NEGRO;9;
AM-SANTO ANTONIO DO ICA;172;
AM-SAO GABRIEL DA CACHOEIRA;367;
AM-SAO PAULO DE OLIVENCA;216;
AM-SAO SEBASTIAO DO UATUMA;12;
AM-SILVES;81;
AM-TABATINGA;175;
AM-TAPAUA;12;
AM-TEFE;1941;
AM-TONANTINS;0;
AM-UARINI;0;
AM-URUCARA;391;
AM-URUCURITUBA;324;
AM-IGNORADO;0;
RR-AMAJARI;0;
RR-ALTO ALEGRE;7;
RR-BOA VISTA;20209;
RR-BONFIM;11;
RR-CANTA;0;
RR-CARACARAI;134;
RR-CAROEBE;0;
RR-IRACEMA;0;
RR-MUCAJAI;50;
RR-NORMANDIA;7;
RR-PACARAIMA;0;
RR-RORAINOPOLIS;0;
RR-SAO JOAO DA BALIZA;745;
RR-SAO LUIZ;15;
RR-UIRAMUTA;0;
RR-IGNORADO;0;
PA-ABAETETUBA;2090;
PA-ABEL FIGUEIREDO;101;
PA-ACARA;488;
PA-AFUA;197;
PA-AGUA AZUL DO NORTE;0;
PA-ALENQUER;479;
PA-ALMEIRIM;6399;
PA-ALTAMIRA;2212;
PA-ANAJAS;14;
PA-ANANINDEUA;20314;
PA-ANAPU;0;
PA-AUGUSTO CORREA;292;
PA-AURORA DO PARA;5;
PA-AVEIRO;257;
PA-BAGRE;3;
PA-BAIAO;12;
PA-BANNACH;0;
PA-BARCARENA;2912;
PA-BELEM;264044;
PA-BELTERRA;0;
PA-BENEVIDES;1859;
PA-BOM JESUS DO TOCANTINS;169;
PA-BONITO;0;
PA-BRAGANCA;1435;
PA-BRASIL NOVO;3;
PA-BREJO GRANDE DO ARAGUAIA;47;
PA-BREU BRANCO;83;
PA-BREVES;2343;
PA-BUJARU;117;
PA-CACHOEIRA DO PIRIA;0;
PA-CACHOEIRA DO ARARI;214;
PA-CAMETA;835;
PA-CANAA DOS CARAJAS;0;
PA-CAPANEMA;2598;
PA-CAPITAO POCO;323;
PA-CASTANHAL;6559;
PA-CHAVES;70;
PA-COLARES;2;
PA-CONCEICAO DO ARAGUAIA;1736;
PA-CONCORDIA DO PARA;66;
PA-CUMARU DO NORTE;0;
PA-CURIONOPOLIS;460;
PA-CURRALINHO;2;
PA-CURUA;0;
PA-CURUCA;282;
PA-DOM ELISEU;241;
PA-ELDORADO DOS CARAJAS;2;
PA-FARO;108;
PA-FLORESTA DO ARAGUAIA;0;
PA-GARRAFAO DO NORTE;273;
PA-GOIANESIA DO PARA;141;
PA-GURUPA;45;
PA-IGARAPE-ACU;376;
PA-IGARAPE-MIRI;565;
PA-INHANGAPI;139;
PA-IPIXUNA DO PARA;0;
PA-IRITUIA;589;
PA-ITAITUBA;1515;
PA-ITUPIRANGA;147;
PA-JACAREACANGA;12;
PA-JACUNDA;497;
PA-JURUTI;26;
PA-LIMOEIRO DO AJURU;7;
PA-MAE DO RIO;0;
PA-MAGALHAES BARATA;92;
PA-MARABA;7397;
PA-MARACANA;323;
PA-MARAPANIM;227;
PA-MARITUBA;0;
PA-MEDICILANDIA;106;
PA-MELGACO;2;
PA-MOCAJUBA;36;
PA-MOJU;1106;
PA-MONTE ALEGRE;708;
PA-MUANA;55;
PA-NOVA ESPERANCA DO PIRIA;0;
PA-NOVA IPIXUNA;0;
PA-NOVA TIMBOTEUA;234;
PA-NOVO PROGRESSO;54;
PA-NOVO REPARTIMENTO;0;
PA-OBIDOS;1082;
PA-OEIRAS DO PARA;6;
PA-ORIXIMINA;3662;
PA-OUREM;286;
PA-OURILANDIA DO NORTE;4664;
PA-PACAJA;381;
PA-PALESTINA DO PARA;187;
PA-PARAGOMINAS;7146;
PA-PARAUAPEBAS;1181;
PA-PAU D ARCO;0;
PA-PEIXE-BOI;118;
PA-PICARRA;0;
PA-PLACAS;0;
PA-PONTA DE PEDRAS;235;
PA-PORTEL;687;
PA-PORTO DE MOZ;49;
PA-PRAINHA;251;
PA-PRIMAVERA;330;
PA-QUATIPURU;0;
PA-REDENCAO;1935;
PA-RIO MARIA;595;
PA-RONDON DO PARA;2032;
PA-RUROPOLIS;303;
PA-SALINOPOLIS;424;
PA-SALVATERRA;169;
PA-SANTA BARBARA DO PARA;140;
PA-SANTA CRUZ DO ARARI;44;
PA-SANTA ISABEL DO PARA;2670;
PA-SANTA LUZIA DO PARA;204;
PA-SANTA MARIA DAS BARREIRAS;32;
PA-SANTA MARIA DO PARA;353;
PA-SANTANA DO ARAGUAIA;635;
PA-SANTAREM;11378;
PA-SANTAREM NOVO;1;
PA-SANTO ANTONIO DO TAUA;469;
PA-SAO CAETANO DE ODIVELAS;348;
PA-SAO DOMINGOS DO ARAGUAIA;2;
PA-SAO DOMINGOS DO CAPIM;472;
PA-SAO FELIX DO XINGU;443;
PA-SAO FRANCISCO DO PARA;331;
PA-SAO GERALDO DO ARAGUAIA;582;
PA-SAO JOAO DA PONTA;0;
PA-SAO JOAO DE PIRABAS;371;
PA-SAO JOAO DO ARAGUAIA;19;
PA-SAO MIGUEL DO GUAMA;1176;
PA-SAO SEBASTIAO DA BOA VISTA;19;
PA-SAPUCAIA;0;
PA-SENADOR JOSE PORFIRIO;16;
PA-SOURE;523;
PA-TAILANDIA;440;
PA-TERRA ALTA;0;
PA-TERRA SANTA;0;
PA-TOME-ACU;951;
PA-TRACUATEUA;0;
PA-TRAIRAO;0;
PA-TUCUMA;190;
PA-TUCURUI;2780;
PA-ULIANOPOLIS;227;
PA-URUARA;0;
PA-VIGIA;562;
PA-VISEU;296;
PA-VITORIA DO XINGU;0;
PA-XINGUARA;3477;
PA-IGNORADO;163;
AP-SERRA DO NAVIO;53;
AP-AMAPA;17;
AP-PEDRA BRANCA DO AMAPARI;0;
AP-CALCOENE;28;
AP-CUTIAS;0;
AP-FERREIRA GOMES;2;
AP-ITAUBAL;0;
AP-LARANJAL DO JARI;57;
AP-MACAPA;33766;
AP-MAZAGAO;210;
AP-OIAPOQUE;15;
AP-PORTO GRANDE;0;
AP-PRACUUBA;0;
AP-SANTANA;955;
AP-TARTARUGALZINHO;85;
AP-VITORIA DO JARI;0;
AP-IGNORADO;64;
TO-ABREULANDIA;0;
TO-AGUIARNOPOLIS;0;
TO-ALIANCA DO TOCANTINS;0;
TO-ALMAS;7;
TO-ALVORADA;343;
TO-ANANAS;27;
TO-ANGICO;0;
TO-APARECIDA DO RIO NEGRO;0;
TO-ARAGOMINAS;0;
TO-ARAGUACEMA;12;
TO-ARAGUACU;305;
TO-ARAGUAINA;6531;
TO-ARAGUANA;0;
TO-ARAGUATINS;163;
TO-ARAPOEMA;334;
TO-ARRAIAS;85;
TO-AUGUSTINOPOLIS;149;
TO-AURORA DO TOCANTINS;10;
TO-AXIXA DO TOCANTINS;17;
TO-BABACULANDIA;116;
TO-BANDEIRANTES DO TOCANTINS;0;
TO-BARRA DO OURO;0;
TO-BARROLANDIA;11;
TO-BERNARDO SAYAO;1;
TO-BOM JESUS DO TOCANTINS;0;
TO-BRASILANDIA DO TOCANTINS;0;
TO-BREJINHO DE NAZARE;121;
TO-BURITI DO TOCANTINS;6;
TO-CACHOEIRINHA;0;
TO-CAMPOS LINDOS;76;
TO-CARIRI DO TOCANTINS;0;
TO-CARMOLANDIA;0;
TO-CARRASCO BONITO;0;
TO-CASEARA;66;
TO-CENTENARIO;0;
TO-CHAPADA DE AREIA;0;
TO-CHAPADA DA NATIVIDADE;0;
TO-COLINAS DO TOCANTINS;644;
TO-COMBINADO;2;
TO-CONCEICAO DO TOCANTINS;2;
TO-COUTO DE MAGALHAES;75;
TO-CRISTALANDIA;314;
TO-CRIXAS DO TOCANTINS;0;
TO-DARCINOPOLIS;0;
TO-DIANOPOLIS;182;
TO-DIVINOPOLIS DO TOCANTINS;17;
TO-DOIS IRMAOS DO TOCANTINS;50;
TO-DUERE;113;
TO-ESPERANTINA;0;
TO-FATIMA;19;
TO-FIGUEIROPOLIS;201;
TO-FILADELFIA;12;
TO-FORMOSO DO ARAGUAIA;843;
TO-FORTALEZA DO TABOCAO;0;
TO-GOIANORTE;0;
TO-GOIATINS;168;
TO-GUARAI;704;
TO-GURUPI;4426;
TO-IPUEIRAS;0;
TO-ITACAJA;20;
TO-ITAGUATINS;8;
TO-ITAPIRATINS;0;
TO-ITAPORA DO TOCANTINS;16;
TO-JAU DO TOCANTINS;0;
TO-JUARINA;0;
TO-LAGOA DA CONFUSAO;0;
TO-LAGOA DO TOCANTINS;0;
TO-LAJEADO;0;
TO-LAVANDEIRA;0;
TO-LIZARDA;1;
TO-LUZINOPOLIS;0;
TO-MARIANOPOLIS DO TOCANTINS;2;
TO-MATEIROS;0;
TO-MAURILANDIA DO TOCANTINS;0;
TO-MIRACEMA DO TOCANTINS;2344;
TO-MIRANORTE;267;
TO-MONTE DO CARMO;54;
TO-MONTE SANTO DO TOCANTINS;0;
TO-PALMEIRAS DO TOCANTINS;0;
TO-MURICILANDIA;0;
TO-NATIVIDADE;112;
TO-NAZARE;321;
TO-NOVA OLINDA;76;
TO-NOVA ROSALANDIA;0;
TO-NOVO ACORDO;69;
TO-NOVO ALEGRE;0;
TO-NOVO JARDIM;0;
TO-OLIVEIRA DE FATIMA;0;
TO-PALMEIRANTE;0;
TO-PALMEIROPOLIS;193;
TO-PARAISO DO TOCANTINS;1583;
TO-PARANA;3;
TO-PAU D ARCO;0;
TO-PEDRO AFONSO;86;
TO-PEIXE;114;
TO-PEQUIZEIRO;65;
TO-COLMEIA;179;
TO-PINDORAMA DO TOCANTINS;3;
TO-PIRAQUE;0;
TO-PIUM;83;
TO-PONTE ALTA DO BOM JESUS;24;
TO-PONTE ALTA DO TOCANTINS;244;
TO-PORTO ALEGRE DO TOCANTINS;0;
TO-PORTO NACIONAL;1348;
TO-PRAIA NORTE;0;
TO-PRESIDENTE KENNEDY;141;
TO-PUGMIL;0;
TO-RECURSOLANDIA;0;
TO-RIACHINHO;0;
TO-RIO DA CONCEICAO;0;
TO-RIO DOS BOIS;0;
TO-RIO SONO;6;
TO-SAMPAIO;0;
TO-SANDOLANDIA;0;
TO-SANTA FE DO ARAGUAIA;17;
TO-SANTA MARIA DO TOCANTINS;0;
TO-SANTA RITA DO TOCANTINS;0;
TO-SANTA ROSA DO TOCANTINS;66;
TO-SANTA TEREZA DO TOCANTINS;0;
TO-SANTA TEREZINHA DO TOCANTINS;0;
TO-SAO BENTO DO TOCANTINS;0;
TO-SAO FELIX DO TOCANTINS;0;
TO-SAO MIGUEL DO TOCANTINS;0;
TO-SAO SALVADOR DO TOCANTINS;0;
TO-SAO SEBASTIAO DO TOCANTINS;157;
TO-SAO VALERIO DA NATIVIDADE;0;
TO-SILVANOPOLIS;103;
TO-SITIO NOVO DO TOCANTINS;178;
TO-SUCUPIRA;0;
TO-TAGUATINGA;72;
TO-TAIPAS DO TOCANTINS;0;
TO-TALISMA;0;
TO-PALMAS;35552;
TO-TOCANTINIA;22;
TO-TOCANTINOPOLIS;338;
TO-TUPIRAMA;0;
TO-TUPIRATINS;0;
TO-WANDERLANDIA;207;
TO-XAMBIOA;143;
TO-IGNORADO;92;
MA-ACAILANDIA;4520;
MA-AFONSO CUNHA;2;
MA-AGUA DOCE DO MARANHAO;0;
MA-ALCANTARA;194;
MA-ALDEIAS ALTAS;221;
MA-ALTAMIRA DO MARANHAO;44;
MA-ALTO ALEGRE DO MARANHAO;0;
MA-ALTO ALEGRE DO PINDARE;0;
MA-ALTO PARNAIBA;39;
MA-AMAPA DO MARANHAO;0;
MA-AMARANTE DO MARANHAO;62;
MA-ANAJATUBA;19;
MA-ANAPURUS;2;
MA-APICUM-ACU;0;
MA-ARAGUANA;0;
MA-ARAIOSES;49;
MA-ARAME;93;
MA-ARARI;21;
MA-AXIXA;11;
MA-BACABAL;3102;
MA-BACABEIRA;0;
MA-BACURI;8;
MA-BACURITUBA;0;
MA-BALSAS;1317;
MA-BARAO DE GRAJAU;449;
MA-BARRA DO CORDA;1393;
MA-BARREIRINHAS;717;
MA-BELAGUA;0;
MA-BELA VISTA DO MARANHAO;0;
MA-BENEDITO LEITE;20;
MA-BEQUIMAO;549;
MA-BERNARDO DO MEARIM;0;
MA-BOA VISTA DO GURUPI;0;
MA-BOM JARDIM;111;
MA-BOM JESUS DAS SELVAS;0;
MA-BOM LUGAR;0;
MA-BREJO;661;
MA-BREJO DE AREIA;0;
MA-BURITI;20;
MA-BURITI BRAVO;52;
MA-BURITICUPU;0;
MA-BURITIRANA;0;
MA-CACHOEIRA GRANDE;0;
MA-CAJAPIO;332;
MA-CAJARI;4;
MA-CAMPESTRE DO MARANHAO;0;
MA-CANDIDO MENDES;144;
MA-CANTANHEDE;43;
MA-CAPINZAL DO NORTE;0;
MA-CAROLINA;1170;
MA-CARUTAPERA;61;
MA-CAXIAS;4606;
MA-CEDRAL;4;
MA-CENTRAL DO MARANHAO;0;
MA-CENTRO DO GUILHERME;0;
MA-CENTRO NOVO DO MARANHAO;0;
MA-CHAPADINHA;2002;
MA-CIDELANDIA;0;
MA-CODO;2677;
MA-COELHO NETO;2290;
MA-COLINAS;0;
MA-CONCEICAO DO LAGO-ACU;0;
MA-COROATA;1036;
MA-CURURUPU;99;
MA-DAVINOPOLIS;0;
MA-DOM PEDRO;210;
MA-DUQUE BACELAR;260;
MA-ESPERANTINOPOLIS;24;
MA-ESTREITO;68;
MA-FEIRA NOVA DO MARANHAO;0;
MA-FERNANDO FALCAO;0;
MA-FORMOSA DA SERRA NEGRA;0;
MA-FORTALEZA DOS NOGUEIRAS;216;
MA-FORTUNA;54;
MA-GODOFREDO VIANA;74;
