Município;Total;
MA-GONCALVES DIAS;16;
MA-GOVERNADOR ARCHER;13;
MA-GOVERNADOR EDISON LOBAO;0;
MA-GOVERNADOR EUGENIO BARROS;238;
MA-GOVERNADOR LUIZ ROCHA;0;
MA-GOVERNADOR NEWTON BELLO;0;
MA-GOVERNADOR NUNES FREIRE;0;
MA-GRACA ARANHA;2;
MA-GRAJAU;314;
MA-GUIMARAES;25;
MA-HUMBERTO DE CAMPOS;67;
MA-ICATU;1;
MA-IGARAPE DO MEIO;0;
MA-IGARAPE GRANDE;351;
MA-IMPERATRIZ;13219;
MA-ITAIPAVA DO GRAJAU;0;
MA-ITAPECURU MIRIM;1506;
MA-ITINGA DO MARANHAO;0;
MA-JATOBA;0;
MA-JENIPAPO DOS VIEIRAS;0;
MA-JOAO LISBOA;438;
MA-JOSELANDIA;59;
MA-JUNCO DO MARANHAO;0;
MA-LAGO DA PEDRA;326;
MA-LAGO DO JUNCO;165;
MA-LAGO VERDE;16;
MA-LAGOA DO MATO;0;
MA-LAGO DOS RODRIGUES;0;
MA-LAGOA GRANDE DO MARANHAO;0;
MA-LAJEADO NOVO;0;
MA-LIMA CAMPOS;221;
MA-LORETO;137;
MA-LUIS DOMINGUES;1;
MA-MAGALHAES DE ALMEIDA;236;
MA-MARACACUME;0;
MA-MARAJA DO SENA;0;
MA-MARANHAOZINHO;0;
MA-MATA ROMA;51;
MA-MATINHA;885;
MA-MATOES;302;
MA-MATOES DO NORTE;0;
MA-MILAGRES DO MARANHAO;0;
MA-MIRADOR;13;
MA-MIRANDA DO NORTE;2;
MA-MIRINZAL;7;
MA-MONCAO;175;
MA-MONTES ALTOS;125;
MA-MORROS;173;
MA-NINA RODRIGUES;285;
MA-NOVA COLINAS;0;
MA-NOVA IORQUE;3;
MA-NOVA OLINDA DO MARANHAO;0;
MA-OLHO D AGUA DAS CUNHAS;320;
MA-OLINDA NOVA DO MARANHAO;0;
MA-PACO DO LUMIAR;1513;
MA-PALMEIRANDIA;3;
MA-PARAIBANO;244;
MA-PARNARAMA;482;
MA-PASSAGEM FRANCA;26;
MA-PASTOS BONS;223;
MA-PAULINO NEVES;0;
MA-PAULO RAMOS;68;
MA-PEDREIRAS;1782;
MA-PEDRO DO ROSARIO;0;
MA-PENALVA;34;
MA-PERI MIRIM;44;
MA-PERITORO;0;
MA-PINDARE MIRIM;121;
MA-PINHEIRO;2114;
MA-PIO XII;554;
MA-PIRAPEMAS;2;
MA-POCAO DE PEDRAS;479;
MA-PORTO FRANCO;781;
MA-PORTO RICO DO MARANHAO;0;
MA-PRESIDENTE DUTRA;485;
MA-PRESIDENTE JUSCELINO;2;
MA-PRESIDENTE MEDICI;0;
MA-PRESIDENTE SARNEY;0;
MA-PRESIDENTE VARGAS;5;
MA-PRIMEIRA CRUZ;36;
MA-RAPOSA;0;
MA-RIACHAO;30;
MA-RIBAMAR FIQUENE;0;
MA-ROSARIO;799;
MA-SAMBAIBA;0;
MA-SANTA FILOMENA DO MARANHAO;0;
MA-SANTA HELENA;0;
MA-SANTA INES;2014;
MA-SANTA LUZIA;593;
MA-SANTA LUZIA DO PARUA;23;
MA-SANTA QUITERIA DO MARANHAO;356;
MA-SANTA RITA;118;
MA-SANTANA DO MARANHAO;0;
MA-SANTO AMARO DO MARANHAO;0;
MA-SANTO ANTONIO DOS LOPES;308;
MA-SAO BENEDITO DO RIO PRETO;371;
MA-SAO BENTO;116;
MA-SAO BERNARDO;235;
MA-SAO DOMINGOS DO AZEITAO;0;
MA-SAO DOMINGOS DO MARANHAO;474;
MA-SAO FELIX DE BALSAS;2;
MA-SAO FRANCISCO DO BREJAO;0;
MA-SAO FRANCISCO DO MARANHAO;167;
MA-SAO JOAO BATISTA;8;
MA-SAO JOAO DO CARU;0;
MA-SAO JOAO DO PARAISO;0;
MA-SAO JOAO DO SOTER;0;
MA-SAO JOAO DOS PATOS;626;
MA-SAO JOSE DE RIBAMAR;1798;
MA-SAO JOSE DOS BASILIOS;0;
MA-SAO LUIS;155757;
MA-SAO LUIS GONZAGA DO MARANHAO;483;
MA-SAO MATEUS DO MARANHAO;894;
MA-SAO PEDRO DA AGUA BRANCA;0;
MA-SAO PEDRO DOS CRENTES;0;
MA-SAO RAIMUNDO DAS MANGABEIRAS;142;
MA-SAO RAIMUNDO DO DOCA BEZERRA;0;
MA-SAO ROBERTO;0;
MA-SAO VICENTE FERRER;2;
MA-SATUBINHA;0;
MA-SENADOR ALEXANDRE COSTA;0;
MA-SENADOR LA ROCQUE;0;
MA-SERRANO DO MARANHAO;0;
MA-SITIO NOVO;29;
MA-SUCUPIRA DO NORTE;3;
MA-SUCUPIRA DO RIACHAO;0;
MA-TASSO FRAGOSO;128;
MA-TIMBIRAS;410;
MA-TIMON;1267;
MA-TRIZIDELA DO VALE;0;
MA-TUFILANDIA;0;
MA-TUNTUM;186;
MA-TURIACU;265;
MA-TURILANDIA;0;
MA-TUTOIA;2270;
MA-URBANO SANTOS;82;
MA-VARGEM GRANDE;563;
MA-VIANA;390;
MA-VILA NOVA DOS MARTIRIOS;0;
MA-VITORIA DO MEARIM;115;
MA-VITORINO FREIRE;141;
MA-ZE DOCA;93;
MA-IGNORADO;561;
PI-ACAUA;0;
PI-AGRICOLANDIA;277;
PI-AGUA BRANCA;478;
PI-ALAGOINHA DO PIAUI;0;
PI-ALEGRETE DO PIAUI;4;
PI-ALTO LONGA;686;
PI-ALTOS;757;
PI-ALVORADA DO GURGUEIA;0;
PI-AMARANTE;303;
PI-ANGICAL DO PIAUI;329;
PI-ANISIO DE ABREU;11;
PI-ANTONIO ALMEIDA;126;
PI-AROAZES;345;
PI-AROEIRAS DO ITAIM;0;
PI-ARRAIAL;146;
PI-ASSUNCAO DO PIAUI;0;
PI-AVELINO LOPES;16;
PI-BAIXA GRANDE DO RIBEIRO;0;
PI-BARRA D ALCANTARA;0;
PI-BARRAS;695;
PI-BARREIRAS DO PIAUI;4;
PI-BARRO DURO;216;
PI-BATALHA;278;
PI-BELA VISTA DO PIAUI;0;
PI-BELEM DO PIAUI;0;
PI-BENEDITINOS;219;
PI-BERTOLINIA;24;
PI-BETANIA DO PIAUI;0;
PI-BOA HORA;0;
PI-BOCAINA;71;
PI-BOM JESUS;198;
PI-BOM PRINCIPIO DO PIAUI;64;
PI-BONFIM DO PIAUI;10;
PI-BOQUEIRAO DO PIAUI;0;
PI-BRASILEIRA;0;
PI-BREJO DO PIAUI;0;
PI-BURITI DOS LOPES;358;
PI-BURITI DOS MONTES;20;
PI-CABECEIRAS DO PIAUI;59;
PI-CAJAZEIRAS DO PIAUI;0;
PI-CAJUEIRO DA PRAIA;0;
PI-CALDEIRAO GRANDE DO PIAUI;33;
PI-CAMPINAS DO PIAUI;164;
PI-CAMPO ALEGRE DO FIDALGO;0;
PI-CAMPO GRANDE DO PIAUI;0;
PI-CAMPO LARGO DO PIAUI;0;
PI-CAMPO MAIOR;1418;
PI-CANAVIEIRA;0;
PI-CANTO DO BURITI;219;
PI-CAPITAO DE CAMPOS;129;
PI-CAPITAO GERVASIO OLIVEIRA;0;
PI-CARACOL;4;
PI-CARAUBAS DO PIAUI;0;
PI-CARIDADE DO PIAUI;0;
PI-CASTELO DO PIAUI;125;
PI-CAXINGO;0;
PI-COCAL;351;
PI-COCAL DE TELHA;0;
PI-COCAL DOS ALVES;0;
PI-COIVARAS;0;
PI-COLONIA DO GURGUEIA;24;
PI-COLONIA DO PIAUI;0;
PI-CONCEICAO DO CANINDE;57;
PI-CORONEL JOSE DIAS;0;
PI-CORRENTE;191;
PI-CRISTALANDIA DO PIAUI;3;
PI-CRISTINO CASTRO;73;
PI-CURIMATA;139;
PI-CURRAIS;0;
PI-CURRALINHOS;0;
PI-CURRAL NOVO DO PIAUI;0;
PI-DEMERVAL LOBAO;357;
PI-DIRCEU ARCOVERDE;19;
PI-DOM EXPEDITO LOPES;167;
PI-DOMINGOS MOURAO;2;
PI-DOM INOCENCIO;0;
PI-ELESBAO VELOSO;235;
PI-ELISEU MARTINS;69;
PI-ESPERANTINA;432;
PI-FARTURA DO PIAUI;0;
PI-FLORES DO PIAUI;38;
PI-FLORESTA DO PIAUI;0;
PI-FLORIANO;2742;
PI-FRANCINOPOLIS;224;
PI-FRANCISCO AYRES;78;
PI-FRANCISCO MACEDO;0;
PI-FRANCISCO SANTOS;111;
PI-FRONTEIRAS;133;
PI-GEMINIANO;0;
PI-GILBUES;32;
PI-GUADALUPE;346;
PI-GUARIBAS;0;
PI-HUGO NAPOLEAO;172;
PI-ILHA GRANDE;0;
PI-INHUMA;139;
PI-IPIRANGA DO PIAUI;105;
PI-ISAIAS COELHO;73;
PI-ITAINOPOLIS;97;
PI-ITAUEIRA;247;
PI-JACOBINA DO PIAUI;20;
PI-JAICOS;57;
PI-JARDIM DO MULATO;74;
PI-JATOBA DO PIAUI;0;
PI-JERUMENHA;189;
PI-JOAO COSTA;0;
PI-JOAQUIM PIRES;4;
PI-JOCA MARQUES;0;
PI-JOSE DE FREITAS;248;
PI-JUAZEIRO DO PIAUI;0;
PI-JULIO BORGES;0;
PI-JUREMA;0;
PI-LAGOINHA DO PIAUI;0;
PI-LAGOA ALEGRE;0;
PI-LAGOA DO BARRO DO PIAUI;25;
PI-LAGOA DE SAO FRANCISCO;0;
PI-LAGOA DO PIAUI;0;
PI-LAGOA DO SITIO;0;
PI-LANDRI SALES;196;
PI-LUIS CORREIA;1927;
PI-LUZILANDIA;185;
PI-MADEIRO;0;
PI-MANOEL EMIDIO;248;
PI-MARCOLANDIA;0;
PI-MARCOS PARENTE;50;
PI-MASSAPE DO PIAUI;0;
PI-MATIAS OLIMPIO;4;
PI-MIGUEL ALVES;434;
PI-MIGUEL LEAO;46;
PI-MILTON BRANDAO;0;
PI-MONSENHOR GIL;276;
PI-MONSENHOR HIPOLITO;54;
PI-MONTE ALEGRE DO PIAUI;64;
PI-MORRO CABECA NO TEMPO;0;
PI-MORRO DO CHAPEU DO PIAUI;0;
PI-MURICI DOS PORTELAS;0;
PI-NAZARE DO PIAUI;112;
PI-NAZARIA;0;
PI-NOSSA SENHORA DE NAZARE;0;
PI-NOSSA SENHORA DOS REMEDIOS;100;
