Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;2624;
RO-CABIXI;0;
RO-CACOAL;3930;
RO-CEREJEIRAS;32;
RO-COLORADO DO OESTE;635;
RO-CORUMBIARA;0;
RO-COSTA MARQUES;93;
RO-ESPIGAO D OESTE;110;
RO-GUAJARA-MIRIM;1306;
RO-JARU;960;
RO-JI-PARANA;6046;
RO-MACHADINHO D OESTE;0;
RO-NOVA BRASILANDIA D OESTE;0;
RO-OURO PRETO DO OESTE;650;
RO-PIMENTA BUENO;1483;
RO-PORTO VELHO;25290;
RO-PRESIDENTE MEDICI;364;
RO-RIO CRESPO;0;
RO-ROLIM DE MOURA;29;
RO-SANTA LUZIA D OESTE;0;
RO-VILHENA;3747;
RO-SAO MIGUEL DO GUAPORE;0;
RO-NOVA MAMORE;0;
RO-ALVORADA D OESTE;0;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;0;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;0;
RO-CACAULANDIA;0;
RO-CAMPO NOVO DE RONDONIA;0;
RO-CANDEIAS DO JAMARI;0;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;0;
RO-ITAPUA DO OESTE;0;
RO-MINISTRO ANDREAZZA;0;
RO-MIRANTE DA SERRA;0;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;0;
RO-URUPA;0;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;0;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;16;
AC-BRASILEIA;285;
AC-BUJARI;0;
AC-CAPIXABA;0;
AC-CRUZEIRO DO SUL;1171;
AC-EPITACIOLANDIA;0;
AC-FEIJO;197;
AC-JORDAO;0;
AC-MANCIO LIMA;12;
AC-MANOEL URBANO;14;
