Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;3018;
RO-CABIXI;0;
RO-CACOAL;4460;
RO-CEREJEIRAS;140;
RO-COLORADO DO OESTE;531;
RO-CORUMBIARA;0;
RO-COSTA MARQUES;133;
RO-ESPIGAO D OESTE;594;
RO-GUAJARA-MIRIM;1470;
RO-JARU;1613;
RO-JI-PARANA;8088;
RO-MACHADINHO D OESTE;0;
RO-NOVA BRASILANDIA D OESTE;0;
RO-OURO PRETO DO OESTE;1044;
RO-PIMENTA BUENO;1952;
RO-PORTO VELHO;81513;
RO-PRESIDENTE MEDICI;518;
RO-RIO CRESPO;0;
RO-ROLIM DE MOURA;581;
RO-SANTA LUZIA D OESTE;0;
RO-VILHENA;4277;
RO-SAO MIGUEL DO GUAPORE;0;
RO-NOVA MAMORE;0;
RO-ALVORADA D OESTE;0;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;0;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;0;
RO-CACAULANDIA;0;
RO-CAMPO NOVO DE RONDONIA;0;
RO-CANDEIAS DO JAMARI;0;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;0;
RO-ITAPUA DO OESTE;0;
RO-MINISTRO ANDREAZZA;0;
RO-MIRANTE DA SERRA;0;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;0;
RO-URUPA;0;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;0;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;9;
AC-BRASILEIA;337;
AC-BUJARI;0;
AC-CAPIXABA;0;
AC-CRUZEIRO DO SUL;1337;
AC-EPITACIOLANDIA;0;
AC-FEIJO;330;
AC-JORDAO;0;
AC-MANCIO LIMA;13;
AC-MANOEL URBANO;14;
AC-MARECHAL THAUMATURGO;0;
AC-PLACIDO DE CASTRO;45;
AC-PORTO WALTER;0;
AC-RIO BRANCO;41892;
AC-RODRIGUES ALVES;0;
AC-SANTA ROSA DO PURUS;0;
AC-SENADOR GUIOMARD;209;
AC-SENA MADUREIRA;320;
AC-TARAUACA;85;
AC-XAPURI;118;
AC-PORTO ACRE;0;
AC-IGNORADO;0;
AM-ALVARAES;1;
AM-AMATURA;1;
AM-ANAMA;1;
AM-ANORI;226;
AM-APUI;0;
AM-ATALAIA DO NORTE;20;
AM-AUTAZES;2;
AM-BARCELOS;2;
AM-BARREIRINHA;448;
AM-BENJAMIN CONSTANT;946;
AM-BERURI;1;
AM-BOA VISTA DO RAMOS;1;
AM-BOCA DO ACRE;530;
AM-BORBA;449;
AM-CAAPIRANGA;1;
AM-CANUTAMA;4;
AM-CARAUARI;446;
AM-CAREIRO;136;
AM-CAREIRO DA VARZEA;0;
AM-COARI;899;
AM-CODAJAS;369;
AM-EIRUNEPE;505;
AM-ENVIRA;4;
AM-FONTE BOA;235;
AM-GUAJARA;0;
AM-HUMAITA;892;
AM-IPIXUNA;110;
AM-IRANDUBA;47;
AM-ITACOATIARA;4672;
AM-ITAMARATI;0;
AM-ITAPIRANGA;1;
AM-JAPURA;3;
AM-JURUA;5;
AM-JUTAI;1;
AM-LABREA;503;
AM-MANACAPURU;1498;
AM-MANAQUIRI;1;
AM-MANAUS;225984;
AM-MANICORE;754;
AM-MARAA;1;
AM-MAUES;488;
AM-NHAMUNDA;4;
AM-NOVA OLINDA DO NORTE;446;
AM-NOVO AIRAO;1194;
AM-NOVO ARIPUANA;33;
AM-PARINTINS;2891;
AM-PAUINI;32;
AM-PRESIDENTE FIGUEIREDO;1022;
AM-RIO PRETO DA EVA;13;
AM-SANTA ISABEL DO RIO NEGRO;0;
AM-SANTO ANTONIO DO ICA;145;
AM-SAO GABRIEL DA CACHOEIRA;459;
AM-SAO PAULO DE OLIVENCA;210;
AM-SAO SEBASTIAO DO UATUMA;1;
AM-SILVES;382;
AM-TABATINGA;152;
AM-TAPAUA;2;
AM-TEFE;1603;
AM-TONANTINS;0;
AM-UARINI;1;
AM-URUCARA;288;
AM-URUCURITUBA;151;
AM-IGNORADO;0;
RR-AMAJARI;0;
RR-ALTO ALEGRE;85;
RR-BOA VISTA;15259;
RR-BONFIM;20;
RR-CANTA;0;
RR-CARACARAI;206;
RR-CAROEBE;0;
RR-IRACEMA;0;
RR-MUCAJAI;13;
RR-NORMANDIA;1;
RR-PACARAIMA;0;
RR-RORAINOPOLIS;0;
RR-SAO JOAO DA BALIZA;3;
RR-SAO LUIZ;5;
RR-UIRAMUTA;0;
RR-IGNORADO;0;
PA-ABAETETUBA;3088;
PA-ABEL FIGUEIREDO;0;
PA-ACARA;1439;
PA-AFUA;219;
PA-AGUA AZUL DO NORTE;0;
PA-ALENQUER;622;
PA-ALMEIRIM;7299;
PA-ALTAMIRA;3011;
PA-ANAJAS;15;
PA-ANANINDEUA;21119;
PA-ANAPU;0;
PA-AUGUSTO CORREA;256;
PA-AURORA DO PARA;0;
PA-AVEIRO;230;
PA-BAGRE;3;
PA-BAIAO;1;
PA-BANNACH;0;
PA-BARCARENA;7124;
PA-BELEM;257006;
PA-BELTERRA;0;
PA-BENEVIDES;2307;
PA-BOM JESUS DO TOCANTINS;0;
PA-BONITO;0;
PA-BRAGANCA;1536;
PA-BRASIL NOVO;0;
PA-BREJO GRANDE DO ARAGUAIA;0;
PA-BREU BRANCO;0;
PA-BREVES;2239;
PA-BUJARU;309;
PA-CACHOEIRA DO PIRIA;0;
PA-CACHOEIRA DO ARARI;219;
PA-CAMETA;954;
PA-CANAA DOS CARAJAS;0;
PA-CAPANEMA;3865;
PA-CAPITAO POCO;510;
PA-CASTANHAL;8449;
PA-CHAVES;3;
PA-COLARES;7;
PA-CONCEICAO DO ARAGUAIA;3306;
PA-CONCORDIA DO PARA;0;
PA-CUMARU DO NORTE;0;
PA-CURIONOPOLIS;0;
PA-CURRALINHO;74;
PA-CURUA;0;
PA-CURUCA;307;
PA-DOM ELISEU;0;
PA-ELDORADO DOS CARAJAS;0;
PA-FARO;163;
PA-FLORESTA DO ARAGUAIA;0;
PA-GARRAFAO DO NORTE;0;
PA-GOIANESIA DO PARA;0;
PA-GURUPA;3;
PA-IGARAPE-ACU;360;
PA-IGARAPE-MIRI;413;
PA-INHANGAPI;94;
PA-IPIXUNA DO PARA;0;
PA-IRITUIA;1275;
PA-ITAITUBA;2390;
PA-ITUPIRANGA;63;
PA-JACAREACANGA;0;
PA-JACUNDA;87;
PA-JURUTI;85;
PA-LIMOEIRO DO AJURU;2;
PA-MAE DO RIO;0;
PA-MAGALHAES BARATA;191;
PA-MARABA;9819;
PA-MARACANA;268;
PA-MARAPANIM;290;
PA-MARITUBA;0;
PA-MEDICILANDIA;0;
PA-MELGACO;1;
PA-MOCAJUBA;23;
PA-MOJU;1462;
PA-MONTE ALEGRE;570;
PA-MUANA;98;
PA-NOVA ESPERANCA DO PIRIA;0;
PA-NOVA IPIXUNA;0;
PA-NOVA TIMBOTEUA;192;
PA-NOVO PROGRESSO;0;
PA-NOVO REPARTIMENTO;0;
PA-OBIDOS;952;
PA-OEIRAS DO PARA;5;
PA-ORIXIMINA;2518;
PA-OUREM;284;
PA-OURILANDIA DO NORTE;0;
PA-PACAJA;0;
PA-PALESTINA DO PARA;0;
PA-PARAGOMINAS;5272;
PA-PARAUAPEBAS;0;
PA-PAU D ARCO;0;
PA-PEIXE-BOI;177;
PA-PICARRA;0;
PA-PLACAS;0;
PA-PONTA DE PEDRAS;191;
PA-PORTEL;571;
PA-PORTO DE MOZ;58;
PA-PRAINHA;598;
PA-PRIMAVERA;380;
PA-QUATIPURU;0;
PA-REDENCAO;1308;
PA-RIO MARIA;218;
PA-RONDON DO PARA;506;
PA-RUROPOLIS;0;
PA-SALINOPOLIS;354;
PA-SALVATERRA;189;
PA-SANTA BARBARA DO PARA;0;
PA-SANTA CRUZ DO ARARI;4;
PA-SANTA ISABEL DO PARA;2112;
PA-SANTA LUZIA DO PARA;0;
PA-SANTA MARIA DAS BARREIRAS;0;
PA-SANTA MARIA DO PARA;410;
PA-SANTANA DO ARAGUAIA;1433;
PA-SANTAREM;15853;
PA-SANTAREM NOVO;1;
PA-SANTO ANTONIO DO TAUA;201;
PA-SAO CAETANO DE ODIVELAS;144;
PA-SAO DOMINGOS DO ARAGUAIA;0;
PA-SAO DOMINGOS DO CAPIM;291;
PA-SAO FELIX DO XINGU;1080;
PA-SAO FRANCISCO DO PARA;515;
PA-SAO GERALDO DO ARAGUAIA;0;
PA-SAO JOAO DA PONTA;0;
PA-SAO JOAO DE PIRABAS;0;
PA-SAO JOAO DO ARAGUAIA;80;
PA-SAO MIGUEL DO GUAMA;989;
PA-SAO SEBASTIAO DA BOA VISTA;18;
PA-SAPUCAIA;0;
PA-SENADOR JOSE PORFIRIO;299;
PA-SOURE;405;
PA-TAILANDIA;0;
PA-TERRA ALTA;0;
PA-TERRA SANTA;0;
PA-TOME-ACU;1028;
PA-TRACUATEUA;0;
PA-TRAIRAO;0;
PA-TUCUMA;0;
PA-TUCURUI;9586;
PA-ULIANOPOLIS;0;
PA-URUARA;0;
PA-VIGIA;384;
PA-VISEU;279;
PA-VITORIA DO XINGU;0;
PA-XINGUARA;308;
PA-IGNORADO;1;
AP-SERRA DO NAVIO;0;
AP-AMAPA;141;
AP-PEDRA BRANCA DO AMAPARI;0;
AP-CALCOENE;52;
AP-CUTIAS;0;
AP-FERREIRA GOMES;0;
AP-ITAUBAL;0;
AP-LARANJAL DO JARI;0;
AP-MACAPA;27956;
AP-MAZAGAO;40;
AP-OIAPOQUE;19;
AP-PORTO GRANDE;0;
AP-PRACUUBA;0;
AP-SANTANA;0;
AP-TARTARUGALZINHO;0;
AP-VITORIA DO JARI;0;
AP-IGNORADO;0;
TO-ABREULANDIA;0;
TO-AGUIARNOPOLIS;0;
TO-ALIANCA DO TOCANTINS;0;
TO-ALMAS;0;
TO-ALVORADA;0;
TO-ANANAS;0;
TO-ANGICO;0;
TO-APARECIDA DO RIO NEGRO;0;
TO-ARAGOMINAS;0;
TO-ARAGUACEMA;0;
TO-ARAGUACU;0;
TO-ARAGUAINA;0;
TO-ARAGUANA;0;
TO-ARAGUATINS;0;
TO-ARAPOEMA;0;
TO-ARRAIAS;0;
TO-AUGUSTINOPOLIS;0;
TO-AURORA DO TOCANTINS;0;
TO-AXIXA DO TOCANTINS;0;
TO-BABACULANDIA;0;
TO-BANDEIRANTES DO TOCANTINS;0;
TO-BARRA DO OURO;0;
TO-BARROLANDIA;0;
TO-BERNARDO SAYAO;0;
TO-BOM JESUS DO TOCANTINS;0;
