Município;Total
RO-ALTA FLORESTA D OESTE;965
RO-ARIQUEMES;6374
RO-CABIXI;261
RO-CACOAL;6288
RO-CEREJEIRAS;1015
RO-COLORADO DO OESTE;936
RO-CORUMBIARA;308
RO-COSTA MARQUES;313
RO-ESPIGAO D OESTE;1417
RO-GUAJARA-MIRIM;1690
RO-JARU;3485
RO-JI-PARANA;11731
RO-MACHADINHO D OESTE;663
RO-NOVA BRASILANDIA D OESTE;549
RO-OURO PRETO DO OESTE;2379
RO-PIMENTA BUENO;3249
RO-PORTO VELHO;83415
RO-PRESIDENTE MEDICI;988
RO-RIO CRESPO;131
RO-ROLIM DE MOURA;3113
RO-SANTA LUZIA D OESTE;418
RO-VILHENA;6255
RO-SAO MIGUEL DO GUAPORE;613
RO-NOVA MAMORE;469
RO-ALVORADA D OESTE;748
RO-ALTO ALEGRE DOS PARECIS;163
RO-ALTO PARAISO;223
RO-BURITIS;457
RO-NOVO HORIZONTE DO OESTE;219
RO-CACAULANDIA;178
RO-CAMPO NOVO DE RONDONIA;251
RO-CANDEIAS DO JAMARI;291
RO-CASTANHEIRAS;139
RO-CHUPINGUAIA;434
RO-CUJUBIM;249
RO-GOVERNADOR JORGE TEIXEIRA;244
RO-ITAPUA DO OESTE;361
RO-MINISTRO ANDREAZZA;261
RO-MIRANTE DA SERRA;471
RO-MONTE NEGRO;501
RO-NOVA UNIAO;130
RO-PARECIS;126
RO-PIMENTEIRAS DO OESTE;104
RO-PRIMAVERA DA RONDONIA;92
RO-SAO FELIPE D OESTE;98
RO-SAO FRANCISCO DO GUAPORE;340
RO-SERINGUEIRAS;269
RO-TEIXEIROPOLIS;46
RO-THEOBROMA;242
RO-URUPA;384
RO-VALE DO ANARI;198
RO-VALE DO PARAISO;216
RO-IGNORADO;0
AC-ACRELANDIA;172
AC-ASSIS BRASIL;98
AC-BRASILEIA;372
AC-BUJARI;234
AC-CAPIXABA;95
AC-CRUZEIRO DO SUL;2051
AC-EPITACIOLANDIA;206
AC-FEIJO;67
AC-JORDAO;72
AC-MANCIO LIMA;186
AC-MANOEL URBANO;65
AC-MARECHAL THAUMATURGO;5
AC-PLACIDO DE CASTRO;368
AC-PORTO WALTER;94
AC-RIO BRANCO;51851
AC-RODRIGUES ALVES;146
AC-SANTA ROSA DO PURUS;1
AC-SENADOR GUIOMARD;438
AC-SENA MADUREIRA;604
AC-TARAUACA;533
AC-XAPURI;412
AC-PORTO ACRE;4
AC-IGNORADO;0
AM-ALVARAES;100
AM-AMATURA;123
AM-ANAMA;1
AM-ANORI;2
AM-APUI;213
AM-ATALAIA DO NORTE;15
AM-AUTAZES;92
AM-BARCELOS;6
AM-BARREIRINHA;166
AM-BENJAMIN CONSTANT;352
AM-BERURI;1
AM-BOA VISTA DO RAMOS;143
AM-BOCA DO ACRE;304
AM-BORBA;148
AM-CAAPIRANGA;253
AM-CANUTAMA;4
AM-CARAUARI;368
AM-CAREIRO;328
AM-CAREIRO DA VARZEA;6
AM-COARI;1616
AM-CODAJAS;9
AM-EIRUNEPE;248
AM-ENVIRA;44
AM-FONTE BOA;76
AM-GUAJARA;31
AM-HUMAITA;1207
AM-IPIXUNA;118
AM-IRANDUBA;765
AM-ITACOATIARA;4406
AM-ITAMARATI;83
AM-ITAPIRANGA;3
AM-JAPURA;1
AM-JURUA;1
AM-JUTAI;501
AM-LABREA;215
AM-MANACAPURU;798
AM-MANAQUIRI;21
AM-MANAUS;210670
AM-MANICORE;380
AM-MARAA;1
AM-MAUES;931
AM-NHAMUNDA;271
AM-NOVA OLINDA DO NORTE;363
AM-NOVO AIRAO;18
AM-NOVO ARIPUANA;22
AM-PARINTINS;1435
AM-PAUINI;5
AM-PRESIDENTE FIGUEIREDO;2352
AM-RIO PRETO DA EVA;348
AM-SANTA ISABEL DO RIO NEGRO;2
AM-SANTO ANTONIO DO ICA;76
AM-SAO GABRIEL DA CACHOEIRA;617
AM-SAO PAULO DE OLIVENCA;38
AM-SAO SEBASTIAO DO UATUMA;6
AM-SILVES;30
AM-TABATINGA;472
AM-TAPAUA;185
AM-TEFE;1082
AM-TONANTINS;1
AM-UARINI;1
AM-URUCARA;482
AM-URUCURITUBA;409
AM-IGNORADO;0
RR-AMAJARI;1
RR-ALTO ALEGRE;18
RR-BOA VISTA;23977
RR-BONFIM;24
RR-CANTA;57
RR-CARACARAI;385
RR-CAROEBE;4
RR-IRACEMA;2
RR-MUCAJAI;65
RR-NORMANDIA;1
RR-PACARAIMA;27
RR-RORAINOPOLIS;14
RR-SAO JOAO DA BALIZA;7
RR-SAO LUIZ;25
RR-UIRAMUTA;0
RR-IGNORADO;0
PA-ABAETETUBA;2077
PA-ABEL FIGUEIREDO;158
PA-ACARA;559
PA-AFUA;391
PA-AGUA AZUL DO NORTE;211
PA-ALENQUER;551
PA-ALMEIRIM;5322
PA-ALTAMIRA;5177
PA-ANAJAS;34
PA-ANANINDEUA;22508
PA-ANAPU;0
PA-AUGUSTO CORREA;326
PA-AURORA DO PARA;452
PA-AVEIRO;131
PA-BAGRE;11
PA-BAIAO;136
PA-BANNACH;9
PA-BARCARENA;5261
PA-BELEM;257862
PA-BELTERRA;317
PA-BENEVIDES;1598
