Município;Total
RO-ALTA FLORESTA D OESTE;1185
RO-ARIQUEMES;7930
RO-CABIXI;331
RO-CACOAL;7570
RO-CEREJEIRAS;1086
RO-COLORADO DO OESTE;1271
RO-CORUMBIARA;385
RO-COSTA MARQUES;151
RO-ESPIGAO D OESTE;1947
RO-GUAJARA-MIRIM;2120
RO-JARU;4812
RO-JI-PARANA;14094
RO-MACHADINHO D OESTE;1064
RO-NOVA BRASILANDIA D OESTE;773
RO-OURO PRETO DO OESTE;2960
RO-PIMENTA BUENO;3962
RO-PORTO VELHO;72179
RO-PRESIDENTE MEDICI;1023
RO-RIO CRESPO;181
RO-ROLIM DE MOURA;4517
RO-SANTA LUZIA D OESTE;577
RO-VILHENA;7547
RO-SAO MIGUEL DO GUAPORE;802
RO-NOVA MAMORE;683
RO-ALVORADA D OESTE;1249
RO-ALTO ALEGRE DOS PARECIS;344
RO-ALTO PARAISO;440
RO-BURITIS;1188
RO-NOVO HORIZONTE DO OESTE;279
RO-CACAULANDIA;171
RO-CAMPO NOVO DE RONDONIA;176
RO-CANDEIAS DO JAMARI;653
RO-CASTANHEIRAS;236
RO-CHUPINGUAIA;613
RO-CUJUBIM;199
RO-GOVERNADOR JORGE TEIXEIRA;303
RO-ITAPUA DO OESTE;548
RO-MINISTRO ANDREAZZA;386
RO-MIRANTE DA SERRA;557
RO-MONTE NEGRO;527
RO-NOVA UNIAO;231
RO-PARECIS;157
RO-PIMENTEIRAS DO OESTE;170
RO-PRIMAVERA DA RONDONIA;127
RO-SAO FELIPE D OESTE;213
RO-SAO FRANCISCO DO GUAPORE;668
RO-SERINGUEIRAS;432
RO-TEIXEIROPOLIS;216
RO-THEOBROMA;326
RO-URUPA;367
RO-VALE DO ANARI;271
RO-VALE DO PARAISO;310
RO-IGNORADO;0
AC-ACRELANDIA;221
AC-ASSIS BRASIL;125
AC-BRASILEIA;391
AC-BUJARI;709
AC-CAPIXABA;172
AC-CRUZEIRO DO SUL;2463
AC-EPITACIOLANDIA;421
AC-FEIJO;400
AC-JORDAO;69
AC-MANCIO LIMA;208
AC-MANOEL URBANO;86
AC-MARECHAL THAUMATURGO;100
AC-PLACIDO DE CASTRO;379
AC-PORTO WALTER;91
AC-RIO BRANCO;56012
AC-RODRIGUES ALVES;136
AC-SANTA ROSA DO PURUS;61
AC-SENADOR GUIOMARD;664
AC-SENA MADUREIRA;866
AC-TARAUACA;623
AC-XAPURI;418
AC-PORTO ACRE;166
AC-IGNORADO;0
AM-ALVARAES;1
AM-AMATURA;146
AM-ANAMA;1
AM-ANORI;2
AM-APUI;323
AM-ATALAIA DO NORTE;54
AM-AUTAZES;109
AM-BARCELOS;178
AM-BARREIRINHA;273
