Município;Total
RO-ALTA FLORESTA D OESTE;2953
RO-ARIQUEMES;18049
RO-CABIXI;732
RO-CACOAL;17846
RO-CEREJEIRAS;2351
RO-COLORADO DO OESTE;2334
RO-CORUMBIARA;1212
RO-COSTA MARQUES;944
RO-ESPIGAO D OESTE;5033
RO-GUAJARA-MIRIM;4050
RO-JARU;10016
RO-JI-PARANA;28735
RO-MACHADINHO D OESTE;3305
RO-NOVA BRASILANDIA D OESTE;1629
RO-OURO PRETO DO OESTE;5369
RO-PIMENTA BUENO;9511
RO-PORTO VELHO;158059
RO-PRESIDENTE MEDICI;2526
RO-RIO CRESPO;701
RO-ROLIM DE MOURA;11108
RO-SANTA LUZIA D OESTE;966
RO-VILHENA;20592
RO-SAO MIGUEL DO GUAPORE;3499
RO-NOVA MAMORE;1842
RO-ALVORADA D OESTE;1412
RO-ALTO ALEGRE DOS PARECIS;1059
RO-ALTO PARAISO;1372
RO-BURITIS;3443
RO-NOVO HORIZONTE DO OESTE;829
RO-CACAULANDIA;548
RO-CAMPO NOVO DE RONDONIA;887
RO-CANDEIAS DO JAMARI;2252
RO-CASTANHEIRAS;520
RO-CHUPINGUAIA;3000
RO-CUJUBIM;1356
RO-GOVERNADOR JORGE TEIXEIRA;768
RO-ITAPUA DO OESTE;1178
RO-MINISTRO ANDREAZZA;842
RO-MIRANTE DA SERRA;1332
RO-MONTE NEGRO;1379
RO-NOVA UNIAO;550
RO-PARECIS;647
RO-PIMENTEIRAS DO OESTE;633
RO-PRIMAVERA DE RONDONIA;396
RO-SAO FELIPE D OESTE;536
RO-SAO FRANCISCO DO GUAPORE;1555
RO-SERINGUEIRAS;1258
RO-TEIXEIROPOLIS;417
RO-THEOBROMA;951
RO-URUPA;1239
RO-VALE DO ANARI;737
RO-VALE DO PARAISO;677
RO-IGNORADO;0
AC-ACRELANDIA;880
AC-ASSIS BRASIL;322
AC-BRASILEIA;2224
AC-BUJARI;1600
AC-CAPIXABA;618
AC-CRUZEIRO DO SUL;8443
AC-EPITACIOLANDIA;1441
AC-FEIJO;1631
AC-JORDAO;493
AC-MANCIO LIMA;868
AC-MANOEL URBANO;607
AC-MARECHAL THAUMATURGO;1191
AC-PLACIDO DE CASTRO;1462
AC-PORTO WALTER;630
AC-RIO BRANCO;94585
AC-RODRIGUES ALVES;845
AC-SANTA ROSA DO PURUS;251
AC-SENADOR GUIOMARD;1995
AC-SENA MADUREIRA;2151
AC-TARAUACA;2088
AC-XAPURI;857
AC-PORTO ACRE;1122
AC-IGNORADO;0
AM-ALVARAES;625
AM-AMATURA;579
AM-ANAMA;361
AM-ANORI;705
AM-APUI;1010
AM-ATALAIA DO NORTE;1337
AM-AUTAZES;2277
AM-BARCELOS;1121
AM-BARREIRINHA;1037
AM-BENJAMIN CONSTANT;2471
AM-BERURI;1086
AM-BOA VISTA DO RAMOS;816
AM-BOCA DO ACRE;2327
AM-BORBA;2217
AM-CAAPIRANGA;971
AM-CANUTAMA;545
AM-CARAUARI;1006
AM-CAREIRO;1349
AM-CAREIRO DA VARZEA;1141
AM-COARI;7836
AM-CODAJAS;1017
AM-EIRUNEPE;1642
AM-ENVIRA;929
