Município;Total;
RO-ALTA FLORESTA D OESTE;936;
RO-ARIQUEMES;5403;
RO-CABIXI;215;
RO-CACOAL;5702;
RO-CEREJEIRAS;783;
RO-COLORADO DO OESTE;1072;
RO-CORUMBIARA;187;
RO-COSTA MARQUES;275;
RO-ESPIGAO D OESTE;1195;
RO-GUAJARA-MIRIM;1628;
RO-JARU;3163;
RO-JI-PARANA;9951;
RO-MACHADINHO D OESTE;443;
RO-NOVA BRASILANDIA D OESTE;420;
RO-OURO PRETO DO OESTE;2348;
RO-PIMENTA BUENO;3295;
RO-PORTO VELHO;79095;
RO-PRESIDENTE MEDICI;928;
RO-RIO CRESPO;66;
RO-ROLIM DE MOURA;2588;
RO-SANTA LUZIA D OESTE;388;
RO-VILHENA;5824;
RO-SAO MIGUEL DO GUAPORE;479;
RO-NOVA MAMORE;298;
RO-ALVORADA D OESTE;763;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;217;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;114;
RO-CACAULANDIA;54;
RO-CAMPO NOVO DE RONDONIA;362;
RO-CANDEIAS DO JAMARI;265;
RO-CASTANHEIRAS;120;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;158;
RO-ITAPUA DO OESTE;172;
RO-MINISTRO ANDREAZZA;194;
RO-MIRANTE DA SERRA;277;
RO-MONTE NEGRO;253;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;131;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;169;
RO-URUPA;224;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;181;
RO-IGNORADO;438;
AC-ACRELANDIA;75;
AC-ASSIS BRASIL;106;
AC-BRASILEIA;318;
AC-BUJARI;201;
AC-CAPIXABA;100;
AC-CRUZEIRO DO SUL;1845;
AC-EPITACIOLANDIA;159;
AC-FEIJO;332;
AC-JORDAO;76;
AC-MANCIO LIMA;120;
AC-MANOEL URBANO;71;
AC-MARECHAL THAUMATURGO;92;
AC-PLACIDO DE CASTRO;231;
AC-PORTO WALTER;106;
AC-RIO BRANCO;49008;
AC-RODRIGUES ALVES;69;
AC-SANTA ROSA DO PURUS;446;
AC-SENADOR GUIOMARD;341;
AC-SENA MADUREIRA;496;
AC-TARAUACA;563;
AC-XAPURI;339;
AC-PORTO ACRE;123;
AC-IGNORADO;0;
AM-ALVARAES;12;
AM-AMATURA;8;
AM-ANAMA;9;
AM-ANORI;29;
AM-APUI;191;
AM-ATALAIA DO NORTE;24;
AM-AUTAZES;97;
AM-BARCELOS;22;
AM-BARREIRINHA;63;
AM-BENJAMIN CONSTANT;146;
AM-BERURI;11;
AM-BOA VISTA DO RAMOS;77;
AM-BOCA DO ACRE;236;
AM-BORBA;142;
AM-CAAPIRANGA;93;
AM-CANUTAMA;243;
AM-CARAUARI;221;
AM-CAREIRO;272;
AM-CAREIRO DA VARZEA;11;
AM-COARI;1638;
AM-CODAJAS;29;
AM-EIRUNEPE;132;
AM-ENVIRA;41;
AM-FONTE BOA;15;
AM-GUAJARA;15;
AM-HUMAITA;878;
AM-IPIXUNA;135;
AM-IRANDUBA;637;
AM-ITACOATIARA;4493;
AM-ITAMARATI;17;
AM-ITAPIRANGA;168;
AM-JAPURA;3;
AM-JURUA;6;
AM-JUTAI;73;
AM-LABREA;171;
AM-MANACAPURU;786;
AM-MANAQUIRI;15;
AM-MANAUS;215422;
AM-MANICORE;339;
AM-MARAA;16;
AM-MAUES;746;
AM-NHAMUNDA;195;
AM-NOVA OLINDA DO NORTE;309;
AM-NOVO AIRAO;33;
AM-NOVO ARIPUANA;58;
AM-PARINTINS;667;
AM-PAUINI;138;
AM-PRESIDENTE FIGUEIREDO;2107;
AM-RIO PRETO DA EVA;288;
