Município;Total
RO-ALTA FLORESTA D OESTE;2715
RO-ARIQUEMES;17534
RO-CABIXI;675
RO-CACOAL;17526
RO-CEREJEIRAS;2372
RO-COLORADO DO OESTE;2387
RO-CORUMBIARA;1391
RO-COSTA MARQUES;895
RO-ESPIGAO D OESTE;5070
RO-GUAJARA-MIRIM;3704
RO-JARU;10230
RO-JI-PARANA;27988
RO-MACHADINHO D OESTE;3250
RO-NOVA BRASILANDIA D OESTE;1607
RO-OURO PRETO DO OESTE;5896
RO-PIMENTA BUENO;9881
RO-PORTO VELHO;156348
RO-PRESIDENTE MEDICI;2606
RO-RIO CRESPO;483
RO-ROLIM DE MOURA;11488
RO-SANTA LUZIA D OESTE;870
RO-VILHENA;22304
RO-SAO MIGUEL DO GUAPORE;3288
RO-NOVA MAMORE;1894
RO-ALVORADA D OESTE;1280
RO-ALTO ALEGRE DOS PARECIS;1028
RO-ALTO PARAISO;1306
RO-BURITIS;3342
RO-NOVO HORIZONTE DO OESTE;752
RO-CACAULANDIA;551
RO-CAMPO NOVO DE RONDONIA;903
RO-CANDEIAS DO JAMARI;2219
RO-CASTANHEIRAS;184
RO-CHUPINGUAIA;2800
RO-CUJUBIM;1325
RO-GOVERNADOR JORGE TEIXEIRA;560
RO-ITAPUA DO OESTE;1176
RO-MINISTRO ANDREAZZA;886
RO-MIRANTE DA SERRA;1220
RO-MONTE NEGRO;1301
RO-NOVA UNIAO;459
RO-PARECIS;630
RO-PIMENTEIRAS DO OESTE;676
RO-PRIMAVERA DE RONDONIA;380
RO-SAO FELIPE D OESTE;571
RO-SAO FRANCISCO DO GUAPORE;1474
RO-SERINGUEIRAS;1229
RO-TEIXEIROPOLIS;455
RO-THEOBROMA;810
RO-URUPA;1374
RO-VALE DO ANARI;710
RO-VALE DO PARAISO;763
RO-IGNORADO;0
AC-ACRELANDIA;901
AC-ASSIS BRASIL;381
AC-BRASILEIA;2366
AC-BUJARI;1233
AC-CAPIXABA;635
AC-CRUZEIRO DO SUL;9177
AC-EPITACIOLANDIA;1563
AC-FEIJO;1767
AC-JORDAO;506
AC-MANCIO LIMA;900
AC-MANOEL URBANO;451
AC-MARECHAL THAUMATURGO;784
AC-PLACIDO DE CASTRO;1767
AC-PORTO WALTER;675
AC-RIO BRANCO;100046
AC-RODRIGUES ALVES;707
AC-SANTA ROSA DO PURUS;261
AC-SENADOR GUIOMARD;2099
AC-SENA MADUREIRA;2652
AC-TARAUACA;1993
AC-XAPURI;926
AC-PORTO ACRE;1061
AC-IGNORADO;0
AM-ALVARAES;542
AM-AMATURA;433
AM-ANAMA;359
AM-ANORI;389
AM-APUI;769
AM-ATALAIA DO NORTE;216
AM-AUTAZES;1333
AM-BARCELOS;1088
AM-BARREIRINHA;660
AM-BENJAMIN CONSTANT;2472
AM-BERURI;47
AM-BOA VISTA DO RAMOS;1428
AM-BOCA DO ACRE;2658
AM-BORBA;2657
AM-CAAPIRANGA;959
AM-CANUTAMA;555
AM-CARAUARI;1596
AM-CAREIRO;1258
AM-CAREIRO DA VARZEA;966
AM-COARI;6703
AM-CODAJAS;622
AM-EIRUNEPE;1562
AM-ENVIRA;599
AM-FONTE BOA;1477
AM-GUAJARA;667
AM-HUMAITA;2958
AM-IPIXUNA;362
AM-IRANDUBA;4095
AM-ITACOATIARA;8510
AM-ITAMARATI;485
AM-ITAPIRANGA;248
AM-JAPURA;33
AM-JURUA;1017
AM-JUTAI;763
AM-LABREA;2139
AM-MANACAPURU;3627
AM-MANAQUIRI;906
AM-MANAUS;499911
AM-MANICORE;1516
AM-MARAA;461
AM-MAUES;3077
AM-NHAMUNDA;874
AM-NOVA OLINDA DO NORTE;1332
AM-NOVO AIRAO;1086
AM-NOVO ARIPUANA;709
AM-PARINTINS;4141
AM-PAUINI;744
AM-PRESIDENTE FIGUEIREDO;5057
AM-RIO PRETO DA EVA;1660
AM-SANTA ISABEL DO RIO NEGRO;236
AM-SANTO ANTONIO DO ICA;379
AM-SAO GABRIEL DA CACHOEIRA;1728
AM-SAO PAULO DE OLIVENCA;1044
AM-SAO SEBASTIAO DO UATUMA;590
AM-SILVES;299
AM-TABATINGA;3932
AM-TAPAUA;1361
AM-TEFE;2888
AM-TONANTINS;26
AM-UARINI;326
AM-URUCARA;1223
AM-URUCURITUBA;430
AM-IGNORADO;0
RR-AMAJARI;520
RR-ALTO ALEGRE;791
RR-BOA VISTA;90994
RR-BONFIM;1032
RR-CANTA;1541
RR-CARACARAI;1408
RR-CAROEBE;524
RR-IRACEMA;254
RR-MUCAJAI;789
RR-NORMANDIA;341
RR-PACARAIMA;583
RR-RORAINOPOLIS;1841
RR-SAO JOAO DA BALIZA;926
RR-SAO LUIZ;126
RR-UIRAMUTA;100
RR-IGNORADO;0
PA-ABAETETUBA;9744
PA-ABEL FIGUEIREDO;591
PA-ACARA;5256
PA-AFUA;1725
PA-AGUA AZUL DO NORTE;1906
PA-ALENQUER;2406
PA-ALMEIRIM;3589
PA-ALTAMIRA;13845
PA-ANAJAS;1125
PA-ANANINDEUA;69403
PA-ANAPU;1430
PA-AUGUSTO CORREA;1462
PA-AURORA DO PARA;1229
PA-AVEIRO;653
PA-BAGRE;757
PA-BAIAO;1523
PA-BANNACH;477
PA-BARCARENA;27151
PA-BELEM;398714
PA-BELTERRA;1466
PA-BENEVIDES;9387
PA-BOM JESUS DO TOCANTINS;943
PA-BONITO;2019
PA-BRAGANCA;6703
PA-BRASIL NOVO;1094
PA-BREJO GRANDE DO ARAGUAIA;617
PA-BREU BRANCO;3748
PA-BREVES;5063
PA-BUJARU;941
PA-CACHOEIRA DO PIRIA;692
PA-CACHOEIRA DO ARARI;994
PA-CAMETA;5863
PA-CANAA DOS CARAJAS;18585
PA-CAPANEMA;8110
PA-CAPITAO POCO;2714
PA-CASTANHAL;31552
PA-CHAVES;968
PA-COLARES;624
PA-CONCEICAO DO ARAGUAIA;3374
PA-CONCORDIA DO PARA;1717
PA-CUMARU DO NORTE;1527
PA-CURIONOPOLIS;1996
PA-CURRALINHO;1246
PA-CURUA;789
PA-CURUCA;1499
PA-DOM ELISEU;3926
PA-ELDORADO DO CARAJAS;2527
PA-FARO;533
PA-FLORESTA DO ARAGUAIA;1136
PA-GARRAFAO DO NORTE;1193
PA-GOIANESIA DO PARA;3008
PA-GURUPA;1553
PA-IGARAPE-ACU;2187
PA-IGARAPE-MIRI;3116
PA-INHANGAPI;1002
PA-IPIXUNA DO PARA;2730
PA-IRITUIA;1322
PA-ITAITUBA;12916
PA-ITUPIRANGA;2706
PA-JACAREACANGA;652
PA-JACUNDA;3689
PA-JURUTI;4381
PA-LIMOEIRO DO AJURU;1027
PA-MAE DO RIO;2041
PA-MAGALHAES BARATA;184
PA-MARABA;50595
PA-MARACANA;1541
PA-MARAPANIM;972
PA-MARITUBA;11781
PA-MEDICILANDIA;1268
PA-MELGACO;941
PA-MOCAJUBA;1617
PA-MOJU;8569
PA-MOJUI DOS CAMPOS;643
PA-MONTE ALEGRE;3049
PA-MUANA;1044
PA-NOVA ESPERANCA DO PIRIA;812
PA-NOVA IPIXUNA;783
PA-NOVA TIMBOTEUA;951
PA-NOVO PROGRESSO;3878
PA-NOVO REPARTIMENTO;4157
PA-OBIDOS;2976
PA-OEIRAS DO PARA;1065
