Município;Total
RO-ALTA FLORESTA D OESTE;1196
RO-ARIQUEMES;7197
RO-CABIXI;310
RO-CACOAL;7247
RO-CEREJEIRAS;1013
RO-COLORADO DO OESTE;1110
RO-CORUMBIARA;273
RO-COSTA MARQUES;357
RO-ESPIGAO D OESTE;1902
RO-GUAJARA-MIRIM;2099
RO-JARU;4260
RO-JI-PARANA;12930
RO-MACHADINHO D OESTE;788
RO-NOVA BRASILANDIA D OESTE;712
RO-OURO PRETO DO OESTE;2750
RO-PIMENTA BUENO;3577
RO-PORTO VELHO;77113
RO-PRESIDENTE MEDICI;1129
RO-RIO CRESPO;120
RO-ROLIM DE MOURA;3815
RO-SANTA LUZIA D OESTE;488
RO-VILHENA;6962
RO-SAO MIGUEL DO GUAPORE;778
RO-NOVA MAMORE;604
RO-ALVORADA D OESTE;1072
RO-ALTO ALEGRE DOS PARECIS;323
RO-ALTO PARAISO;382
RO-BURITIS;734
RO-NOVO HORIZONTE DO OESTE;53
RO-CACAULANDIA;166
RO-CAMPO NOVO DE RONDONIA;375
RO-CANDEIAS DO JAMARI;562
RO-CASTANHEIRAS;46
RO-CHUPINGUAIA;466
RO-CUJUBIM;276
RO-GOVERNADOR JORGE TEIXEIRA;252
RO-ITAPUA DO OESTE;380
RO-MINISTRO ANDREAZZA;340
RO-MIRANTE DA SERRA;616
RO-MONTE NEGRO;518
RO-NOVA UNIAO;244
RO-PARECIS;161
RO-PIMENTEIRAS DO OESTE;101
RO-PRIMAVERA DA RONDONIA;94
RO-SAO FELIPE D OESTE;150
RO-SAO FRANCISCO DO GUAPORE;366
RO-SERINGUEIRAS;400
RO-TEIXEIROPOLIS;32
RO-THEOBROMA;397
RO-URUPA;407
RO-VALE DO ANARI;187
RO-VALE DO PARAISO;74
RO-IGNORADO;0
AC-ACRELANDIA;236
AC-ASSIS BRASIL;112
AC-BRASILEIA;385
AC-BUJARI;606
AC-CAPIXABA;140
AC-CRUZEIRO DO SUL;2346
AC-EPITACIOLANDIA;154
AC-FEIJO;393
AC-JORDAO;67
AC-MANCIO LIMA;201
AC-MANOEL URBANO;86
AC-MARECHAL THAUMATURGO;84
AC-PLACIDO DE CASTRO;386
AC-PORTO WALTER;93
AC-RIO BRANCO;53749
AC-RODRIGUES ALVES;142
AC-SANTA ROSA DO PURUS;65
AC-SENADOR GUIOMARD;508
AC-SENA MADUREIRA;570
AC-TARAUACA;603
AC-XAPURI;360
AC-PORTO ACRE;162
AC-IGNORADO;0
AM-ALVARAES;1
AM-AMATURA;1
AM-ANAMA;1
AM-ANORI;2
AM-APUI;204
AM-ATALAIA DO NORTE;35
AM-AUTAZES;99
AM-BARCELOS;102
AM-BARREIRINHA;238
AM-BENJAMIN CONSTANT;344
AM-BERURI;1
AM-BOA VISTA DO RAMOS;145
AM-BOCA DO ACRE;311
AM-BORBA;165
AM-CAAPIRANGA;261
AM-CANUTAMA;4
AM-CARAUARI;98
AM-CAREIRO;277
AM-CAREIRO DA VARZEA;5
AM-COARI;1595
AM-CODAJAS;119
AM-EIRUNEPE;226
AM-ENVIRA;17
AM-FONTE BOA;154
AM-GUAJARA;28
AM-HUMAITA;1113
AM-IPIXUNA;118
