Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;3410;
RO-CABIXI;0;
RO-CACOAL;5827;
RO-CEREJEIRAS;113;
RO-COLORADO DO OESTE;753;
RO-CORUMBIARA;0;
RO-COSTA MARQUES;197;
RO-ESPIGAO D OESTE;239;
RO-GUAJARA-MIRIM;1567;
RO-JARU;1543;
RO-JI-PARANA;7450;
RO-MACHADINHO D OESTE;0;
RO-NOVA BRASILANDIA D OESTE;0;
RO-OURO PRETO DO OESTE;1036;
RO-PIMENTA BUENO;1888;
RO-PORTO VELHO;68023;
RO-PRESIDENTE MEDICI;379;
RO-RIO CRESPO;0;
RO-ROLIM DE MOURA;371;
RO-SANTA LUZIA D OESTE;0;
RO-VILHENA;4130;
RO-SAO MIGUEL DO GUAPORE;0;
RO-NOVA MAMORE;0;
RO-ALVORADA D OESTE;0;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;0;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;0;
RO-CACAULANDIA;0;
RO-CAMPO NOVO DE RONDONIA;0;
RO-CANDEIAS DO JAMARI;0;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;0;
RO-ITAPUA DO OESTE;0;
RO-MINISTRO ANDREAZZA;0;
RO-MIRANTE DA SERRA;0;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;0;
RO-URUPA;0;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;0;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;3;
AC-BRASILEIA;305;
AC-BUJARI;0;
AC-CAPIXABA;0;
AC-CRUZEIRO DO SUL;1206;
AC-EPITACIOLANDIA;0;
AC-FEIJO;254;
AC-JORDAO;0;
AC-MANCIO LIMA;4;
AC-MANOEL URBANO;4;
AC-MARECHAL THAUMATURGO;0;
AC-PLACIDO DE CASTRO;39;
AC-PORTO WALTER;0;
AC-RIO BRANCO;39695;
AC-RODRIGUES ALVES;0;
AC-SANTA ROSA DO PURUS;0;
AC-SENADOR GUIOMARD;226;
AC-SENA MADUREIRA;291;
