Município;Total
RO-ALTA FLORESTA D OESTE;2224
RO-ARIQUEMES;15379
RO-CABIXI;490
RO-CACOAL;13039
RO-CEREJEIRAS;1739
RO-COLORADO DO OESTE;2052
RO-CORUMBIARA;795
RO-COSTA MARQUES;889
RO-ESPIGAO D OESTE;3750
RO-GUAJARA-MIRIM;3312
RO-JARU;7466
RO-JI-PARANA;22239
RO-MACHADINHO D OESTE;2292
RO-NOVA BRASILANDIA D OESTE;1302
RO-OURO PRETO DO OESTE;3652
RO-PIMENTA BUENO;7498
RO-PORTO VELHO;155800
RO-PRESIDENTE MEDICI;1970
RO-RIO CRESPO;367
RO-ROLIM DE MOURA;7108
RO-SANTA LUZIA D OESTE;1068
RO-VILHENA;14541
RO-SAO MIGUEL DO GUAPORE;1850
RO-NOVA MAMORE;1524
RO-ALVORADA D OESTE;1341
RO-ALTO ALEGRE DOS PARECIS;767
RO-ALTO PARAISO;1266
RO-BURITIS;3036
RO-NOVO HORIZONTE DO OESTE;652
RO-CACAULANDIA;391
RO-CAMPO NOVO DE RONDONIA;624
RO-CANDEIAS DO JAMARI;1332
RO-CASTANHEIRAS;392
RO-CHUPINGUAIA;1873
RO-CUJUBIM;1347
RO-GOVERNADOR JORGE TEIXEIRA;553
RO-ITAPUA DO OESTE;910
RO-MINISTRO ANDREAZZA;751
RO-MIRANTE DA SERRA;1060
RO-MONTE NEGRO;1136
RO-NOVA UNIAO;434
RO-PARECIS;433
RO-PIMENTEIRAS DO OESTE;387
RO-PRIMAVERA DE RONDONIA;352
RO-SAO FELIPE D OESTE;355
RO-SAO FRANCISCO DO GUAPORE;1350
RO-SERINGUEIRAS;820
RO-TEIXEIROPOLIS;411
RO-THEOBROMA;728
RO-URUPA;821
RO-VALE DO ANARI;515
RO-VALE DO PARAISO;554
RO-IGNORADO;0
AC-ACRELANDIA;690
AC-ASSIS BRASIL;318
AC-BRASILEIA;1155
AC-BUJARI;579
AC-CAPIXABA;649
AC-CRUZEIRO DO SUL;5960
AC-EPITACIOLANDIA;872
AC-FEIJO;1389
AC-JORDAO;232
AC-MANCIO LIMA;514
AC-MANOEL URBANO;543
AC-MARECHAL THAUMATURGO;747
AC-PLACIDO DE CASTRO;863
AC-PORTO WALTER;469
AC-RIO BRANCO;84322
AC-RODRIGUES ALVES;655
AC-SANTA ROSA DO PURUS;202
AC-SENADOR GUIOMARD;2220
AC-SENA MADUREIRA;1497
AC-TARAUACA;581
AC-XAPURI;895
AC-PORTO ACRE;661
AC-IGNORADO;0
AM-ALVARAES;353
AM-AMATURA;360
AM-ANAMA;418
AM-ANORI;584
AM-APUI;769
AM-ATALAIA DO NORTE;829
AM-AUTAZES;405
AM-BARCELOS;593
AM-BARREIRINHA;839
AM-BENJAMIN CONSTANT;1051
AM-BERURI;29
AM-BOA VISTA DO RAMOS;368
AM-BOCA DO ACRE;1574
AM-BORBA;1333
AM-CAAPIRANGA;654
AM-CANUTAMA;25
AM-CARAUARI;845
AM-CAREIRO;1077
AM-CAREIRO DA VARZEA;933
AM-COARI;5866
AM-CODAJAS;1026
AM-EIRUNEPE;1385
AM-ENVIRA;684
AM-FONTE BOA;22
AM-GUAJARA;511
AM-HUMAITA;1952
AM-IPIXUNA;363
AM-IRANDUBA;2656
AM-ITACOATIARA;7644
AM-ITAMARATI;379
AM-ITAPIRANGA;546
AM-JAPURA;434
AM-JURUA;466
AM-JUTAI;40
AM-LABREA;1277
AM-MANACAPURU;3680
AM-MANAQUIRI;508
AM-MANAUS;436647
AM-MANICORE;974
AM-MARAA;482
AM-MAUES;2431
AM-NHAMUNDA;800
AM-NOVA OLINDA DO NORTE;955
AM-NOVO AIRAO;599
AM-NOVO ARIPUANA;792
AM-PARINTINS;6100
AM-PAUINI;830
AM-PRESIDENTE FIGUEIREDO;4372
