Município;Total
RO-ALTA FLORESTA D OESTE;1950
RO-ARIQUEMES;11912
RO-CABIXI;401
RO-CACOAL;10687
RO-CEREJEIRAS;1458
RO-COLORADO DO OESTE;1770
RO-CORUMBIARA;656
RO-COSTA MARQUES;580
RO-ESPIGAO D OESTE;2911
RO-GUAJARA-MIRIM;2685
RO-JARU;6911
RO-JI-PARANA;18276
RO-MACHADINHO D OESTE;2268
RO-NOVA BRASILANDIA D OESTE;1057
RO-OURO PRETO DO OESTE;3917
RO-PIMENTA BUENO;5638
RO-PORTO VELHO;111957
RO-PRESIDENTE MEDICI;1618
RO-RIO CRESPO;297
RO-ROLIM DE MOURA;6102
RO-SANTA LUZIA D OESTE;871
RO-VILHENA;12079
RO-SAO MIGUEL DO GUAPORE;1157
RO-NOVA MAMORE;1106
RO-ALVORADA D OESTE;1084
RO-ALTO ALEGRE DOS PARECIS;625
RO-ALTO PARAISO;1077
RO-BURITIS;2411
RO-NOVO HORIZONTE DO OESTE;671
RO-CACAULANDIA;353
RO-CAMPO NOVO DE RONDONIA;555
RO-CANDEIAS DO JAMARI;993
RO-CASTANHEIRAS;323
RO-CHUPINGUAIA;1333
RO-CUJUBIM;1017
RO-GOVERNADOR JORGE TEIXEIRA;543
RO-ITAPUA DO OESTE;384
RO-MINISTRO ANDREAZZA;605
RO-MIRANTE DA SERRA;799
RO-MONTE NEGRO;945
RO-NOVA UNIAO;357
RO-PARECIS;328
RO-PIMENTEIRAS DO OESTE;292
RO-PRIMAVERA DE RONDONIA;62
RO-SAO FELIPE D OESTE;304
RO-SAO FRANCISCO DO GUAPORE;1080
RO-SERINGUEIRAS;652
RO-TEIXEIROPOLIS;329
RO-THEOBROMA;597
RO-URUPA;602
RO-VALE DO ANARI;418
RO-VALE DO PARAISO;521
RO-IGNORADO;0
AC-ACRELANDIA;568
AC-ASSIS BRASIL;222
AC-BRASILEIA;792
AC-BUJARI;546
AC-CAPIXABA;423
AC-CRUZEIRO DO SUL;3736
AC-EPITACIOLANDIA;904
AC-FEIJO;1015
AC-JORDAO;1
AC-MANCIO LIMA;401
AC-MANOEL URBANO;179
AC-MARECHAL THAUMATURGO;591
AC-PLACIDO DE CASTRO;332
AC-PORTO WALTER;228
AC-RIO BRANCO;69791
AC-RODRIGUES ALVES;387
AC-SANTA ROSA DO PURUS;83
AC-SENADOR GUIOMARD;1730
AC-SENA MADUREIRA;1262
AC-TARAUACA;1265
AC-XAPURI;767
AC-PORTO ACRE;360
AC-IGNORADO;0
AM-ALVARAES;28
AM-AMATURA;239
AM-ANAMA;10
AM-ANORI;29
AM-APUI;580
AM-ATALAIA DO NORTE;309
AM-AUTAZES;374
AM-BARCELOS;826
AM-BARREIRINHA;694
AM-BENJAMIN CONSTANT;559
AM-BERURI;43
AM-BOA VISTA DO RAMOS;252
AM-BOCA DO ACRE;1282
AM-BORBA;973
AM-CAAPIRANGA;624
AM-CANUTAMA;20
AM-CARAUARI;763
AM-CAREIRO;1054
AM-CAREIRO DA VARZEA;656
AM-COARI;5025
AM-CODAJAS;594
AM-EIRUNEPE;839
AM-ENVIRA;756
AM-FONTE BOA;595
AM-GUAJARA;382
AM-HUMAITA;1841
AM-IPIXUNA;288
AM-IRANDUBA;2621
AM-ITACOATIARA;6665
AM-ITAMARATI;175
AM-ITAPIRANGA;385
AM-JAPURA;393
AM-JURUA;503
AM-JUTAI;34
AM-LABREA;1061
AM-MANACAPURU;2632
AM-MANAQUIRI;716
AM-MANAUS;381580
AM-MANICORE;965
AM-MARAA;542
AM-MAUES;2128
AM-NHAMUNDA;699
AM-NOVA OLINDA DO NORTE;737
AM-NOVO AIRAO;560
AM-NOVO ARIPUANA;582
AM-PARINTINS;4896
AM-PAUINI;250
AM-PRESIDENTE FIGUEIREDO;3558
AM-RIO PRETO DA EVA;1339
AM-SANTA ISABEL DO RIO NEGRO;204
AM-SANTO ANTONIO DO ICA;646
AM-SAO GABRIEL DA CACHOEIRA;1399
AM-SAO PAULO DE OLIVENCA;26
AM-SAO SEBASTIAO DO UATUMA;188
AM-SILVES;35
AM-TABATINGA;1128
AM-TAPAUA;352
AM-TEFE;1227
AM-TONANTINS;257
AM-UARINI;23
AM-URUCARA;762
AM-URUCURITUBA;468
AM-IGNORADO;0
RR-AMAJARI;120
RR-ALTO ALEGRE;406
RR-BOA VISTA;34490
RR-BONFIM;442
RR-CANTA;138
RR-CARACARAI;131
RR-CAROEBE;21
RR-IRACEMA;72
RR-MUCAJAI;183
RR-NORMANDIA;55
RR-PACARAIMA;331
RR-RORAINOPOLIS;154
RR-SAO JOAO DA BALIZA;54
RR-SAO LUIZ;31
RR-UIRAMUTA;110
RR-IGNORADO;0
PA-ABAETETUBA;4637
PA-ABEL FIGUEIREDO;701
PA-ACARA;2507
PA-AFUA;1594
PA-AGUA AZUL DO NORTE;1237
PA-ALENQUER;790
PA-ALMEIRIM;6855
PA-ALTAMIRA;7750
PA-ANAJAS;58
PA-ANANINDEUA;48925
PA-ANAPU;856
PA-AUGUSTO CORREA;886
PA-AURORA DO PARA;940
PA-AVEIRO;592
PA-BAGRE;244
PA-BAIAO;813
PA-BANNACH;439
PA-BARCARENA;18416
PA-BELEM;315601
PA-BELTERRA;172
PA-BENEVIDES;3817
PA-BOM JESUS DO TOCANTINS;756
PA-BONITO;341
PA-BRAGANCA;3246
PA-BRASIL NOVO;682
PA-BREJO GRANDE DO ARAGUAIA;430
PA-BREU BRANCO;3149
PA-BREVES;5197
PA-BUJARU;637
PA-CACHOEIRA DO PIRIA;71
PA-CACHOEIRA DO ARARI;707
PA-CAMETA;3286
PA-CANAA DOS CARAJAS;2778
PA-CAPANEMA;4073
PA-CAPITAO POCO;1204
PA-CASTANHAL;20497
PA-CHAVES;442
PA-COLARES;336
PA-CONCEICAO DO ARAGUAIA;3211
PA-CONCORDIA DO PARA;1293
PA-CUMARU DO NORTE;1340
PA-CURIONOPOLIS;1043
PA-CURRALINHO;343
PA-CURUA;439
PA-CURUCA;687
PA-DOM ELISEU;4888
PA-ELDORADO DO CARAJAS;1427
PA-FARO;312
PA-FLORESTA DO ARAGUAIA;930
PA-GARRAFAO DO NORTE;1093
PA-GOIANESIA DO PARA;2490
PA-GURUPA;478
PA-IGARAPE-ACU;1975
PA-IGARAPE-MIRI;3253
PA-INHANGAPI;574
PA-IPIXUNA DO PARA;1405
PA-IRITUIA;683
PA-ITAITUBA;6638
PA-ITUPIRANGA;1878
PA-JACAREACANGA;374
PA-JACUNDA;3687
PA-JURUTI;2196
PA-LIMOEIRO DO AJURU;684
PA-MAE DO RIO;1388
PA-MAGALHAES BARATA;335
PA-MARABA;27970
PA-MARACANA;969
PA-MARAPANIM;929
PA-MARITUBA;9394
PA-MEDICILANDIA;924
PA-MELGACO;617
PA-MOCAJUBA;177
PA-MOJU;4852
PA-MOJUI DOS CAMPOS;0
PA-MONTE ALEGRE;2403
PA-MUANA;929
PA-NOVA ESPERANCA DO PIRIA;734
PA-NOVA IPIXUNA;674
PA-NOVA TIMBOTEUA;662
PA-NOVO PROGRESSO;1953
PA-NOVO REPARTIMENTO;2263
PA-OBIDOS;1875
PA-OEIRAS DO PARA;1100
PA-ORIXIMINA;6503
PA-OUREM;632
PA-OURILANDIA DO NORTE;1821
PA-PACAJA;1856
PA-PALESTINA DO PARA;268
PA-PARAGOMINAS;14405
PA-PARAUAPEBAS;21316
PA-PAU D ARCO;668
PA-PEIXE-BOI;253
PA-PICARRA;907
PA-PLACAS;123
PA-PONTA DE PEDRAS;806
PA-PORTEL;1559
PA-PORTO DE MOZ;1157
PA-PRAINHA;743
PA-PRIMAVERA;287
PA-QUATIPURU;426
PA-REDENCAO;7660
PA-RIO MARIA;1607
PA-RONDON DO PARA;5450
PA-RUROPOLIS;940
PA-SALINOPOLIS;1760
PA-SALVATERRA;903
PA-SANTA BARBARA DO PARA;1075
PA-SANTA CRUZ DO ARARI;18
PA-SANTA IZABEL DO PARA;5183
PA-SANTA LUZIA DO PARA;501
PA-SANTA MARIA DAS BARREIRAS;930
PA-SANTA MARIA DO PARA;1023
PA-SANTANA DO ARAGUAIA;3592
PA-SANTAREM;25268
PA-SANTAREM NOVO;392
PA-SANTO ANTONIO DO TAUA;1433
PA-SAO CAETANO DE ODIVELAS;467
PA-SAO DOMINGOS DO ARAGUAIA;885
PA-SAO DOMINGOS DO CAPIM;1330
PA-SAO FELIX DO XINGU;3000
PA-SAO FRANCISCO DO PARA;743
PA-SAO GERALDO DO ARAGUAIA;1554
PA-SAO JOAO DA PONTA;175
PA-SAO JOAO DE PIRABAS;745
PA-SAO JOAO DO ARAGUAIA;83
PA-SAO MIGUEL DO GUAMA;3803
PA-SAO SEBASTIAO DA BOA VISTA;657
PA-SAPUCAIA;742
PA-SENADOR JOSE PORFIRIO;769
PA-SOURE;972
PA-TAILANDIA;6727
PA-TERRA ALTA;411
PA-TERRA SANTA;728
PA-TOME-ACU;4579
PA-TRACUATEUA;897
PA-TRAIRAO;396
PA-TUCUMA;2452
PA-TUCURUI;10651
PA-ULIANOPOLIS;4411
PA-URUARA;2247
PA-VIGIA;1809
PA-VISEU;1482
PA-VITORIA DO XINGU;429
PA-XINGUARA;4862
PA-IGNORADO;0
AP-SERRA DO NAVIO;499
AP-AMAPA;441
AP-PEDRA BRANCA DO AMAPARI;872
AP-CALCOENE;336
AP-CUTIAS;246
AP-FERREIRA GOMES;65
AP-ITAUBAL;38
AP-LARANJAL DO JARI;1624
AP-MACAPA;66300
AP-MAZAGAO;680
AP-OIAPOQUE;591
AP-PORTO GRANDE;890
AP-PRACUUBA;135
AP-SANTANA;5123
