Município;Total
RO-ALTA FLORESTA D OESTE;2036
RO-ARIQUEMES;14336
RO-CABIXI;409
RO-CACOAL;11976
RO-CEREJEIRAS;1596
RO-COLORADO DO OESTE;1815
RO-CORUMBIARA;698
RO-COSTA MARQUES;815
RO-ESPIGAO D OESTE;3422
RO-GUAJARA-MIRIM;3039
RO-JARU;7326
RO-JI-PARANA;20297
RO-MACHADINHO D OESTE;2037
RO-NOVA BRASILANDIA D OESTE;1165
RO-OURO PRETO DO OESTE;4538
RO-PIMENTA BUENO;6532
RO-PORTO VELHO;130379
RO-PRESIDENTE MEDICI;1861
RO-RIO CRESPO;367
RO-ROLIM DE MOURA;8033
RO-SANTA LUZIA D OESTE;975
RO-VILHENA;14159
RO-SAO MIGUEL DO GUAPORE;1423
RO-NOVA MAMORE;1349
RO-ALVORADA D OESTE;1353
RO-ALTO ALEGRE DOS PARECIS;731
RO-ALTO PARAISO;1176
RO-BURITIS;2685
RO-NOVO HORIZONTE DO OESTE;572
RO-CACAULANDIA;379
RO-CAMPO NOVO DE RONDONIA;543
RO-CANDEIAS DO JAMARI;1163
RO-CASTANHEIRAS;341
RO-CHUPINGUAIA;1549
RO-CUJUBIM;1309
RO-GOVERNADOR JORGE TEIXEIRA;484
RO-ITAPUA DO OESTE;845
RO-MINISTRO ANDREAZZA;677
RO-MIRANTE DA SERRA;950
RO-MONTE NEGRO;1046
RO-NOVA UNIAO;404
RO-PARECIS;358
RO-PIMENTEIRAS DO OESTE;321
RO-PRIMAVERA DE RONDONIA;299
RO-SAO FELIPE D OESTE;246
RO-SAO FRANCISCO DO GUAPORE;1080
RO-SERINGUEIRAS;736
RO-TEIXEIROPOLIS;350
RO-THEOBROMA;669
RO-URUPA;714
RO-VALE DO ANARI;499
RO-VALE DO PARAISO;523
RO-IGNORADO;0
AC-ACRELANDIA;625
AC-ASSIS BRASIL;301
AC-BRASILEIA;1047
AC-BUJARI;549
AC-CAPIXABA;519
AC-CRUZEIRO DO SUL;5165
AC-EPITACIOLANDIA;924
AC-FEIJO;1156
AC-JORDAO;173
AC-MANCIO LIMA;348
AC-MANOEL URBANO;425
AC-MARECHAL THAUMATURGO;841
AC-PLACIDO DE CASTRO;811
AC-PORTO WALTER;326
AC-RIO BRANCO;79661
AC-RODRIGUES ALVES;416
AC-SANTA ROSA DO PURUS;2
AC-SENADOR GUIOMARD;2133
AC-SENA MADUREIRA;1370
AC-TARAUACA;594
AC-XAPURI;774
AC-PORTO ACRE;564
AC-IGNORADO;0
AM-ALVARAES;520
AM-AMATURA;360
AM-ANAMA;307
AM-ANORI;482
AM-APUI;730
AM-ATALAIA DO NORTE;644
AM-AUTAZES;396
AM-BARCELOS;74
AM-BARREIRINHA;763
AM-BENJAMIN CONSTANT;735
AM-BERURI;18
AM-BOA VISTA DO RAMOS;325
AM-BOCA DO ACRE;1370
AM-BORBA;1512
AM-CAAPIRANGA;609
AM-CANUTAMA;22
AM-CARAUARI;815
AM-CAREIRO;982
AM-CAREIRO DA VARZEA;662
AM-COARI;6406
AM-CODAJAS;764
AM-EIRUNEPE;1372
AM-ENVIRA;729
AM-FONTE BOA;17
AM-GUAJARA;497
AM-HUMAITA;1867
AM-IPIXUNA;353
AM-IRANDUBA;2986
AM-ITACOATIARA;7329
AM-ITAMARATI;401
