Município;Total
RO-ALTA FLORESTA D OESTE;2599
RO-ARIQUEMES;17587
RO-CABIXI;587
RO-CACOAL;16094
RO-CEREJEIRAS;2529
RO-COLORADO DO OESTE;1997
RO-CORUMBIARA;975
RO-COSTA MARQUES;931
RO-ESPIGAO D OESTE;4245
RO-GUAJARA-MIRIM;3881
RO-JARU;8779
RO-JI-PARANA;25575
RO-MACHADINHO D OESTE;2722
RO-NOVA BRASILANDIA D OESTE;1585
RO-OURO PRETO DO OESTE;5787
RO-PIMENTA BUENO;8992
RO-PORTO VELHO;195243
RO-PRESIDENTE MEDICI;2283
RO-RIO CRESPO;527
RO-ROLIM DE MOURA;10040
RO-SANTA LUZIA D OESTE;1209
RO-VILHENA;17636
RO-SAO MIGUEL DO GUAPORE;3349
RO-NOVA MAMORE;1877
RO-ALVORADA D OESTE;1398
RO-ALTO ALEGRE DOS PARECIS;889
RO-ALTO PARAISO;1637
RO-BURITIS;3169
RO-NOVO HORIZONTE DO OESTE;651
RO-CACAULANDIA;488
RO-CAMPO NOVO DE RONDONIA;824
RO-CANDEIAS DO JAMARI;1400
RO-CASTANHEIRAS;333
RO-CHUPINGUAIA;2038
RO-CUJUBIM;1896
RO-GOVERNADOR JORGE TEIXEIRA;622
RO-ITAPUA DO OESTE;1200
RO-MINISTRO ANDREAZZA;807
RO-MIRANTE DA SERRA;1183
RO-MONTE NEGRO;1539
RO-NOVA UNIAO;467
RO-PARECIS;512
RO-PIMENTEIRAS DO OESTE;415
RO-PRIMAVERA DE RONDONIA;323
RO-SAO FELIPE D OESTE;361
RO-SAO FRANCISCO DO GUAPORE;1484
RO-SERINGUEIRAS;1039
RO-TEIXEIROPOLIS;493
RO-THEOBROMA;821
RO-URUPA;854
RO-VALE DO ANARI;630
RO-VALE DO PARAISO;640
RO-IGNORADO;0
AC-ACRELANDIA;824
AC-ASSIS BRASIL;305
AC-BRASILEIA;1509
AC-BUJARI;988
AC-CAPIXABA;661
AC-CRUZEIRO DO SUL;7471
AC-EPITACIOLANDIA;1180
AC-FEIJO;1345
AC-JORDAO;502
AC-MANCIO LIMA;654
AC-MANOEL URBANO;419
AC-MARECHAL THAUMATURGO;962
AC-PLACIDO DE CASTRO;1154
AC-PORTO WALTER;436
AC-RIO BRANCO;99601
AC-RODRIGUES ALVES;595
AC-SANTA ROSA DO PURUS;205
AC-SENADOR GUIOMARD;1747
AC-SENA MADUREIRA;2056
AC-TARAUACA;1504
AC-XAPURI;743
AC-PORTO ACRE;368
AC-IGNORADO;0
AM-ALVARAES;512
AM-AMATURA;386
AM-ANAMA;245
AM-ANORI;612
AM-APUI;809
AM-ATALAIA DO NORTE;702
AM-AUTAZES;888
AM-BARCELOS;831
AM-BARREIRINHA;1159
AM-BENJAMIN CONSTANT;1836
AM-BERURI;24
AM-BOA VISTA DO RAMOS;478
AM-BOCA DO ACRE;1845
AM-BORBA;1358
AM-CAAPIRANGA;850
AM-CANUTAMA;205
AM-CARAUARI;917
AM-CAREIRO;1220
AM-CAREIRO DA VARZEA;754
AM-COARI;2114
AM-CODAJAS;642
AM-EIRUNEPE;1453
AM-ENVIRA;858
AM-FONTE BOA;1015
AM-GUAJARA;698
AM-HUMAITA;2202
AM-IPIXUNA;366
AM-IRANDUBA;3441
AM-ITACOATIARA;8028
AM-ITAMARATI;412
AM-ITAPIRANGA;1923
AM-JAPURA;219
AM-JURUA;334
AM-JUTAI;681
AM-LABREA;1544
AM-MANACAPURU;4545
AM-MANAQUIRI;744
AM-MANAUS;535702
AM-MANICORE;1241
AM-MARAA;614
AM-MAUES;2934
AM-NHAMUNDA;624
AM-NOVA OLINDA DO NORTE;530
AM-NOVO AIRAO;682
AM-NOVO ARIPUANA;630
AM-PARINTINS;5824
AM-PAUINI;891
AM-PRESIDENTE FIGUEIREDO;4444
AM-RIO PRETO DA EVA;1367
AM-SANTA ISABEL DO RIO NEGRO;232
AM-SANTO ANTONIO DO ICA;843
AM-SAO GABRIEL DA CACHOEIRA;2462
AM-SAO PAULO DE OLIVENCA;686
AM-SAO SEBASTIAO DO UATUMA;381
AM-SILVES;396
AM-TABATINGA;2264
AM-TAPAUA;1030
AM-TEFE;4636
AM-TONANTINS;25
AM-UARINI;35
AM-URUCARA;596
AM-URUCURITUBA;458
AM-IGNORADO;0
RR-AMAJARI;116
RR-ALTO ALEGRE;453
RR-BOA VISTA;84834
RR-BONFIM;669
RR-CANTA;755
RR-CARACARAI;1437
RR-CAROEBE;437
RR-IRACEMA;260
RR-MUCAJAI;891
RR-NORMANDIA;175
RR-PACARAIMA;803
RR-RORAINOPOLIS;2168
RR-SAO JOAO DA BALIZA;482
RR-SAO LUIZ;289
RR-UIRAMUTA;8
RR-IGNORADO;0
PA-ABAETETUBA;9535
PA-ABEL FIGUEIREDO;586
PA-ACARA;4001
PA-AFUA;2300
PA-AGUA AZUL DO NORTE;1548
PA-ALENQUER;1878
PA-ALMEIRIM;8520
PA-ALTAMIRA;27689
PA-ANAJAS;1324
PA-ANANINDEUA;62144
PA-ANAPU;1818
PA-AUGUSTO CORREA;1670
PA-AURORA DO PARA;1200
PA-AVEIRO;959
PA-BAGRE;358
PA-BAIAO;1856
PA-BANNACH;491
PA-BARCARENA;19995
PA-BELEM;409942
PA-BELTERRA;396
PA-BENEVIDES;5781
PA-BOM JESUS DO TOCANTINS;967
PA-BONITO;1214
PA-BRAGANCA;6192
PA-BRASIL NOVO;754
PA-BREJO GRANDE DO ARAGUAIA;564
PA-BREU BRANCO;3424
PA-BREVES;6208
PA-BUJARU;1908
PA-CACHOEIRA DO PIRIA;63
PA-CACHOEIRA DO ARARI;887
PA-CAMETA;5208
PA-CANAA DOS CARAJAS;7874
PA-CAPANEMA;6468
PA-CAPITAO POCO;2852
PA-CASTANHAL;31496
PA-CHAVES;1329
PA-COLARES;269
PA-CONCEICAO DO ARAGUAIA;4463
PA-CONCORDIA DO PARA;2475
PA-CUMARU DO NORTE;1857
PA-CURIONOPOLIS;2884
PA-CURRALINHO;881
PA-CURUA;543
PA-CURUCA;2177
PA-DOM ELISEU;5384
PA-ELDORADO DO CARAJAS;769
PA-FARO;537
PA-FLORESTA DO ARAGUAIA;1469
PA-GARRAFAO DO NORTE;1397
PA-GOIANESIA DO PARA;2547
PA-GURUPA;1865
PA-IGARAPE-ACU;1933
PA-IGARAPE-MIRI;3120
PA-INHANGAPI;687
PA-IPIXUNA DO PARA;2386
PA-IRITUIA;1360
PA-ITAITUBA;8883
PA-ITUPIRANGA;2769
PA-JACAREACANGA;511
PA-JACUNDA;4153
PA-JURUTI;5194
PA-LIMOEIRO DO AJURU;1012
PA-MAE DO RIO;1845
PA-MAGALHAES BARATA;191
PA-MARABA;44232
PA-MARACANA;1457
PA-MARAPANIM;991
PA-MARITUBA;15373
PA-MEDICILANDIA;1097
PA-MELGACO;932
PA-MOCAJUBA;1167
PA-MOJU;6768
PA-MOJUI DOS CAMPOS;0
PA-MONTE ALEGRE;2934
PA-MUANA;1107
PA-NOVA ESPERANCA DO PIRIA;106
PA-NOVA IPIXUNA;838
PA-NOVA TIMBOTEUA;855
PA-NOVO PROGRESSO;2818
PA-NOVO REPARTIMENTO;5572
PA-OBIDOS;2933
PA-OEIRAS DO PARA;1068
PA-ORIXIMINA;7472
PA-OUREM;775
PA-OURILANDIA DO NORTE;4116
PA-PACAJA;2016
PA-PALESTINA DO PARA;386
PA-PARAGOMINAS;19231
PA-PARAUAPEBAS;48453
PA-PAU D ARCO;596
PA-PEIXE-BOI;461
PA-PICARRA;995
PA-PLACAS;767
PA-PONTA DE PEDRAS;1179
PA-PORTEL;2068
PA-PORTO DE MOZ;97
PA-PRAINHA;1262
PA-PRIMAVERA;484
PA-QUATIPURU;647
PA-REDENCAO;12155
PA-RIO MARIA;2418
PA-RONDON DO PARA;4477
PA-RUROPOLIS;1478
PA-SALINOPOLIS;2493
PA-SALVATERRA;1413
PA-SANTA BARBARA DO PARA;1650
PA-SANTA CRUZ DO ARARI;283
PA-SANTA IZABEL DO PARA;8224
PA-SANTA LUZIA DO PARA;971
PA-SANTA MARIA DAS BARREIRAS;2073
PA-SANTA MARIA DO PARA;1478
PA-SANTANA DO ARAGUAIA;4010
PA-SANTAREM;39019
PA-SANTAREM NOVO;610
PA-SANTO ANTONIO DO TAUA;1964
PA-SAO CAETANO DE ODIVELAS;856
PA-SAO DOMINGOS DO ARAGUAIA;1297
PA-SAO DOMINGOS DO CAPIM;1197
PA-SAO FELIX DO XINGU;5000
PA-SAO FRANCISCO DO PARA;1003
PA-SAO GERALDO DO ARAGUAIA;2083
PA-SAO JOAO DA PONTA;348
PA-SAO JOAO DE PIRABAS;1209
PA-SAO JOAO DO ARAGUAIA;603
PA-SAO MIGUEL DO GUAMA;5036
PA-SAO SEBASTIAO DA BOA VISTA;1376
PA-SAPUCAIA;683
PA-SENADOR JOSE PORFIRIO;674
PA-SOURE;1188
PA-TAILANDIA;11036
PA-TERRA ALTA;380
PA-TERRA SANTA;1153
PA-TOME-ACU;7211
PA-TRACUATEUA;1056
PA-TRAIRAO;650
PA-TUCUMA;4308
PA-TUCURUI;13246
PA-ULIANOPOLIS;3276
PA-URUARA;3536
PA-VIGIA;2919
PA-VISEU;2298
PA-VITORIA DO XINGU;583
PA-XINGUARA;7210
PA-IGNORADO;0
AP-SERRA DO NAVIO;410
AP-AMAPA;1036
AP-PEDRA BRANCA DO AMAPARI;1403
AP-CALCOENE;612
AP-CUTIAS;362
AP-FERREIRA GOMES;2379
AP-ITAUBAL;262
AP-LARANJAL DO JARI;2648
AP-MACAPA;99127
AP-MAZAGAO;932
AP-OIAPOQUE;1297
AP-PORTO GRANDE;1280
AP-PRACUUBA;262
AP-SANTANA;9944
AP-TARTARUGALZINHO;619
AP-VITORIA DO JARI;383
AP-IGNORADO;0
TO-ABREULANDIA;201
TO-AGUIARNOPOLIS;573
TO-ALIANCA DO TOCANTINS;556
TO-ALMAS;700
TO-ALVORADA;1287
TO-ANANAS;935
TO-ANGICO;242
TO-APARECIDA DO RIO NEGRO;316
TO-ARAGOMINAS;360
TO-ARAGUACEMA;386
TO-ARAGUACU;1126
TO-ARAGUAINA;27415
TO-ARAGUANA;545
TO-ARAGUATINS;2146
TO-ARAPOEMA;734
TO-ARRAIAS;1086
TO-AUGUSTINOPOLIS;1317
TO-AURORA DO TOCANTINS;176
TO-AXIXA DO TOCANTINS;641
TO-BABACULANDIA;886
TO-BANDEIRANTES DO TOCANTINS;602
TO-BARRA DO OURO;213
TO-BARROLANDIA;405
TO-BERNARDO SAYAO;402
TO-BOM JESUS DO TOCANTINS;259
TO-BRASILANDIA DO TOCANTINS;308
TO-BREJINHO DE NAZARE;995
TO-BURITI DO TOCANTINS;478
TO-CACHOEIRINHA;153
TO-CAMPOS LINDOS;636
TO-CARIRI DO TOCANTINS;690
TO-CARMOLANDIA;330
TO-CARRASCO BONITO;151
TO-CASEARA;381
TO-CENTENARIO;179
TO-CHAPADA DE AREIA;165
TO-CHAPADA DA NATIVIDADE;292
TO-COLINAS DO TOCANTINS;4014
TO-COMBINADO;299
TO-CONCEICAO DO TOCANTINS;263
TO-COUTO MAGALHAES;287
TO-CRISTALANDIA;622
TO-CRIXAS DO TOCANTINS;263
TO-DARCINOPOLIS;360
TO-DIANOPOLIS;1790
TO-DIVINOPOLIS DO TOCANTINS;477
TO-DOIS IRMAOS DO TOCANTINS;296
TO-DUERE;557
TO-ESPERANTINA;512
TO-FATIMA;385
TO-FIGUEIROPOLIS;518
TO-FILADELFIA;711
TO-FORMOSO DO ARAGUAIA;2181
TO-FORTALEZA DO TABOCAO;560
TO-GOIANORTE;238
TO-GOIATINS;640
TO-GUARAI;2919
TO-GURUPI;15813
TO-IPUEIRAS;55
TO-ITACAJA;433
TO-ITAGUATINS;349
TO-ITAPIRATINS;319
TO-ITAPORA DO TOCANTINS;353
TO-JAU DO TOCANTINS;315
TO-JUARINA;156
TO-LAGOA DA CONFUSAO;1196
TO-LAGOA DO TOCANTINS;205
TO-LAJEADO;332
TO-LAVANDEIRA;113
TO-LIZARDA;132
TO-LUZINOPOLIS;209
TO-MARIANOPOLIS DO TOCANTINS;428
TO-MATEIROS;293
TO-MAURILANDIA DO TOCANTINS;233
TO-MIRACEMA DO TOCANTINS;1864
TO-MIRANORTE;1109
TO-MONTE DO CARMO;417
TO-MONTE SANTO DO TOCANTINS;148
TO-PALMEIRAS DO TOCANTINS;289
TO-MURICILANDIA;411
TO-NATIVIDADE;727
TO-NAZARE;217
TO-NOVA OLINDA;1266
TO-NOVA ROSALANDIA;211
TO-NOVO ACORDO;282
TO-NOVO ALEGRE;157
TO-NOVO JARDIM;208
TO-OLIVEIRA DE FATIMA;166
TO-PALMEIRANTE;466
TO-PALMEIROPOLIS;646
TO-PARAISO DO TOCANTINS;8260
TO-PARANA;730
TO-PAU D ARCO;393
TO-PEDRO AFONSO;2781
TO-PEIXE;1139
TO-PEQUIZEIRO;296
TO-COLMEIA;831
TO-PINDORAMA DO TOCANTINS;214
TO-PIRAQUE;230
TO-PIUM;588
TO-PONTE ALTA DO BOM JESUS;262
TO-PONTE ALTA DO TOCANTINS;306
TO-PORTO ALEGRE DO TOCANTINS;245
TO-PORTO NACIONAL;6610
TO-PRAIA NORTE;295
TO-PRESIDENTE KENNEDY;397
TO-PUGMIL;317
TO-RECURSOLANDIA;251
TO-RIACHINHO;313
TO-RIO DA CONCEICAO;151
TO-RIO DOS BOIS;197
TO-RIO SONO;341
TO-SAMPAIO;163
TO-SANDOLANDIA;432
TO-SANTA FE DO ARAGUAIA;737
TO-SANTA MARIA DO TOCANTINS;160
TO-SANTA RITA DO TOCANTINS;228
TO-SANTA ROSA DO TOCANTINS;301
TO-SANTA TEREZA DO TOCANTINS;181
TO-SANTA TEREZINHA DO TOCANTINS;176
TO-SAO BENTO DO TOCANTINS;214
TO-SAO FELIX DO TOCANTINS;51
TO-SAO MIGUEL DO TOCANTINS;526
TO-SAO SALVADOR DO TOCANTINS;207
