Município;Total;
RO-ALTA FLORESTA D OESTE;0;
RO-ARIQUEMES;2511;
RO-CABIXI;0;
RO-CACOAL;3149;
RO-CEREJEIRAS;465;
RO-COLORADO DO OESTE;358;
RO-CORUMBIARA;0;
RO-COSTA MARQUES;493;
RO-ESPIGAO D OESTE;589;
RO-GUAJARA-MIRIM;1445;
RO-JARU;2067;
RO-JI-PARANA;7630;
RO-MACHADINHO D OESTE;0;
RO-NOVA BRASILANDIA D OESTE;8;
RO-OURO PRETO DO OESTE;1884;
RO-PIMENTA BUENO;1948;
RO-PORTO VELHO;77134;
RO-PRESIDENTE MEDICI;335;
RO-RIO CRESPO;0;
RO-ROLIM DE MOURA;743;
RO-SANTA LUZIA D OESTE;101;
RO-VILHENA;3930;
RO-SAO MIGUEL DO GUAPORE;41;
RO-NOVA MAMORE;28;
RO-ALVORADA D OESTE;53;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;0;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;0;
RO-CACAULANDIA;0;
RO-CAMPO NOVO DE RONDONIA;0;
RO-CANDEIAS DO JAMARI;0;
RO-CASTANHEIRAS;0;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;0;
RO-ITAPUA DO OESTE;0;
RO-MINISTRO ANDREAZZA;0;
RO-MIRANTE DA SERRA;0;
RO-MONTE NEGRO;0;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;0;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;0;
RO-URUPA;0;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;0;
RO-IGNORADO;232;
AC-ACRELANDIA;0;
AC-ASSIS BRASIL;6;
AC-BRASILEIA;384;
AC-BUJARI;0;
AC-CAPIXABA;0;
AC-CRUZEIRO DO SUL;1697;
AC-EPITACIOLANDIA;0;
AC-FEIJO;363;
AC-JORDAO;0;
AC-MANCIO LIMA;6;
AC-MANOEL URBANO;7;
AC-MARECHAL THAUMATURGO;0;
AC-PLACIDO DE CASTRO;43;
AC-PORTO WALTER;0;
AC-RIO BRANCO;41857;
AC-RODRIGUES ALVES;0;
AC-SANTA ROSA DO PURUS;0;
AC-SENADOR GUIOMARD;266;
AC-SENA MADUREIRA;389;
AC-TARAUACA;460;
AC-XAPURI;84;
AC-PORTO ACRE;0;
AC-IGNORADO;26;
AM-ALVARAES;1;
AM-AMATURA;2;
AM-ANAMA;1;
AM-ANORI;269;
AM-APUI;0;
AM-ATALAIA DO NORTE;26;
AM-AUTAZES;60;
AM-BARCELOS;16;
AM-BARREIRINHA;380;
AM-BENJAMIN CONSTANT;746;
AM-BERURI;4;
AM-BOA VISTA DO RAMOS;1;
AM-BOCA DO ACRE;471;
AM-BORBA;619;
AM-CAAPIRANGA;1;
AM-CANUTAMA;12;
AM-CARAUARI;465;
AM-CAREIRO;154;
AM-CAREIRO DA VARZEA;0;
AM-COARI;2348;
AM-CODAJAS;410;
AM-EIRUNEPE;592;
AM-ENVIRA;58;
AM-FONTE BOA;314;
AM-GUAJARA;0;
AM-HUMAITA;735;
AM-IPIXUNA;238;
AM-IRANDUBA;267;
AM-ITACOATIARA;3660;
AM-ITAMARATI;1;
AM-ITAPIRANGA;18;
AM-JAPURA;16;
AM-JURUA;7;
AM-JUTAI;10;
AM-LABREA;538;
AM-MANACAPURU;1576;
AM-MANAQUIRI;1;
AM-MANAUS;210554;
AM-MANICORE;629;
AM-MARAA;12;
AM-MAUES;713;
AM-NHAMUNDA;15;
AM-NOVA OLINDA DO NORTE;492;
AM-NOVO AIRAO;33;
AM-NOVO ARIPUANA;13;
AM-PARINTINS;1942;
AM-PAUINI;77;
AM-PRESIDENTE FIGUEIREDO;1756;
AM-RIO PRETO DA EVA;19;
AM-SANTA ISABEL DO RIO NEGRO;8;
AM-SANTO ANTONIO DO ICA;169;
AM-SAO GABRIEL DA CACHOEIRA;421;
AM-SAO PAULO DE OLIVENCA;238;
AM-SAO SEBASTIAO DO UATUMA;1;
AM-SILVES;33;
AM-TABATINGA;90;
AM-TAPAUA;12;
AM-TEFE;1868;
AM-TONANTINS;0;
AM-UARINI;0;
AM-URUCARA;433;
AM-URUCURITUBA;236;
AM-IGNORADO;6;
RR-AMAJARI;0;
RR-ALTO ALEGRE;156;
RR-BOA VISTA;19636;
RR-BONFIM;12;
RR-CANTA;0;
RR-CARACARAI;95;
RR-CAROEBE;0;
RR-IRACEMA;0;
RR-MUCAJAI;20;
RR-NORMANDIA;7;
RR-PACARAIMA;0;
RR-RORAINOPOLIS;0;
RR-SAO JOAO DA BALIZA;5;
RR-SAO LUIZ;16;
RR-UIRAMUTA;0;
RR-IGNORADO;0;
PA-ABAETETUBA;2131;
PA-ABEL FIGUEIREDO;0;
PA-ACARA;174;
PA-AFUA;128;
PA-AGUA AZUL DO NORTE;0;
PA-ALENQUER;389;
PA-ALMEIRIM;6222;
PA-ALTAMIRA;1881;
PA-ANAJAS;10;
PA-ANANINDEUA;18214;
PA-ANAPU;0;
PA-AUGUSTO CORREA;303;
PA-AURORA DO PARA;0;
PA-AVEIRO;210;
PA-BAGRE;13;
PA-BAIAO;4;
PA-BANNACH;0;
PA-BARCARENA;3378;
PA-BELEM;237123;
PA-BELTERRA;0;
PA-BENEVIDES;1879;
PA-BOM JESUS DO TOCANTINS;0;
PA-BONITO;0;
PA-BRAGANCA;1388;
PA-BRASIL NOVO;0;
PA-BREJO GRANDE DO ARAGUAIA;7;
PA-BREU BRANCO;0;
PA-BREVES;1762;
PA-BUJARU;127;
PA-CACHOEIRA DO PIRIA;0;
PA-CACHOEIRA DO ARARI;176;
PA-CAMETA;869;
PA-CANAA DOS CARAJAS;0;
PA-CAPANEMA;2912;
PA-CAPITAO POCO;645;
PA-CASTANHAL;7352;
PA-CHAVES;38;
PA-COLARES;1;
PA-CONCEICAO DO ARAGUAIA;1797;
PA-CONCORDIA DO PARA;131;
PA-CUMARU DO NORTE;0;
PA-CURIONOPOLIS;0;
PA-CURRALINHO;1;
PA-CURUA;0;
PA-CURUCA;262;
PA-DOM ELISEU;15;
PA-ELDORADO DOS CARAJAS;0;
PA-FARO;120;
PA-FLORESTA DO ARAGUAIA;0;
PA-GARRAFAO DO NORTE;198;
PA-GOIANESIA DO PARA;0;
PA-GURUPA;11;
PA-IGARAPE-ACU;414;
PA-IGARAPE-MIRI;635;
PA-INHANGAPI;102;
PA-IPIXUNA DO PARA;0;
PA-IRITUIA;784;
PA-ITAITUBA;1673;
PA-ITUPIRANGA;78;
PA-JACAREACANGA;0;
PA-JACUNDA;337;
PA-JURUTI;143;
PA-LIMOEIRO DO AJURU;5;
PA-MAE DO RIO;0;
PA-MAGALHAES BARATA;81;
PA-MARABA;10023;
PA-MARACANA;193;
PA-MARAPANIM;259;
PA-MARITUBA;0;
PA-MEDICILANDIA;0;
PA-MELGACO;1;
PA-MOCAJUBA;21;
PA-MOJU;1103;
PA-MONTE ALEGRE;566;
PA-MUANA;66;
PA-NOVA ESPERANCA DO PIRIA;0;
PA-NOVA IPIXUNA;0;
PA-NOVA TIMBOTEUA;193;
PA-NOVO PROGRESSO;0;
PA-NOVO REPARTIMENTO;0;
PA-OBIDOS;725;
PA-OEIRAS DO PARA;5;
PA-ORIXIMINA;4501;
PA-OUREM;396;
PA-OURILANDIA DO NORTE;2485;
PA-PACAJA;154;
PA-PALESTINA DO PARA;0;
PA-PARAGOMINAS;5578;
PA-PARAUAPEBAS;390;
PA-PAU D ARCO;0;
PA-PEIXE-BOI;149;
PA-PICARRA;0;
PA-PLACAS;0;
PA-PONTA DE PEDRAS;250;
PA-PORTEL;876;
PA-PORTO DE MOZ;17;
PA-PRAINHA;544;
PA-PRIMAVERA;297;
PA-QUATIPURU;0;
PA-REDENCAO;1782;
PA-RIO MARIA;461;
PA-RONDON DO PARA;976;
PA-RUROPOLIS;6;
PA-SALINOPOLIS;346;
PA-SALVATERRA;176;
PA-SANTA BARBARA DO PARA;0;
PA-SANTA CRUZ DO ARARI;2;
PA-SANTA ISABEL DO PARA;2462;
PA-SANTA LUZIA DO PARA;0;
PA-SANTA MARIA DAS BARREIRAS;8;
PA-SANTA MARIA DO PARA;345;
PA-SANTANA DO ARAGUAIA;820;
PA-SANTAREM;12055;
PA-SANTAREM NOVO;1;
PA-SANTO ANTONIO DO TAUA;314;
PA-SAO CAETANO DE ODIVELAS;393;
PA-SAO DOMINGOS DO ARAGUAIA;0;
PA-SAO DOMINGOS DO CAPIM;625;
PA-SAO FELIX DO XINGU;788;
PA-SAO FRANCISCO DO PARA;459;
PA-SAO GERALDO DO ARAGUAIA;237;
PA-SAO JOAO DA PONTA;0;
PA-SAO JOAO DE PIRABAS;0;
PA-SAO JOAO DO ARAGUAIA;47;
PA-SAO MIGUEL DO GUAMA;1196;
PA-SAO SEBASTIAO DA BOA VISTA;19;
PA-SAPUCAIA;0;
PA-SENADOR JOSE PORFIRIO;60;
PA-SOURE;452;
PA-TAILANDIA;0;
PA-TERRA ALTA;0;
PA-TERRA SANTA;0;
PA-TOME-ACU;759;
PA-TRACUATEUA;0;
PA-TRAIRAO;0;
PA-TUCUMA;0;
PA-TUCURUI;3140;
PA-ULIANOPOLIS;0;
PA-URUARA;0;
PA-VIGIA;459;
PA-VISEU;192;
PA-VITORIA DO XINGU;0;
PA-XINGUARA;2784;
PA-IGNORADO;639;
AP-SERRA DO NAVIO;0;
AP-AMAPA;101;
AP-PEDRA BRANCA DO AMAPARI;0;
AP-CALCOENE;74;
AP-CUTIAS;0;
AP-FERREIRA GOMES;7;
AP-ITAUBAL;0;
AP-LARANJAL DO JARI;101;
AP-MACAPA;31131;
AP-MAZAGAO;48;
AP-OIAPOQUE;9;
AP-PORTO GRANDE;0;
AP-PRACUUBA;0;
AP-SANTANA;1839;
AP-TARTARUGALZINHO;0;
AP-VITORIA DO JARI;0;
AP-IGNORADO;0;
TO-ABREULANDIA;0;
TO-AGUIARNOPOLIS;0;
TO-ALIANCA DO TOCANTINS;0;
TO-ALMAS;8;
TO-ALVORADA;294;
TO-ANANAS;41;
TO-ANGICO;0;
TO-APARECIDA DO RIO NEGRO;3;
TO-ARAGOMINAS;0;
TO-ARAGUACEMA;40;
TO-ARAGUACU;212;
TO-ARAGUAINA;5681;
TO-ARAGUANA;0;
TO-ARAGUATINS;158;
TO-ARAPOEMA;27;
TO-ARRAIAS;104;
TO-AUGUSTINOPOLIS;30;
TO-AURORA DO TOCANTINS;45;
TO-AXIXA DO TOCANTINS;12;
TO-BABACULANDIA;154;
TO-BANDEIRANTES DO TOCANTINS;0;
TO-BARRA DO OURO;0;
TO-BARROLANDIA;18;
TO-BERNARDO SAYAO;2;
TO-BOM JESUS DO TOCANTINS;0;
TO-BRASILANDIA DO TOCANTINS;0;
TO-BREJINHO DE NAZARE;78;
TO-BURITI DO TOCANTINS;2;
TO-CACHOEIRINHA;0;
TO-CAMPOS LINDOS;0;
TO-CARIRI DO TOCANTINS;0;
TO-CARMOLANDIA;0;
TO-CARRASCO BONITO;0;
TO-CASEARA;4;
TO-CENTENARIO;0;
TO-CHAPADA DE AREIA;0;
TO-CHAPADA DA NATIVIDADE;0;
TO-COLINAS DO TOCANTINS;605;
TO-COMBINADO;0;
