PA-BENEVIDES;2544;
PA-BOM JESUS DO TOCANTINS;668;
PA-BONITO;239;
PA-BRAGANCA;2266;
PA-BRASIL NOVO;161;
PA-BREJO GRANDE DO ARAGUAIA;467;
PA-BREU BRANCO;2289;
PA-BREVES;4699;
PA-BUJARU;475;
PA-CACHOEIRA DO PIRIA;31;
PA-CACHOEIRA DO ARARI;593;
PA-CAMETA;3244;
PA-CANAA DOS CARAJAS;1612;
PA-CAPANEMA;3748;
PA-CAPITAO POCO;1862;
PA-CASTANHAL;16370;
PA-CHAVES;322;
PA-COLARES;259;
PA-CONCEICAO DO ARAGUAIA;2469;
PA-CONCORDIA DO PARA;764;
PA-CUMARU DO NORTE;1029;
PA-CURIONOPOLIS;1236;
PA-CURRALINHO;131;
PA-CURUA;69;
PA-CURUCA;967;
PA-DOM ELISEU;5806;
PA-ELDORADO DO CARAJAS;504;
PA-FARO;215;
PA-FLORESTA DO ARAGUAIA;734;
PA-GARRAFAO DO NORTE;278;
PA-GOIANESIA DO PARA;1974;
PA-GURUPA;505;
PA-IGARAPE-ACU;1357;
PA-IGARAPE-MIRI;2153;
PA-INHANGAPI;538;
PA-IPIXUNA DO PARA;1142;
PA-IRITUIA;601;
PA-ITAITUBA;7893;
PA-ITUPIRANGA;1342;
PA-JACAREACANGA;321;
PA-JACUNDA;3401;
PA-JURUTI;818;
PA-LIMOEIRO DO AJURU;18;
PA-MAE DO RIO;1358;
PA-MAGALHAES BARATA;361;
PA-MARABA;22000;
PA-MARACANA;527;
PA-MARAPANIM;818;
PA-MARITUBA;7423;
PA-MEDICILANDIA;650;
PA-MELGACO;21;
PA-MOCAJUBA;182;
PA-MOJU;3303;
PA-MOJUI DOS CAMPOS;0;
PA-MONTE ALEGRE;2082;
PA-MUANA;513;
PA-NOVA ESPERANCA DO PIRIA;27;
PA-NOVA IPIXUNA;495;
PA-NOVA TIMBOTEUA;507;
PA-NOVO PROGRESSO;1598;
PA-NOVO REPARTIMENTO;2093;
PA-OBIDOS;1854;
PA-OEIRAS DO PARA;220;
PA-ORIXIMINA;5385;
PA-OUREM;534;
PA-OURILANDIA DO NORTE;1054;
PA-PACAJA;363;
PA-PALESTINA DO PARA;317;
PA-PARAGOMINAS;12012;
PA-PARAUAPEBAS;17158;
PA-PAU D ARCO;275;
PA-PEIXE-BOI;190;
PA-PICARRA;330;
PA-PLACAS;138;
PA-PONTA DE PEDRAS;941;
PA-PORTEL;1990;
PA-PORTO DE MOZ;191;
PA-PRAINHA;595;
PA-PRIMAVERA;322;
PA-QUATIPURU;272;
PA-REDENCAO;6251;
PA-RIO MARIA;1336;
PA-RONDON DO PARA;5130;
PA-RUROPOLIS;934;
PA-SALINOPOLIS;1385;
PA-SALVATERRA;636;
PA-SANTA BARBARA DO PARA;895;
PA-SANTA CRUZ DO ARARI;21;
PA-SANTA IZABEL DO PARA;4602;
PA-SANTA LUZIA DO PARA;380;
PA-SANTA MARIA DAS BARREIRAS;737;
PA-SANTA MARIA DO PARA;768;
PA-SANTANA DO ARAGUAIA;3001;
PA-SANTAREM;22718;
PA-SANTAREM NOVO;329;
PA-SANTO ANTONIO DO TAUA;1544;
PA-SAO CAETANO DE ODIVELAS;292;
PA-SAO DOMINGOS DO ARAGUAIA;596;
PA-SAO DOMINGOS DO CAPIM;900;
PA-SAO FELIX DO XINGU;2069;
PA-SAO FRANCISCO DO PARA;562;
PA-SAO GERALDO DO ARAGUAIA;1413;
PA-SAO JOAO DA PONTA;203;
PA-SAO JOAO DE PIRABAS;648;
PA-SAO JOAO DO ARAGUAIA;83;
PA-SAO MIGUEL DO GUAMA;3243;
PA-SAO SEBASTIAO DA BOA VISTA;138;
PA-SAPUCAIA;735;
PA-SENADOR JOSE PORFIRIO;348;
PA-SOURE;751;
PA-TAILANDIA;5310;
PA-TERRA ALTA;338;
PA-TERRA SANTA;657;
PA-TOME-ACU;4183;
PA-TRACUATEUA;381;
PA-TRAIRAO;508;
PA-TUCUMA;735;
PA-TUCURUI;10422;
PA-ULIANOPOLIS;3635;
PA-URUARA;1706;
PA-VIGIA;1300;
PA-VISEU;1283;
PA-VITORIA DO XINGU;221;
PA-XINGUARA;3987;
PA-IGNORADO;0;
AP-SERRA DO NAVIO;66;
AP-AMAPA;353;
AP-PEDRA BRANCA DO AMAPARI;1059;
AP-CALCOENE;135;
AP-CUTIAS;17;
AP-FERREIRA GOMES;201;
AP-ITAUBAL;39;
AP-LARANJAL DO JARI;874;
AP-MACAPA;60123;
AP-MAZAGAO;463;
AP-OIAPOQUE;842;
AP-PORTO GRANDE;955;
AP-PRACUUBA;85;
AP-SANTANA;4135;
AP-TARTARUGALZINHO;499;
AP-VITORIA DO JARI;272;
AP-IGNORADO;0;
TO-ABREULANDIA;127;
TO-AGUIARNOPOLIS;246;
TO-ALIANCA DO TOCANTINS;369;
TO-ALMAS;208;
TO-ALVORADA;587;
TO-ANANAS;604;
TO-ANGICO;158;
TO-APARECIDA DO RIO NEGRO;179;
TO-ARAGOMINAS;284;
TO-ARAGUACEMA;218;
TO-ARAGUACU;806;
TO-ARAGUAINA;16107;
TO-ARAGUANA;328;
TO-ARAGUATINS;1239;
TO-ARAPOEMA;884;
TO-ARRAIAS;689;
TO-AUGUSTINOPOLIS;412;
TO-AURORA DO TOCANTINS;26;
TO-AXIXA DO TOCANTINS;508;
TO-BABACULANDIA;442;
TO-BANDEIRANTES DO TOCANTINS;489;
TO-BARRA DO OURO;39;
TO-BARROLANDIA;266;
TO-BERNARDO SAYAO;339;
TO-BOM JESUS DO TOCANTINS;72;
TO-BRASILANDIA DO TOCANTINS;235;
TO-BREJINHO DE NAZARE;461;
TO-BURITI DO TOCANTINS;146;
TO-CACHOEIRINHA;6;
TO-CAMPOS LINDOS;455;
TO-CARIRI DO TOCANTINS;322;
TO-CARMOLANDIA;209;
TO-CARRASCO BONITO;85;
TO-CASEARA;193;
TO-CENTENARIO;108;
TO-CHAPADA DE AREIA;73;
TO-CHAPADA DA NATIVIDADE;26;
TO-COLINAS DO TOCANTINS;2427;
TO-COMBINADO;117;
TO-CONCEICAO DO TOCANTINS;194;
TO-COUTO MAGALHAES;110;
TO-CRISTALANDIA;478;
TO-CRIXAS DO TOCANTINS;94;
TO-DARCINOPOLIS;240;
TO-DIANOPOLIS;949;
TO-DIVINOPOLIS DO TOCANTINS;470;
TO-DOIS IRMAOS DO TOCANTINS;255;
TO-DUERE;394;
TO-ESPERANTINA;241;
TO-FATIMA;268;
