cbo2002;ncognitivo;nsocial;nmotor;nmed
511115;0,507828116;0,613940418;0,273967087;0,515376894
252105;0,547208369;0,613709033;0,179009393;0,52563934
223141;0,903541863;0,613630414;0,075774632;0,708876831
225112;0,903541863;0,613630414;0,075774632;0,708876831
21205;0,50173074;0,612221062;0,511801362;0,539681134
21210;0,50173074;0,612221062;0,511801362;0,539681134
123110;0,690820694;0,611251652;0,022678209;0,585068852
123115;0,690820694;0,611251652;0,022678209;0,585068852
214105;0,809520006;0,610730827;0,096649304;0,65880122
214110;0,809520006;0,610730827;0,096649304;0,65880122
214115;0,809520006;0,610730827;0,096649304;0,65880122
142510;0,629110754;0,610659957;0,095646322;0,559671403
517315;0,450173855;0,609111488;0,543981016;0,514176879
517205;0,669068813;0,607798219;0,333280772;0,608841678
262105;0,589728832;0,60675776;0,086351745;0,535662269
262110;0,589728832;0,60675776;0,086351745;0,535662269
262115;0,589728832;0,60675776;0,086351745;0,535662269
262125;0,589728832;0,60675776;0,086351745;0,535662269
121010;0,545863807;0,603891611;0,198235556;0,523917169
141410;0,545863807;0,603891611;0,198235556;0,523917169
141610;0,545863807;0,603891611;0,198235556;0,523917169
122615;0,561394095;0,603333116;0,187203512;0,530943487
123605;0,633868515;0,600726604;0,135720626;0,563732765
142515;0,633868515;0,600726604;0,135720626;0,563732765
142520;0,633868515;0,600726604;0,135720626;0,563732765
142525;0,633868515;0,600726604;0,135720626;0,563732765
142530;0,633868515;0,600726604;0,135720626;0,563732765
142535;0,633868515;0,600726604;0,135720626;0,563732765
123805;0,557051599;0,600657284;0,295204192;0,540486202
262120;0,579473794;0,599629879;0,111742198;0,530677241
30115;0,573948622;0,59945333;0,644629002;0,590819969
354415;0,387699097;0,599413395;0,041049771;0,416993538
351810;0,642944157;0,597510159;0,374974966;0,596032649
141420;0,568239391;0,597422898;0,392172813;0,557055213
950305;0,568239391;0,597422898;0,392172813;0,557055213
214120;0,587922335;0,59507978;0,098935775;0,53227955
620115;0,514177442;0,593884289;0,41731441;0,529198609
122505;0,493510842;0,59346813;0,328766614;0,507213596
111335;0,853135705;0,591487467;0,020090774;0,667246375
111340;0,853135705;0,591487467;0,020090774;0,667246375
111345;0,853135705;0,591487467;0,020090774;0,667246375
262905;0,507592559;0,589461029;0,07817284;0,483871211
375105;0,507592559;0,589461029;0,07817284;0,483871211
142115;0,678547978;0,587739408;0,022005534;0,570433701
223142;0,862142503;0,58770442;0,121685103;0,682985092
223915;0,509050369;0,587602675;0,407754451;0,523161458
226305;0,509050369;0,587602675;0,407754451;0,523161458
226310;0,509050369;0,587602675;0,407754451;0,523161458
410235;0,633959055;0,587596357;0,032462008;0,547161774
225350;0,891019106;0,585895121;0,079093978;0,693173358
354810;0,44675529;0,585662127;0,104106076;0,452304463
214915;0,763911307;0,584926009;0,162647471;0,633023836
214920;0,763911307;0,584926009;0,162647471;0,633023836
214005;0,747288525;0,584633827;0,089975871;0,615182722
214010;0,747288525;0,584633827;0,089975871;0,615182722
